d2e9c5ea410a2f8a2bf8042de892e31cab60b15c0f252f8d5cd7f428bedc4a51,efbc10e77043c481d7ac5a2ad2b68070b1dc76d391e5594dce8d7eac627291fb,007e9b8774db4f1ab5f0ac886ce305cf278132db26f5e33d4bd27e9ce00ed892,052a6ee1fde4eec5fdc7b7d82f0d53e0b83be09ecc647c7ec8b132cfc66f3d29,0f6d231c779e85c55a29d465695d9b626800909adbeebbd7a7c840a0b085d27a,19957ccf9282fa0194816bfd753e9c4e6ffd0b1ec0c9519cb2a0f816dd686542,310577c230f931f90869213fe78f39be1bf0d032b3916a5dbf2763d4b43b42db,b9678cd55abbbc7d3a1697ac42a76a43d92cb76d23e2f7c1b1e23986b719cd14,ff15c78671d27ce1fe2ed49499dcc10843904394972274d5b58de5bf70610e7a,e54e2066ddf1fd6c8bf71f674e9bb6b24b6900b091c07b5ab9f9aefc2d78a0b2,6878d98071cbbde9389880c367aeaf3c88dca1ef72b92d332535ba9effd26f99
"5046601","活動特別章節","2020/12/18 11:59:59","2020/12/04 16:00:00","10046","1","1004601","5046601","前往劇情","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","也可以從額外劇情中\n查看特別的劇情。"
"5048","活動特別章節","2021/01/14 15:59:59","2020/12/31 16:00:00","10048","2","1004801","0","前往劇情","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","也可以從額外劇情中\n查看特別的劇情。"
"5048","活動特別章節","2021/01/14 15:59:59","2020/12/31 16:00:00","10048","3","1004802","0","前往劇情","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","也可以從額外劇情中\n查看特別的劇情。"
"5056","活動特別章節","2021/05/31 15:59:59","2021/05/18 16:00:00","10056","4","1005601","5056601","前往劇情","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","也可以從額外劇情中\n查看特別的劇情。"
"5061","活動特別章節","2021/07/19 15:59:59","2021/07/05 16:00:00","10061","3","1006101","5061601","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","可以從額外劇情中\n查看特別的劇情。"
"10061","活動特別章節","2021/07/23 15:59:59","2021/07/19 16:00:00","10061","5","1006102","5061602","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。",""
"5061","活動特別章節","2021/07/31 15:59:59","2021/07/23 16:00:00","10061","3","1006103","5061601","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","可以從額外劇情中\n查看特別的劇情。"
"1004","小遊戲 劇情解放","2021/09/30 15:59:59","2021/09/01 16:00:00","10066","6","1006601","5027704","前往劇情","小遊戲「大激戰！龍人們的接龍競賽」後\n解放了新的劇情","若要閱覽，必須在「大家的遊戲桌」\n購買「大激戰！龍人們的接龍競賽」後，\n遊玩EXTRA關卡"
"10070","追加來自伊緒的留言","2021/11/19 15:59:59","2021/11/15 16:00:00","10070","5","1007001","5070601","前往活動","「暑假圖畫日記」中\n已追加伊緒老師的批改留言。","可從「暑假圖畫日記」的封面進行切換，\n查看批改留言。"
"5046601","活動特別章節","2021/12/31 15:59:59","2021/12/17 16:00:00","10073","1","1007301","5046601","前往劇情","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","也可以從額外劇情中\n查看特別的劇情。"
"5048","活動特別章節","2022/01/31 15:59:59","2022/01/26 16:00:00","10075","2","1007501","0","前往劇情","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","也可以從額外劇情中\n查看特別的劇情。"
"5048","活動特別章節","2022/01/31 15:59:59","2022/01/26 16:00:00","10075","3","1007502","0","前往劇情","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","也可以從額外劇情中\n查看特別的劇情。"
"1004","追加大合照","2022/05/20 15:59:59","2022/05/16 16:00:00","10082","5","1008201","5082601","前往活動","已於「眾人同樂的年菜派對」\n追加大合照。",""
"5056","活動特別章節","2022/05/24 15:59:59","2022/05/18 16:00:00","10083","4","1008301","5056601","前往劇情","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","也可以從額外劇情中\n查看特別的劇情。"
"5061","活動特別章節","2022/07/28 15:59:59","2022/07/19 16:00:00","10089","3","1008901","5061601","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","可以從額外劇情中\n查看特別的劇情。"
"10089","活動特別章節","2022/07/28 15:59:59","2022/07/26 16:00:00","10089","5","1008902","5061602","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。",""
"5061","活動特別章節","2022/07/31 15:59:59","2022/07/28 16:00:00","10089","3","1008903","5061601","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","可以從額外劇情中\n查看特別的劇情。"
"10092","活動特別章節","2022/09/19 15:59:59","2022/09/15 16:00:00","10092","5","1009201","5092601","前往劇情","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。",""
"10100","活動特別章節","2023/01/20 15:59:59","2023/01/16 16:00:00","10100","5","1010001","5100601","前往劇情","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。",""
"1004","追加大合照","2023/05/28 15:59:59","2023/05/26 16:00:00","10109","5","1010901","5082601","前往活動","已於「眾人同樂的年菜派對」\n追加大合照。",""
"10119","活動特別章節","2023/09/28 15:59:59","2023/09/25 16:00:00","10119","5","1011901","5092601","前往劇情","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。",""
"10127","活動特別章節","2024/01/27 15:59:59","2024/01/24 16:00:00","10127","5","1012701","5100601","前往劇情","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。",""
"5056","活動特別章節","2022/05/24 15:59:59","2022/05/18 16:00:00","20032","4","2003201","5056601","前往劇情","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","也可以從額外劇情中\n查看特別的劇情。"
