50ae0cebe012a3d5e763a48341533575a66da8fbfa453eda7bf3aa43e7ac9f2d,aebd1af6bbb40d5c241dd0f63aecaf37d92cf4dace6aeb4531981887b6336c78,5379888c42b3ad11a7690ae61575185f3ffc2349bec8a70bebcdf1ab228d1a22,fe42b620f7e415f4b6b13b0f8044c29e29c886f3cb73649f2447a2c732b7569d,48090eecb571820c38b54963cf9a58020dd7ca2740063c0ce8e525f4d5bfe579,bc86d48ba9d30b12ae2fc995cd0aab2fbe4575e9385e12f2b2fd30dbd9366a8a,21a87b9329eef07ea6d2c2e88825adbf3dc4d7bb60cd8f4122909cc7fcbb4763
"1","50000","12","5126700","取得累積分數2500分","94002","2500"
"1","50000","12","0","取得累積分數5000分","94002","5000"
"1","50000","12","0","取得累積分數7500分","94002","7500"
"1","1","7","5126701","取得累積分數10000分","2839","10000"
"1","80000","12","0","取得累積分數12500分","94002","12500"
"1","80000","12","0","取得累積分數15000分","94002","15000"
"1","80000","12","0","取得累積分數17500分","94002","17500"
"1","25","8","5126702","取得累積分數20000分","91002","20000"
"1","100000","12","0","取得累積分數22500分","94002","22500"
"1","100000","12","0","取得累積分數25000分","94002","25000"
"1","100","8","0","取得累積分數27500分","91002","27500"
"1","1","15","5126703","取得累積分數30000分","11001262","30000"
"2","50000","12","5126710","取得累積分數2500分","94002","2500"
"2","50000","12","0","取得累積分數5000分","94002","5000"
"2","50000","12","0","取得累積分數7500分","94002","7500"
"2","1","7","5126711","取得累積分數10000分","2840","10000"
"2","80000","12","0","取得累積分數12500分","94002","12500"
"2","80000","12","0","取得累積分數15000分","94002","15000"
"2","80000","12","0","取得累積分數17500分","94002","17500"
"2","25","8","5126712","取得累積分數20000分","91002","20000"
"2","100000","12","0","取得累積分數22500分","94002","22500"
"2","100000","12","0","取得累積分數25000分","94002","25000"
"2","100","8","0","取得累積分數27500分","91002","27500"
"2","1","15","5126713","取得累積分數30000分","11001263","30000"
