61cc6ec4e68bb2dc35fe495f55fb5fc46dd3b1e1080c98cdf6086e615216d0f1,99afa84e494c4c027fc515d794c2e5124de5b1a35012fd99cddddded73c8a9ed,f261d3a54cd6f1322c4b3f7b40ea6f541ad24b8e32a9b1830478056e5ad3f984,047d2367a23d64daf050c34ef3dd04d83da3dd440d323b959b091e15d77c7d22,3190019159b883d01d62aff8cbcef2e6f73438cd78b4d87dc60b6fb07bdcbc8e,93a6053ad2200587c40b128c390760f63e6ac4ae70ddfa2200d6257b6304cfc0,93984a76216c4605bda17d575eab0aef6a33ac535fe2cb5437af1bd077f8dbd0,43cd99d0b829a22be62965241af3887fc989fc0c3cce2e71b2fc3a68fe0c76bd,f0fa657c0cacf09b1a97329445c8f555642917ab467aa9c29919069093e416ef
"1","0","2018/11/08 16:00:00","2018/11/12 15:59:59","1","0","1","0","0"
"2","0","2018/11/30 16:00:00","2018/12/04 15:59:59","1","0","2","0","0"
"3","0","2019/02/13 16:00:00","2019/02/23 15:59:59","1","0","3","0","0"
"4","0","2019/05/03 16:00:00","2019/05/14 15:59:59","1","0","4","0","0"
"5","0","2019/07/01 16:00:00","2019/07/15 15:59:59","1","0","5","0","0"
"6","0","2019/08/01 16:00:00","2019/08/15 15:59:59","1","0","6","0","0"
"7","0","2019/12/13 16:00:00","2019/12/30 15:59:59","1","0","7","0","0"
"8","0","2020/04/22 16:00:00","2020/05/08 15:59:59","1","0","8","1","0"
"9","0","2020/06/22 16:00:00","2020/07/07 15:59:59","1","0","9","1","0"
"10","0","2020/08/03 16:00:00","2020/08/09 15:59:59","1","0","10","1","0"
"11","0","2020/12/21 05:00:00","2021/01/06 15:59:59","1","0","11","1","0"
"12","0","2021/02/11 16:00:00","2021/02/18 04:59:59","1","0","12","1","0"
"13","0","2021/04/16 16:00:00","2021/04/22 15:59:59","1","0","13","1","0"
"14","0","2021/04/27 16:00:00","2021/05/03 15:59:59","1","0","14","1","0"
"15","0","2021/06/19 05:00:00","2021/07/02 04:59:59","1","0","15","1","0"
"16","14","2021/07/02 05:00:00","2021/08/02 04:59:59","0","0","16","1","15"
"17","0","2021/09/01 05:00:00","2021/09/11 04:59:59","1","0","17","1","0"
"18","0","2021/12/17 05:00:00","2022/01/03 04:59:59","1","0","18","1","0"
"19","17","2022/01/03 05:00:00","2022/01/31 15:59:59","0","0","19","1","18"
"20","0","2022/03/07 05:00:00","2022/03/14 04:59:59","1","0","20","1","0"
"21","7","2022/03/14 05:00:00","2022/04/03 04:59:59","0","0","21","1","20"
"22","0","2022/04/25 05:00:00","2022/05/08 04:59:59","1","0","22","1","0"
"23","13","2022/05/08 05:00:00","2022/06/04 04:59:59","0","0","23","1","22"
"24","0","2022/06/19 05:00:00","2022/07/04 04:59:59","1","0","24","1","0"
"25","15","2022/07/04 05:00:00","2022/08/02 04:59:59","0","0","25","1","24"
"26","0","2022/09/01 05:00:00","2022/09/11 04:59:59","1","0","26","1","0"
"27","0","2022/12/17 05:00:00","2023/01/03 04:59:59","1","0","27","1","0"
"28","0","2023/02/26 05:00:00","2023/03/05 04:59:59","1","0","28","1","0"
"29","0","2023/04/26 05:00:00","2023/05/08 04:59:59","1","0","29","1","0"
"30","0","2023/06/19 05:00:00","2023/07/03 04:59:59","1","0","30","1","0"
"31","0","2023/08/27 05:00:00","2023/09/02 04:59:59","1","0","31","1","0"
"32","0","2023/12/16 05:00:00","2024/01/02 04:59:59","1","0","32","1","0"
"33","0","2024/02/29 05:00:00","2024/03/06 04:59:59","1","0","33","1","0"
"34","0","2024/04/23 05:00:00","2024/05/06 04:59:59","1","0","34","2","0"
"35","0","2024/06/17 05:00:00","2024/07/02 04:59:59","1","0","35","2","0"
"36","0","2024/08/28 05:00:00","2024/09/02 04:59:59","1","0","36","2","0"
"37","0","2024/12/16 05:00:00","2025/01/02 04:59:59","1","0","37","2","0"
"38","0","2025/04/22 05:00:00","2025/05/05 04:59:59","1","0","38","2","0"
"39","0","2025/06/12 05:00:00","2025/06/23 04:59:59","1","0","39","2","0"
