44e82e9415c3b439cfb101ed06c8a59c5c9dce4bdb08050a20365d94e4a83798,d70a7c1fed992307cecabc0ba884ed82cdad57930d77a4b0e19c6c3dbb5ee13d,251eb581ef58ea54fe807300b713c62fa74c0a69bfd539f0f6cbf3d1d11923ce,78538f3528fc89539bb6fac5acd179e7f6c0f916c3aa4047d517af8cc065e627,54047365527deb1dca482b98855adbbde69cb6d85b114f098591d458fe18c53b,396f5d8b2b9463a69728f2c415c7111beacec6bb3547f8543de865b1984c0848,0726e7bbac85a224a2e14eb7d00f7ed68f396095e207bba7bab92a527780c530,6fec1e12a6270fe133edbaa468e6879be39106da00c8aabe71c19a19543d9d65,19599ab0f35d57745c9c1ae787a865826a3ce8c59bfe9a1efa4f9595162e7d1d,73a28862b10fbc9b4cc2e94eb4fbc951d46f8d58887cfec2715bb6663e05bf45,2f33c607bb37aa625b7572cfcd37fbf55ffdfd487f34ad37921d77ff4a812825
"111001","-345","111","118511","-273","1","0","202","wac_215_karin_idle_normal","2","1"
"111002","-355","111","105811","170","1","1","205","wac_215_idle_joy1","2","1"
"111003","-325","111","105911","50","1","1","202","wac_215_idle_normal_joy","2","1"
"111004","-330","111","106011","300","1","1","203","wac_215_idle_arm_crossed","2","1"
"111005","-360","111","106431","450","1","1","204","wac_215_idle_normal2","2","1"
"111006","","111","","","1","","","","","131"
"112001","","112","0","","1","","","","","93"
"112002","","112","wac_215_karin_talk_normal","","118511","","1","","0.2","3"
"112003","","112","vo_wac_220215_000","0","vo_wac_220215","","0","","","21"
"112004","1","112","【美食殿堂】的各位，\n謝謝你們過來！","1","118511","0","10","0.5","0","11"
"112005","","112","","","112004","","","","","91"
"112006","","112","wac_215_karin_idle_normal","","118511","","1","","0.2","3"
"112007","1","112","wac_215_peko_oissu","wac_215_talk_normal","105811","0.2","0","","0.2","3"
"112008","","112","vo_wac_220215_001","0","vo_wac_220215","","0","","","21"
"112009","1","112","花凜小姐，阿囉哈～！\n怎麼了嗎？\n居然找我們來\n蘭德索爾的這個角落。","1","105811","0","10","0.5","0","11"
"112010","","112","","","112009","","","","","91"
"112011","","112","wac_215_idle_normal","","105811","","1","","0.2","3"
"112012","","112","wac_215_karin_talk_normal","","118511","","1","","0.2","3"
"112013","","112","vo_wac_220215_002","0","vo_wac_220215","","0","","","21"
"112014","1","112","我今天有個重要的委託\n想要拜託各位。","1","118511","0","10","0.5","0","11"
"112015","","112","","","112014","","","","","91"
"112016","","112","wac_215_karin_idle_normal","","118511","","1","","0.2","3"
"112017","1","112","wac_215_talk_arm_crossed","wac_215_talk_arm_crossed_loop","106011","0","0","","0.2","3"
"112018","","112","vo_wac_220215_003","0","vo_wac_220215","","0","","","21"
"112019","1","112","重要的委託？\n妳該不會是又想\n把麻煩的事情推給我們吧……","1","106011","0","10","0.5","0","11"
"112020","","112","","","112019","","","","","91"
"112021","","112","wac_215_idle_arm_crossed","","106011","","1","","0.2","3"
"112022","","112","wac_215_karin_talk_normal","","118511","","1","","0.2","3"
"112023","","112","vo_wac_220215_004","0","vo_wac_220215","","0","","","21"
"112024","1","112","其實這次是為了發展提升景觀的\n事業，而決定著手進行在圍繞\n蘭德索爾的牆壁上畫畫，\n讓城鎮華麗起來的計畫。","1","118511","0","10","0.5","0","11"
"112025","","112","","","112024","","","","","91"
"112026","","112","wac_215_karin_idle_normal","","118511","","1","","0.2","3"
"112027","1","112","wac_215_shefy_humu","wac_215_talk_normal","106431","0.2","0","","0.2","3"
"112028","","112","vo_wac_220215_005","0","vo_wac_220215","","0","","","21"
"112029","1","112","在圍繞蘭德索爾的牆壁上畫畫？\n哦～好像會很開心呢。\n只要畫在這裡就行了嗎？","1","106431","0","10","0.5","0","11"
"112030","","112","","","112029","","","","","91"
"112031","","112","wac_215_idle_normal2_joy","","106431","","1","","0.2","3"
"112032","","112","wac_215_karin_talk_normal","","118511","","1","","0.2","3"
"112033","","112","vo_wac_220215_006","0","vo_wac_220215","","0","","","21"
"112034","1","112","是的，希望你們能從這裡開始，\n沿著蘭德索爾的牆壁繞一圈，\n用繪畫填滿整片牆。","1","118511","0","10","0.5","0","11"
"112035","","112","","","112034","","","","","91"
"112036","","112","wac_215_karin_idle_normal","","118511","","1","","0.2","3"
"112037","","112","wac_215_talk_sad","","106431","","1","","0.2","3"
"112038","","112","vo_wac_220215_007","0","vo_wac_220215","","0","","","21"
"112039","1","112","咦？要沿著蘭德索爾的牆壁……\n繞一圈？","1","106431","0","10","0.5","0","11"
"112040","","112","","","112039","","","","","91"
"112041","","112","wac_215_idle_sad","","106431","","1","","0.2","3"
"112042","","112","wac_215_karin_talk_wish","","118511","","1","","0.2","3"
"112043","","112","vo_wac_220215_008","0","vo_wac_220215","","0","","","21"
"112044","1","112","是的♪你們不覺得要是能用\n漂亮的圖畫裝飾整個蘭德索爾，\n就能讓這裡變成一座\n充滿了魅力的城鎮嗎？","1","118511","0","10","0.5","0","11"
"112045","","112","","","112044","","","","","91"
"112046","","112","wac_215_karin_idle_normal","","118511","","1","","0.2","3"
"112047","","112","wac_215_coccoro_talk_wish","","105911","","1","","0.2","3"
"112048","","112","vo_wac_220215_009","0","vo_wac_220215","","0","","","21"
"112049","1","112","這個計畫……還真是壯闊啊。\n花凜小姐。","1","105911","0","10","0.5","0","11"
"112050","","112","","","112049","","","","","91"
"112051","","112","wac_215_coccoro_idle_wish","","105911","","1","","0.2","3"
"112052","1","112","wac_215_peko_talk_guts2","wac_215_peko_talk_guts2_loop","105811","0","0","","0.2","3"
"112053","","112","vo_wac_220215_010","0","vo_wac_220215","","0","","","21"
"112054","1","112","好興奮喔！太讚了吧☆\n那就去請在王宮工作的畫家\n教我們怎麼畫畫吧♪","1","105811","0","10","0.5","0","11"
"112055","","112","","","112054","","","","","91"
"112056","","112","wac_215_peko_idle_guts2","","105811","","1","","0.2","3"
"112057","","112","0","","105811","","","","","4"
"112058","","112","0","","105911","","","","","4"
"112059","","112","wac_215_idle_joy1","","105811","","1","","0.2","3"
"112060","","112","wac_215_idle_normal","","105911","","1","","0.2","3"
"112061","","112","wac_215_idle_surprise1","","106431","","1","","0.2","3"
"112062","1","112","wac_215_kyaru_anger","wac_215_talk_anger2","106011","0.2","1","","0.2","3"
"112063","","112","vo_wac_220215_011","0","vo_wac_220215","","0","","","21"
"112064","1","112","慢著慢著慢著！！\n就要妳等一下了啊！？\n你們以為繞蘭德索爾的牆壁\n走整整一圈的距離有多遠啊！","1","106011","0","10","0.5","0","11"
"112065","","112","","","112064","","","","","91"
"112066","","112","wac_215_idle_anger2","","106011","","1","","0.2","3"
"112067","","112","wac_215_talk_sad","","106011","","1","","0.2","3"
"112068","","112","vo_wac_220215_012","0","vo_wac_220215","","0","","","21"
"112069","1","112","那可是連正常地走過去\n都會令人厭煩的距離耶？\n如果只有我們，再怎麼樣都……","1","106011","0","10","0.5","0","11"
"112070","","112","","","112069","","","","","91"
"112071","","112","wac_215_idle_sad","","106011","","1","","0.2","3"
"112072","","112","wac_215_coccoro_talk_wish2","","105911","","1","","0.2","3"
"112073","","112","vo_wac_220215_013","0","vo_wac_220215","","0","","","21"
"112074","1","112","凱留小姐，那麼，要不要\n請其他公會也來幫忙呢？\n只要和各位同心協力……","1","105911","0","10","0.5","0","11"
"112075","","112","","","112074","","","","","91"
"112076","","112","wac_215_coccoro_idle_wish2","","105911","","1","","0.2","3"
"112077","1","112","wac_215_kyaru_talk_doya","wac_215_kyaru_talk_doya_loop","106011","0","0","","0.2","3"
"112078","","112","vo_wac_220215_014","0","vo_wac_220215","","0","","","21"
"112079","1","112","可蘿仔，妳這不是超有幹勁的嗎……\n啊～受不了，拿你們沒辦法耶。\n花凜，你很擅長這種事情吧？\n就是那個叫什麼呼喚的東西。","1","106011","0","10","0.5","0","11"
"112080","","112","","","112079","","","","","91"
"112081","","112","wac_215_idle_arm_crossed","","106011","","1","","0.2","3"
"112082","","112","1","","105811","","","","","4"
"112083","","112","1","","105911","","","","","4"
"112084","","112","wac_215_idle_normal_joy","","105911","","1","","0.2","3"
"112085","","112","wac_215_idle_normal2_joy","","106431","","1","","0.2","3"
"112086","","112","wac_215_karin_talk_wish","","118511","","1","","0.2","3"
"112087","","112","vo_wac_220215_015","0","vo_wac_220215","","0","","","21"
"112088","1","112","我明白了，\n那我來彙整發給各個公會的委託書。\n公會呼喚……！","1","118511","0","10","0.5","0","11"
"112089","","112","","","112088","","","","","91"
"112090","","112","wac_215_karin_idle_normal","","118511","","1","","0.2","3"
"112091","","112","wac_215_karin_talk_normal","","118511","","1","","0.2","3"
"112092","","112","vo_wac_220215_016","0","vo_wac_220215","","0","","","21"
