5e774f34b6eb0d1775a16052173258678dfe8f9df738dc4f69ddb28568605d6a,0a9e125fe421b22aea6da09633434bfb14d4ea26642a8bbe005c5fe73f985489,36d0ed5e992237aa181449346ae704a1a427a1e6132456bd2f40c9e4c37ed08c,cd38a8889f977db7a009817f3ac077dfb61c590cc333f53af2326cc093758c69,159639da14371d1fbe000084da9d5a38c2d12f42d07158a11ef99f3a39725515,844d98174cb17bd1be24526e4726d4979888bf7958579f398b3119f445148b60
"1","10008103","0","1","10008","10008001"
"2","10008104","0","1","10008","10008002"
"3","10008105","0","1","10008","10008003"
"4","10008107","0","1","10008","10008004"
"5","10008111","0","1","10008","10008005"
"201","0","0","2","10008","10008006"
"101","10008105","0","201","10008","10008201"
"102","10008107","0","201","10008","10008202"
"103","10008111","0","201","10008","10008203"
"111","10008115","0","202","10008","10008204"
"105601","0","0","101","10008","10008301"
"100901","10008103","0","101","10008","10008302"
"101301","10008104","0","101","10008","10008303"
"105601","10008105","0","101","10008","10008304"
"101301","10008107","0","101","10008","10008305"
"100901","10008111","0","101","10008","10008306"
"105601","0","0","102","10008","10008307"
"201","0","0","2","10010","10010001"
"2","10010112","0","1","10010","10010002"
"3","10010115","0","1","10010","10010003"
"4","10010103","0","1","10010","10010004"
"5","10010105","0","1","10010","10010005"
"6","10010107","0","1","10010","10010006"
"7","10010109","0","1","10010","10010007"
"101","10010112","0","211","10010","10010201"
"0","10010115","0","211","10010","10010202"
"101461","10010110","101471","501","10010","10010501"
"101462","10010110","101472","501","10010","10010502"
"101463","10010110","101473","501","10010","10010503"
"211","1001004","0","3","10010","10010531"
"1","1001201","0","4","10012","10012001"
"2","1001202","0","4","10012","10012002"
"3","1001203","0","4","10012","10012003"
"4","1001204","0","4","10012","10012004"
"101","1001201","0","5","10012","10012301"
"101","1001202","0","5","10012","10012302"
"101","1001203","0","5","10012","10012303"
"501","0","0","6","10012","10012401"
"211","1001204","0","3","10012","10012531"
"211","1001304","0","3","10013","10013531"
"211","1001504","0","3","10015","10015531"
"1","10017102","0","1","10017","10017001"
"2","10017108","0","1","10017","10017002"
"3","10017115","0","1","10017","10017003"
"105801","0","0","101","10017","10017301"
"109901","10017102","0","101","10017","10017302"
"109901","0","0","102","10017","10017303"
"211","1001704","0","3","10017","10017531"
"101921","10021112","101931","501","10021","10021001"
"101922","10021112","101932","501","10021","10021002"
"101923","10021112","101933","501","10021","10021003"
"100011","10021112","100351","501","10021","10021004"
"100012","10021112","100352","501","10021","10021005"
"100013","10021112","100353","501","10021","10021006"
"100014","10021112","100354","501","10021","10021007"
"100015","10021112","100355","501","10021","10021008"
"100016","10021112","100356","501","10021","10021009"
"100017","10021112","100357","501","10021","10021010"
"100018","10021112","100358","501","10021","10021011"
"100019","10021112","100359","501","10021","10021012"
"211","1003904","0","3","10039","10039531"
"1","10053102","0","1","10053","10053001"
"2","10053108","0","1","10053","10053002"
"3","10053115","0","1","10053","10053003"
"105801","0","0","101","10053","10053301"
"109901","10053102","0","101","10053","10053302"
"109901","0","0","102","10053","10053303"
"211","1005304","0","3","10053","10053531"
"1","10084102","0","1","10084","10084001"
"2","10084112","0","1","10084","10084002"
"3","10084115","0","1","10084","10084003"
"1","10085102","0","1","10085","10085001"
"2","10085108","0","1","10085","10085002"
"3","10085115","0","1","10085","10085003"
"1","10112102","0","1","10112","10112001"
"2","10112112","0","1","10112","10112002"
"3","10112115","0","1","10112","10112003"
"1","10113102","0","1","10113","10113001"
"2","10113108","0","1","10113","10113002"
"3","10113115","0","1","10113","10113003"
"1","10153102","0","1","10153","10153001"
"2","10153108","0","1","10153","10153002"
"3","10153115","0","1","10153","10153003"
"105801","0","0","101","10153","10153301"
"109901","10153102","0","101","10153","10153302"
"109901","0","0","102","10153","10153303"
"211","1015304","0","3","10153","10153531"
"1","20008103","0","1","20008","20008001"
"2","20008104","0","1","20008","20008002"
"3","20008105","0","1","20008","20008003"
"4","20008107","0","1","20008","20008004"
"5","20008111","0","1","20008","20008005"
"201","0","0","2","20008","20008006"
"101","20008105","0","201","20008","20008201"
"102","20008107","0","201","20008","20008202"
"103","20008111","0","201","20008","20008203"
"111","20008115","0","202","20008","20008204"
"105601","0","0","101","20008","20008301"
"100901","20008103","0","101","20008","20008302"
"101301","20008104","0","101","20008","20008303"
"105601","20008105","0","101","20008","20008304"
"101301","20008107","0","101","20008","20008305"
"100901","20008111","0","101","20008","20008306"
"105601","0","0","102","20008","20008307"
"201","0","0","2","20010","20010001"
"1","20010110","0","1","20010","20010002"
"2","20010112","0","1","20010","20010003"
"3","20010115","0","1","20010","20010004"
"4","20010103","0","1","20010","20010005"
"5","20010105","0","1","20010","20010006"
"6","20010107","0","1","20010","20010007"
"7","20010109","0","1","20010","20010008"
"101","20010112","0","211","20010","20010201"
"0","20010115","0","211","20010","20010202"
"101461","20010110","101471","501","20010","20010501"
"101462","20010110","101472","501","20010","20010502"
"101463","20010110","101473","501","20010","20010503"
"211","2001004","0","3","20010","20010531"
"1","2001201","0","4","20012","20012001"
"2","2001202","0","4","20012","20012002"
"3","2001203","0","4","20012","20012003"
"4","2001204","0","4","20012","20012004"
"101","2001201","0","5","20012","20012301"
"101","2001202","0","5","20012","20012302"
"101","2001203","0","5","20012","20012303"
"501","0","0","6","20012","20012401"
"211","2001204","0","3","20012","20012531"
"211","2001404","0","3","20014","20014531"
"101921","20016112","101931","501","20016","20016001"
"101922","20016112","101932","501","20016","20016002"
"101923","20016112","101933","501","20016","20016003"
"100011","20016112","100351","501","20016","20016004"
"100012","20016112","100352","501","20016","20016005"
"100013","20016112","100353","501","20016","20016006"
"100014","20016112","100354","501","20016","20016007"
"100015","20016112","100355","501","20016","20016008"
"100016","20016112","100356","501","20016","20016009"
"100017","20016112","100357","501","20016","20016010"
"100018","20016112","100358","501","20016","20016011"
"100019","20016112","100359","501","20016","20016012"
"1","20046102","0","1","20046","20046001"
"2","20046112","0","1","20046","20046002"
"3","20046115","0","1","20046","20046003"
"1","20047102","0","1","20047","20047001"
"2","20047108","0","1","20047","20047002"
"3","20047115","0","1","20047","20047003"
