1665d3175bded653b1221a323510894ee5acf6704a9787f7ba20557744895e27,1ee21fcb711913efb520292e8cc9adabafd11582b76f82dcba2c70e277315b53,3cef794ed06ac9ed308ca8482b2e61f36877c60709e9af910e0b27eb0c0e8689,d61b4e2721477629001f47b61169faa9e6d5cddbd867c56b5f46bb1c2acf7214,608b2b725bd0ff4319738a53eb35cce09d007951721c09a67c13086774c3f714,c325581bb62fb32e091a3f980e69e368e345bd0b8454a9079cb8920a35ac96a0,bdc5bd467b875e320f55efbac3817bf171968e1b8bf024c3067a1b84ad9ec005,9dec3f2bb5d0b73d72ed5876c14331de3357748ad849e3072847dbd6d979a046,103cd38fd95a9d4f51599c41fb73ab2df85c0c62040aaa7775c022a71e89533c,f4a9dd26962027dafb1e96046026befb7c26916306b5b58f5bd03cb5b24cabb8,6ae2ac7dc017aaea8a36cc764ed1f1d9382916557fa28a79004e10423e38cef9,b6d2f7fceec52c3b3dafd968691bcedb378110d8c7e4b42517dd2267da9342d9
"1","0","0","為了迎接公主祭典，要不要在嶄新的一天\n用抽籤占卜一下運勢呢？\n運勢愈好，\n就能得到愈多禮物唷♪","1","1","花凜","0","","60000","190804","1"
"2","0","1","今天的運勢是姬吉！                                                                  這是所有運氣當中最好的！                                                        現在只要帶領著「傳說的吸血鬼」，就算征服世界也不是夢想！","1","0","","0","","60000","0","2"
"2","0","1","今天的運勢是姬吉！　要做的事都會達到頂峰！                            太讚了吧☆　幸運物是飯糰！                                                     肚子飽飽的幸福就會持續下去吧！","1","0","","0","","60000","0","3"
"2","0","1","今天的運勢是姬吉！                                                                  這麼好的運氣有如將軍一般！                                                     威信滿滿使人們著迷，一定會受到大家的歡迎！","2","0","","0","","60000","0","4"
"2","0","2","今天的運勢是大吉！                                                                  運氣愈來愈好了！                                                                     無論做什麼事，只要發揮最高效率都能夠有美好的結果唷♪","1","0","","0","","60000","0","5"
"2","0","2","今天的運勢是大吉！                                                                  無論做什麼事都能夠順順利利，表現出色！                                  看到這麼棒的你，是不是因為你後面的誰……嘻嘻♪","1","0","","0","","60000","0","6"
"2","0","2","今天的運勢是大吉！                                                                  運氣超好，無論挑戰什麼都會有好結果！                                      隱藏的才能好像會被引導出來！　目標是秀……不對是秀才！","2","0","","0","","60000","0","7"
"2","0","3","今天的運勢是中吉！                                                                  事業運愈來愈上升了！　幸運物是鯛魚燒！                                  用和菓子力量提高業績！","1","0","","0","","60000","0","8"
"2","0","3","今天的運勢是中吉！                                                                  旅行運迅速上升中♪                                                                   說不定，就連那個「真步真步王國」也能到的了♪","1","0","","0","","60000","0","9"
"2","0","3","今天的運勢是中吉！                                                                  工作運急速上升中！                                                                  一定能像「飛舞於煉獄，一陣疾風」一樣表現活躍唷！","1","0","","0","","60000","0","10"
"2","0","3","今天的運勢是中吉！                                                                  好好等待機會就會迎向好結果！                                                  吃掉幸運物布丁，把運氣呼喚過來吧！","1","0","","0","","60000","0","11"
