c8cbcb30bba437d56f595afaab6b4ace6187d43752937f92629eb86363143d7e,93f80780c9c7e2bcc3fe2e9b6135a6147d32f2c6509f043d6582505001c13298,59c2a237fa619dcdff21fcadba83f7facfaa08ee823dc8414122571ea3744e65,e184f171928b03f28ecc5c2db474623d171e662574e1152a200a9ca31af41ff0,5b93d210b2ceb0b0809345ea3e71d0175788f811c4f24119c4b77d73b135faa2,cecfbfbaacaacd16b516aa9bc1a709d5ac047d1f05ecf6c01c825dd51becd940,e8471256949a004d2b0b2611487841d677fa45837fd86096a10f91c90d5c546c,5d517c3d10d1fc418d69d0f958178b76ae4e78322f3b557004e0f82d765bebe5,17cc822160801fc00c88d51c0b663c3af1f69c1901ec81567d10083623da7e79,bfbe0a2210ae196b6fa9851f682cfe89294f8dcd3eb2ffd9aa786f0854758cc8,cf4a50babb1964641e87ba9033be3592eb3a9e45281bcf5970edf11797291891,7667c5aaa3ff34657537678f31230150aee0bd1461a75a10f5b36285ac3f7a79,ff962d7514f0c0e106e0ddac222693714addde0d3b3931e4c2b6857189c2fa08,191592342bbdc2b2b1e7274072d33fe8979760167b03cc86f190f16057491987,7f2516069f95f8343af51c6122bb0a4bb2fced1155c3b5f0aa515b2ea0d30763
"bgm_MC043","16","96001","2024/01/16 15:59:59","-1","bgm_MC043","-1","1","10010001","2023/11/01 16:00:00","8","100","-1","2024/01/23 15:59:59","1"
"bgm_MC043","16","96002","2024/04/16 15:59:59","-1","bgm_MC043","-1","1","10020001","2024/01/16 16:00:00","8","100","-1","2024/04/23 15:59:59","2"
"bgm_MC103","16","96003","2024/07/16 15:59:59","-1","bgm_MC103","-1","2","10030001","2024/04/16 16:00:00","8","100","-1","2024/07/23 15:59:59","3"
"bgm_MC103","16","96004","2024/10/16 15:59:59","-1","bgm_MC103","-1","2","10040363","2024/07/16 16:00:00","8","100","-1","2024/10/23 15:59:59","4"
"bgm_MC103","16","96005","2025/01/16 15:59:59","-1","bgm_MC103","-1","2","10050001","2024/10/16 16:00:00","10","500","-1","2025/01/23 15:59:59","5"
"bgm_MC103","16","96006","2025/04/17 15:59:59","-1","bgm_MC103","-1","2","10060001","2025/01/16 16:00:00","10","500","-1","2025/04/24 15:59:59","6"
"bgm_MC211","16","96007","2025/07/16 15:59:59","5","bgm_MC211","15","3","10070363","2025/04/17 16:00:00","10","1000","15","2025/07/23 15:59:59","7"
"bgm_MC211","16","96008","2025/10/10 15:59:59","5","bgm_MC211","15","3","10080001","2025/07/16 16:00:00","10","1000","15","2025/10/17 15:59:59","8"
"bgm_MC211","16","96009","2026/01/10 15:59:59","5","bgm_MC211","15","3","10090001","2025/10/10 16:00:00","10","1000","15","2026/01/17 15:59:59","9"
"bgm_MC043","16","96010","2026/04/10 15:59:59","5","bgm_MC043","15","1","10100363","2026/01/10 16:00:00","10","1000","15","2026/04/17 15:59:59","10"
"bgm_MC043","16","96011","2026/07/10 15:59:59","5","bgm_MC043","15","1","10110001","2026/04/10 16:00:00","10","1000","15","2026/07/17 15:59:59","11"
"bgm_MC103","16","96012","2026/10/09 15:59:59","5","bgm_MC103","15","2","10120001","2026/07/10 16:00:00","10","1000","15","2026/10/17 15:59:59","12"
