fd6e503f4c6d39c4967e0c7aa80f361ae14e7a91be9fef34f19d859d4959a595,0bb6f5bf8b25dff7a68f8f67f6fa2ca040c49ac8dd21dce91e81d69949a3e7c5,016172b7400e8936bb620eba7bb6177a2aa4a12671446258867815447305aa33
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","1"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理攻擊力","2"
"[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]","全角色 強化普通攻擊","3"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法攻擊力","4"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理防禦力","5"
"[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]10[-][3C404E][-]","全角色 強化恢復","6"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法防禦力","7"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊率","8"
"[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]","全角色 強化狀態異常命中","9"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法暴擊率","10"
"[3C404E]挑戰開始時，可以多持有[-][FFBB00,CE4F00]1000[-][3C404E]始源盧幣出發[-]","增加挑戰開始時的始源盧幣","11"
"[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊傷害","12"
"[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的強化效果與職階專精共通）[-]","全角色 強化增益","13"
"[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法暴擊傷害","14"
"[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化物理造成的傷害","15"
"[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的弱化效果與職階專精共通）[-]","全角色 強化減益","16"
"[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法造成的傷害","17"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","18"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","強化屬性獎勵","19"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","20"
"[3C404E]挑戰中，陳列於商店的道具價格[-][FFBB00,CE4F00]25％OFF[-][3C404E]（僅使用「始源盧幣」購買的商店有效）[-]","始源盧幣商店折扣","21"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理攻擊力","22"
"[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]30[-][3C404E][-]","全角色 強化普通攻擊","23"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法攻擊力","24"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理防禦力","25"
"[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]15[-][3C404E][-]","全角色 強化恢復","26"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法防禦力","27"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊率","28"
"[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]30[-][3C404E][-]","全角色 強化狀態異常命中","29"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法暴擊率","30"
"[3C404E]挑戰開始時，可追加獲得與所選擇之公會對應的[-][FFBB00,CE4F00]迷宮遺物[-][3C404E][-]","追加挑戰開始時的迷宮遺物","31"
"[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊傷害","32"
"[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]15[-][3C404E]（※目標的強化效果與職階專精共通）[-]","全角色 強化增益","33"
"[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法暴擊傷害","34"
"[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化物理造成的傷害","35"
"[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]15[-][3C404E]（※目標的弱化效果與職階專精共通）[-]","全角色 強化減益","36"
"[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法造成的傷害","37"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","38"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","強化屬性獎勵","39"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","40"
"[3C404E]戰鬥勝利時的始源盧幣獲得量增加[-][FFBB00,CE4F00]50％[-][3C404E][-]","增加戰鬥勝利時的獎勵","41"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理攻擊力","42"
"[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]10[-][3C404E][-]","全角色 強化普通攻擊","43"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法攻擊力","44"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理防禦力","45"
"[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]5[-][3C404E][-]","全角色 強化恢復","46"
