b80f23b4647911a6483dfcb076d33070aedfa657e6f583b762433e32a094a4da,32495fd1bccd3e621c728a2655780f404c101df008cbdb51469eac10751324ac,3dba7375ce3027e6fa311a44da856d80df8c1422682d4c8e4b79498aad575ea1,88cd21052608dd542df6e655e2ab30c78652349615d885ad78e8044f6d950497,3531bd57b766dbec97efca4e246cb35ea320d933d8b74b700a77b23e53ed156b,497f14919df43957514929bcf064a223e47a4854bbedcd6936d6c36c8a0638a2,b862bc7f44b952b567c6352f1a93dbafee75d36facad3694006309c5714b9094,53829b7de4be603cfbbe4f74222bf040f0b4eb65fc61ad97e563254752cfd911
"4","111","2","1","200","5","3","104"
"4","211","2","1","2","5","3","14"
"4","311","2","1","2","5","3","103"
"4","411","2","1","2","5","3","102"
"4","511","2","1","200","5","3","104"
"4","611","2","1","250","5","3","1"
"4","711","2","1","3","5","3","101"
"4","811","2","1","3","5","3","100"
"4","911","2","1","200","5","3","104"
"4","1011","2","1","250","5","3","1"
"4","1111","2","1","250","5","3","3"
"4","1112","2","1","250","5","3","5"
"4","1211","2","1","150","5","3","6"
"4","1212","2","1","150","5","3","7"
"4","1311","2","1","200","5","3","104"
"4","1411","2","1","2","5","3","103"
"4","1511","2","1","2","5","3","102"
"4","1611","2","1","250","5","3","1"
"4","1711","2","1","200","5","3","104"
"4","1811","2","1","500","5","3","2"
"4","1812","2","1","500","5","3","4"
"4","1911","2","1","3","5","3","101"
"4","2011","2","1","3","5","3","100"
"4","2111","2","1","200","5","3","104"
"4","2211","2","1","250","5","3","1"
"4","2311","2","1","3","5","3","100"
"4","2411","2","1","3","5","3","101"
"4","2511","2","1","200","5","3","104"
"4","2611","2","1","500","5","3","2"
"4","2612","2","1","500","5","3","4"
"4","2711","2","1","150","5","3","6"
"4","2712","2","1","150","5","3","7"
"4","2811","2","1","500","5","3","2"
"4","2812","2","1","500","5","3","4"
"4","2911","2","1","200","5","3","104"
"4","3011","2","1","250","5","3","3"
"4","3012","2","1","250","5","3","5"
"4","3111","2","1","3","5","3","100"
"4","3211","2","1","3","5","3","101"
"4","3311","2","1","200","5","3","104"
"4","3411","2","1","2","5","3","100"
"4","3511","2","1","200","5","3","104"
"4","3611","2","1","1","5","3","103"
"4","3711","2","1","1","5","3","102"
"4","3811","2","1","250","5","3","2"
"4","3812","2","1","250","5","3","4"
"4","3911","2","1","1","5","3","102"
"4","4011","2","1","200","5","3","104"
"4","4111","2","1","2","5","3","100"
"4","4211","2","1","150","5","3","6"
"4","4212","2","1","150","5","3","7"
"4","4311","2","1","200","5","3","104"
"4","4411","2","1","1","5","3","103"
"4","4511","2","1","200","5","3","104"
"4","4611","2","1","2","5","3","101"
"4","4711","2","1","1","5","3","102"
"4","4811","2","1","200","5","3","104"
"4","4911","2","1","1","5","3","103"
"4","5011","2","1","200","5","3","104"
"4","5111","2","1","2","5","3","101"
"4","5211","2","1","1","5","3","102"
"4","5311","2","1","200","5","3","104"
"4","5411","2","1","150","5","3","6"
"4","5412","2","1","150","5","3","7"
"4","5511","2","1","1","5","3","103"
"4","5611","2","1","200","5","3","104"
"4","5711","2","1","2","5","3","100"
"4","5811","2","1","2","5","3","101"
"4","5911","2","1","1","5","3","103"
"4","6011","2","1","200","5","3","104"
"4","6111","2","1","1","5","3","102"
"4","6211","2","1","250","5","3","2"
"4","6212","2","1","250","5","3","4"
"4","6311","2","1","200","5","3","104"
"4","6411","2","1","1","5","3","103"
"4","6511","2","1","1","5","3","102"
"4","6611","2","1","200","5","3","104"
