487d3d181d44f60f8feb8e31f7c083af0187bc2dec825300ee45323b4484b57a,313c4d7bb6857e594fcfc7cd4c66e5b5a193296547fb2fe93ba05cfbb53b4069,6433a9f3c5f5e12f230f6c6c2089f7bdef44da286c1e4655e85fd9a2e1264404,6b1bd9e909ab0e7b862b07de15234e14a06e958df522a9ece83e1b653d5a7287,e5dd5d9c0b6e4dfcb3a6df9f9c3ddd531e6ea60677abb89fe5fc8c5ad2158da6,604f8d6d3454c1f526b696310cb6b97396a69be5d48154f72f2a89708f68d93e,27af43a0488900aa446a2f03d7ad97666a76b5f7069a18ced98c75053a0697d4,d142abd1a2a81bc21bda6494a4a1f9e1c988a15bf682926548489597eaa756c2,aef48d953c8921abc0d4a265e4194d4b8dbe9d46e63147e7ac4c643a8cb9d16c,9d73a0d97f70466bbb60668e389b9a427236a3fec029d560634c2dc928d5c8e3,9c156f5bafd4d6019df6ad20b613ed8294cc8211a01b10b78160490d2bef01f8,1740d2d9e3dc034af5c23bf8840fd1ebb44ef55beaaf9593a2d3a36519844361
"1","105901","20","10146","105801","2024/10/01 16:00:00","106001","8","1","大蜂蜜雲霄飛車1","91002","5146061"
"1","0","20","10146","100901","2024/10/02 16:00:00","0","8","1","大蜂蜜雲霄飛車2","91002","5146062"
"1","0","20","10146","106601","2024/10/04 16:00:00","0","8","1","大蜂蜜雲霄飛車3","91002","5146063"
"2","131501","20","10146","105801","2024/10/02 16:00:00","0","8","1","漂浮之花摩天輪1","91002","5146064"
"2","131001","20","10146","130901","2024/10/04 16:00:00","0","8","1","漂浮之花摩天輪2","91002","5146065"
"2","0","20","10146","104001","2024/10/03 16:00:00","0","8","1","漂浮之花摩天輪3","91002","5146066"
"3","106601","20","10146","106501","2024/10/01 16:00:00","0","8","1","莓果糖咖啡杯1","91002","5146067"
"3","106001","20","10146","105801","2024/10/03 16:00:00","0","8","1","莓果糖咖啡杯2","91002","5146068"
"3","131401","20","10146","131301","2024/10/02 16:00:00","0","8","1","莓果糖咖啡杯3","91002","5146069"
"4","0","20","10146","102101","2024/10/03 16:00:00","0","8","1","潛入3D世界1","91002","5146070"
"4","0","20","10146","130901","2024/10/01 16:00:00","0","8","1","潛入3D世界2","91002","5146071"
"0","0","20","10146","0","2024/10/01 16:00:00","0","8","2","表演者介紹：植物羊","91002","5146072"
"0","0","20","10146","0","2024/10/01 16:00:00","0","8","2","表演者介紹：啾二＆啾三","91002","5146073"
"0","0","20","10146","0","2024/10/01 16:00:00","0","8","2","表演者介紹：玩具王","91002","5146074"
"0","0","20","10146","0","2024/10/01 16:00:00","0","8","2","表演者介紹：招財貓","91002","5146075"
"0","0","1","10146","0","2024/10/01 16:00:00","0","15","3","魔物遊行","11001313","5146901"
