5044eb66a4818a6b037697ed0c2761220bc19dde18ba20d1ab20e3779ce37c53,1572060b1fffd591757f18eeb4bf0254f518544704119a66acaaa227ba98b662,556d334d692507a6e9bc2b1eea6b2cce3e99022532ef05d8f7008b392417e3a8,d1861fb8b61d603ac93f3d2823c74c5423ee608eddec411b50466c2efbb0db0f,132bafeb27af9bfd45c299357762fc1ab0216e68c4492f3a885b5f395f44ec65
"1","1","美食殿堂","105801","50001"
"2","2","破曉\n之星","100101","50002"
"7","3","咲戀育幼院","102801","50003"
"11","4","王宮\n騎士團","104701","50004"
"15","5","拉比林斯","106801","50005"
"3","6","慈樂之音","102901","50006"
"5","7","惡魔偽\n王國軍","104401","50007"
"4","8","伊麗\n莎白牧場","103301","50008"
"13","9","墨丘利財團","103201","50009"
"9","10","暮光\n流星群","105601","50010"
