8e53c222f72c23360af647b87614a2cbc7f76524af9914c6e9db4f5e33033ec6,1517babe304edb25594427f1f419c2c5ed6223433f44a22ab0b052054aab5508,f173981dcf39fdd4b955bd2d7288c7733c02d6fa7d7c8db3be02b2ff5b528778,446cfdc80ed82a0aa3b6f387a70506ecc1ffc88290e789ba8bd11a16c10f2899,0f5c3a008585809e9cbcb48d15780f7026421a5ebc00c265c16fcc115a171218,a9d427432a331ae936a05a0a7b08dc8307fe2053a3865e765eb1fbb39e45c024,7302ba13f1d291c80c9b2288dab2bf2d4d3e4f56f6c90ba6f91506e54d30ee18,65264313e87bf66b2253f0ccc66721cf409557bdcc4249f3ed0991c6f17a0cb7,3e1f17468cdc5bb6ef984b0e0fed1bbf9191e296e61ca05a238fac276b6511be,f4b6395613ed17a05b998f05817a6bb5532e15a5bfadd698b1e2456d6efdd543,eb77dc68490f83e17f4c2baa4fdab6facc1bf5e281aba445b204dcfa6a70970f
"0","10116111","10143105","0","0","10116","1","岩浣熊的生態筆記①","207300","1","0"
"0","10116112","0","0","0","10116","1","岩浣熊的生態筆記②","207300","2","0"
"0","10116113","0","0","0","10116","1","岩浣熊的生態筆記③","207300","3","0"
"0","10116114","0","0","0","10116","1","岩浣熊的生態筆記④","207300","4","0"
"1","10116115","0","75","91002","10116","1","洗東西的師傅大人","207300","5","8"
"0","10116121","0","0","0","10116","1","小狸貓的生態筆記①","207000","1","0"
"0","10116122","0","0","0","10116","1","小狸貓的生態筆記②","207000","2","0"
"0","10116123","0","0","0","10116","1","小狸貓的生態筆記③","207000","3","0"
"0","10116124","0","0","0","10116","1","小狸貓的生態筆記④","207000","4","0"
"1","10116125","0","75","91002","10116","1","小小的重逢與幻惑","207000","5","8"
"0","10116131","0","0","0","10116","1","哥布林王者的生態筆記①","305700","1","0"
"0","10116132","0","0","0","10116","1","哥布林王者的生態筆記②","305700","2","0"
"0","10116133","0","0","0","10116","1","哥布林王者的生態筆記③","305700","3","0"
"0","10116134","0","0","0","10116","1","哥布林王者的生態筆記④","305700","4","0"
"1","10116135","0","75","91002","10116","1","學習先從表面開始","305700","5","8"
"0","10116211","10143105","0","0","10116","2","沉睡之梟的生態筆記①","206900","1","0"
"0","10116212","0","0","0","10116","2","沉睡之梟的生態筆記②","206900","2","0"
"0","10116213","0","0","0","10116","2","沉睡之梟的生態筆記③","206900","3","0"
"0","10116214","0","0","0","10116","2","沉睡之梟的生態筆記④","206900","4","0"
"1","10116215","0","75","91002","10116","2","舒服到升天的睡眠感覺","206900","5","8"
"0","10116221","0","0","0","10116","2","雷雷的生態筆記①","304600","1","0"
"0","10116222","0","0","0","10116","2","雷雷的生態筆記②","304600","2","0"
"0","10116223","0","0","0","10116","2","雷雷的生態筆記③","304600","3","0"
"0","10116224","0","0","0","10116","2","雷雷的生態筆記④","304600","4","0"
"1","10116225","0","75","91002","10116","2","重視各自的生存方式","304600","5","8"
"0","10116231","0","0","0","10116","2","喵特的生態筆記①","215300","1","0"
"0","10116232","0","0","0","10116","2","喵特的生態筆記②","215300","2","0"
"0","10116233","0","0","0","10116","2","喵特的生態筆記③","215300","3","0"
"0","10116234","0","0","0","10116","2","喵特的生態筆記④","215300","4","0"
"1","10116235","0","75","91002","10116","2","你教會我的事","215300","5","8"
