f2b83594b86848a2b6f53481bdc109e29749c191ad07aeb0b69a2ec75ad48839,36d0f0260355a611ff0f725e8db50f824386849c075c7bf9df4d5a0ebb825723,8fb6e956fa63a0874d08c76ab78547b2eba805df9a0ffb1faeac44f0b1b65343,3201e8416cb28e2c3b9a0745e7ed5f0216c183f14c9b31fb5ad4ed44f1023f70,c6a562fda558afc395690f15c6cd62b4768492e22df0b9e0ffcf88d956614c70,9b20a66df315be86cc9cf211c0beba84a4c47196c7b579b8a7da1f9f83a5028b,a2a9437dee079d836f121f0d3e4d520cd605bb2759191b1f9ad1d06d6597192d,c0e05eec56d79eaaacbfcbe3eed930c245c931c03ab6bb7c5c9ac91c767fd0f5,e0f08cdc33338e267123fba4129cf830e7bf33b0df4ae2ce91713e1462ed70fa,5cc067c7c9bf2e6a3f54f5fdfd0e671ba5f9814c60c7f409d3ccefcd04a7a8ff,f79f1c2fc975d8751e9cba024e0ed17839ba2dd5d10b94c64ba30200d01c531f,ae654e3da22101ec80472a772b9fffb18cb1c83a1bbff6fc87bb7de37b1d82cb,c935d72421c1b8e6895ede6939867ea93f1c00fd3922f2f11d67836857ca3e86,ac6fb8d40b0a43390aecf051f5244c8cbc74ed840eb6a3ffde416303a498dbbc,e737401dd8e0622d14fcb4153c20967e87fa66632910e2340e7522774f9e6269,d0b0f0ca3a5932f63c5da353de9f68ec673269eed4d0662cb8d479cb2111bd13,0405c6efcb6cfa31308d460d93adac60055d10b8d70c001171ecd786661e2245,df557187c915eb0ce3d0f6a1af0c08a78e1d632d31c187366118aebe20a2d9ed,73651bda22e494af65edbc3e0db4e94a70d54c4eb028dd662f1e1acc46b389e2,c491a239f41802c5fa89feb9d167263f9bb56fa2bceecb65d35a397d604fd6f4,f929659c0b30258e484ff81bb7c9e6c49cbb4732638caa3b3355770dd6a1d132
"51200001","最終之戰","0","0","901000103","0","0","512000011","0","0","90","0","0","0","901000106","100182","901000102","2000001","0","901000105","0"
"51200002","新手教學戰鬥","0","0","901000202","bgm_M06","512000022","512000021","bgm_M06","0","90","bgm_M06","100022","0","0","100021","901000201","2000002","bgm_M06","901000104","0"
"51200006","新手教學戰鬥","0","0","901000202","bgm_M06","512000022","512000021","bgm_M06","0","90","bgm_M06","100022","0","0","100021","901000201","2000006","bgm_M06","901000104","0"
"52003005","ADV戰鬥","0","0","901000302","0","0","520030051","bgm_M17_03_and_M29","0","90","bgm_M17","0","0","0","100671","901000301","2003005","0","901000303","0"
"52004002","ADV戰鬥","0","0","901000402","0","0","520040021","bgm_M06","0","90","bgm_M06","0","0","0","100011","901000401","2004002","0","901000403","0"
"55001004","席茲之戰","0","0","0","0","0","550010041","bgm_M47","0","90","bgm_M47","0","0","0","81000111","901000501","5001004","0","0","0"
"55001006","席茲之戰","0","0","901000501","0","0","550010041","bgm_M47","0","90","bgm_M47","0","0","0","81000106","901000401","5001006","0","901000502","0"
"55002005","阿爾瑪之戰","0","0","901000602","0","0","550020051","bgm_M102","0","90","bgm_M102","0","0","0","81000205","901000601","5002005","0","901000603","0"
"55002006","阿爾瑪之戰","0","0","901000602","0","0","550020052","bgm_M102","0","90","bgm_M102","0","0","0","81000206","901000601","5002006","0","901000603","0"
"55003006","加爾格之戰","0","0","901000701","0","0","550030061","bgm_M109","0","90","bgm_M109","0","0","901000703","81000305","901000601","5003006","0","901000702","0"
"55004005","泳裝戰鬥","0","0","901000801","0","0","550040051","bgm_M116","0","90","bgm_M116","0","0","901000803","100931","901000601","5004005","0","901000802","0"
"55005006","島鯨戰鬥","0","0","901000901","0","0","550050061","bgm_M124","0","90","bgm_M124","0","0","901000903","81000505","901000906","5005006","0","901000902","901000904"
"55011005","情人節頭目戰","0","0","901001001","0","0","550110051","bgm_M192","0","90","bgm_M192","0","0","901001003","81001105","901000906","5011005","0","901001002","0"
"55011006","情人節頭目戰","0","0","901001002","0","0","550110051","0","0","90","0","0","0","0","81001106","901001001","5011006","0","901001003","0"
