f8cb5530ed5bdcf43636b65bc3790351c3a4ab495c384704712f4616af763fbf,3c7228c260596eb4e09b84747d755241e68200b889763d9fd04955d9c96ba3c4,2f1a2066ca7ca3bc832f16f92b08d25dbca98745a921da4d2662b791cb269d1f,19e8726e195502af733f3fb0d3eac312b7c0e70360df45827e85e7bb90cd0d4f,b8e9ab7f488506c2f72b3f25e343011c49ea3a6c477a9ea6c51398012de8df5d
"20","999","30","1","0"
"20","999","30","2","24"
"21","999","30","3","32"
"21","999","30","4","40"
"22","999","30","5","48"
"22","999","30","6","64"
"23","999","30","7","80"
"23","999","30","8","96"
"24","999","30","9","120"
"24","999","30","10","168"
"25","999","30","11","224"
"25","999","30","12","280"
"26","999","30","13","344"
"26","999","30","14","420"
"27","999","30","15","502"
"28","999","30","16","584"
"30","999","30","17","666"
"35","999","30","18","748"
"40","999","30","19","830"
"45","999","30","20","930"
"50","999","30","21","1040"
"55","999","30","22","1178"
"60","999","30","23","1316"
"70","999","30","24","1458"
"80","999","30","25","1604"
"85","999","30","26","1755"
"85","999","30","27","1910"
"86","999","30","28","2070"
"87","999","30","29","2235"
"88","999","30","30","2405"
"89","999","30","31","2579"
"90","999","30","32","2760"
"91","999","30","33","2945"
"92","999","30","34","3136"
"93","999","30","35","3333"
"94","999","30","36","3535"
"95","999","30","37","3744"
"96","999","30","38","3974"
"97","999","30","39","4226"
"98","999","30","40","4504"
"99","999","30","41","4810"
"100","999","30","42","5152"
"101","999","30","43","5535"
"102","999","30","44","5965"
"103","999","30","45","6446"
"104","999","30","46","7004"
"105","999","30","47","7651"
"106","999","30","48","8401"
"107","999","30","49","9272"
"108","999","30","50","10282"
"109","999","30","51","11454"
"110","999","30","52","12813"
"111","999","30","53","14389"
"112","999","30","54","16159"
"113","999","30","55","17929"
"114","999","30","56","19699"
"115","999","30","57","21469"
"116","999","30","58","23239"
"117","999","30","59","25009"
"118","999","30","60","26779"
"119","999","30","61","28549"
"120","999","30","62","30319"
"121","999","30","63","32089"
"122","999","30","64","33859"
"123","999","30","65","35629"
"124","999","30","66","38284"
"125","999","30","67","40939"
"126","999","30","68","43594"
"127","999","30","69","46249"
"128","999","30","70","48904"
"129","999","30","71","51559"
"130","999","30","72","54214"
"131","999","30","73","56869"
"132","999","30","74","59524"
"133","999","30","75","62179"
"134","999","30","76","64834"
"135","999","30","77","68374"
"136","999","30","78","71914"
"137","999","30","79","75454"
"138","999","30","80","78994"
"139","999","30","81","82534"
"140","999","30","82","86074"
"141","999","30","83","89614"
"142","999","30","84","93154"
"143","999","30","85","96694"
"144","999","30","86","100234"
"145","999","30","87","103774"
"146","999","30","88","107314"
"147","999","30","89","110854"
"148","999","30","90","114394"
"149","999","30","91","117934"
"150","999","30","92","121474"
"151","999","30","93","125014"
"152","999","30","94","128554"
"153","999","30","95","132094"
"154","999","30","96","135634"
"155","999","30","97","139174"
"156","999","30","98","142714"
"157","999","30","99","146254"
"158","999","30","100","149794"
"159","999","30","101","153334"
"160","999","30","102","157759"
"161","999","30","103","162184"
"162","999","30","104","166609"
"163","999","30","105","171034"
"164","999","30","106","175459"
"165","999","30","107","179884"
"166","999","30","108","184309"
"167","999","30","109","188734"
"168","999","30","110","193159"
"169","999","30","111","197584"
"170","999","30","112","202009"
"171","999","30","113","206434"
"172","999","30","114","210859"
"173","999","30","115","215284"
"174","999","30","116","219709"
"175","999","30","117","224134"
"176","999","30","118","228559"
"177","999","30","119","232984"
"178","999","30","120","237409"
"179","999","30","121","241834"
"180","999","30","122","246259"
"181","999","30","123","250684"
"182","999","30","124","255109"
"183","999","30","125","259534"
"184","999","30","126","263959"
"185","999","30","127","268384"
"186","999","30","128","272809"
"187","999","30","129","277234"
"188","999","30","130","281659"
"189","999","30","131","286084"
"190","999","30","132","290509"
"191","999","30","133","294934"
"192","999","30","134","299359"
"193","999","30","135","303784"
"194","999","30","136","308209"
"195","999","30","137","312634"
"196","999","30","138","317059"
"197","999","30","139","321484"
"198","999","30","140","325909"
"199","999","30","141","330334"
"200","999","30","142","334759"
"201","999","30","143","339184"
"202","999","30","144","343609"
"203","999","30","145","348034"
"204","999","30","146","352459"
"205","999","30","147","356884"
"206","999","30","148","361309"
"207","999","30","149","365734"
"208","999","30","150","370159"
"209","999","30","151","374584"
"210","999","30","152","379009"
"211","999","30","153","383434"
"212","999","30","154","387859"
"213","999","30","155","392284"
"214","999","30","156","396709"
"215","999","30","157","401134"
"216","999","30","158","405559"
"217","999","30","159","409984"
"218","999","30","160","414409"
"219","999","30","161","418834"
"220","999","30","162","423259"
"221","999","30","163","427684"
"222","999","30","164","432109"
"223","999","30","165","436534"
"224","999","30","166","440959"
"225","999","30","167","445384"
"226","999","30","168","449809"
"227","999","30","169","454234"
"228","999","30","170","458659"
"229","999","30","171","463084"
"230","999","30","172","467509"
"231","999","30","173","471934"
"232","999","30","174","476359"
"233","999","30","175","480784"
"234","999","30","176","485209"
"235","999","30","177","489634"
"236","999","30","178","494059"
"237","999","30","179","498484"
"238","999","30","180","502909"
"239","999","30","181","507334"
"240","999","30","182","511759"
"241","999","30","183","516184"
"242","999","30","184","520609"
"243","999","30","185","525034"
"244","999","30","186","529459"
"245","999","30","187","533884"
"246","999","30","188","538309"
"247","999","30","189","542734"
"248","999","30","190","547159"
"249","999","30","191","551584"
"250","999","30","192","556009"
"251","999","30","193","560434"
"252","999","30","194","564859"
