cf0bf33e1555b307162442e0e5a5c4e8280a52984f7f5037d0e07789ed4e0362,baa4a8c851c742be96b8c8ac39e0d95fb0e39a0285f6ceb9f7e93758c7ceb156,20513d7dc069718131835c13d401cbedd748e3deee392fe80a02af647d856628,8ebf0a922d1d670d238a040d300f1a0d54f430413d014a854a907a007017a481,bc288163bc9a8aaba321bf6ad11f9578437b9349048c56ac3e89f024e12c740a,89502e503b37bc8f266694cfc8bcfe50ca9de4e58098f92065492d60caacdb42
"1","10008","0","1","10008001","10008103"
"2","10008","0","1","10008002","10008104"
"3","10008","0","1","10008003","10008105"
"4","10008","0","1","10008004","10008107"
"5","10008","0","1","10008005","10008111"
"201","10008","0","2","10008006","0"
"101","10008","0","201","10008201","10008105"
"102","10008","0","201","10008202","10008107"
"103","10008","0","201","10008203","10008111"
"111","10008","0","202","10008204","10008115"
"105601","10008","0","101","10008301","0"
"100901","10008","0","101","10008302","10008103"
"101301","10008","0","101","10008303","10008104"
"105601","10008","0","101","10008304","10008105"
"101301","10008","0","101","10008305","10008107"
"100901","10008","0","101","10008306","10008111"
"105601","10008","0","102","10008307","0"
"201","10010","0","2","10010001","0"
"2","10010","0","1","10010002","10010112"
"3","10010","0","1","10010003","10010115"
"4","10010","0","1","10010004","10010103"
"5","10010","0","1","10010005","10010105"
"6","10010","0","1","10010006","10010107"
"7","10010","0","1","10010007","10010109"
"101","10010","0","211","10010201","10010112"
"0","10010","0","211","10010202","10010115"
"101461","10010","101471","501","10010501","10010110"
"101462","10010","101472","501","10010502","10010110"
"101463","10010","101473","501","10010503","10010110"
"211","10010","0","3","10010531","1001004"
"1","10012","0","4","10012001","1001201"
"2","10012","0","4","10012002","1001202"
"3","10012","0","4","10012003","1001203"
"4","10012","0","4","10012004","1001204"
"101","10012","0","5","10012301","1001201"
"101","10012","0","5","10012302","1001202"
"101","10012","0","5","10012303","1001203"
"501","10012","0","6","10012401","0"
"211","10012","0","3","10012531","1001204"
"211","10013","0","3","10013531","1001304"
"211","10015","0","3","10015531","1001504"
"1","10017","0","1","10017001","10017102"
"2","10017","0","1","10017002","10017108"
"3","10017","0","1","10017003","10017115"
"105801","10017","0","101","10017301","0"
"109901","10017","0","101","10017302","10017102"
"109901","10017","0","102","10017303","0"
"211","10017","0","3","10017531","1001704"
"101921","10021","101931","501","10021001","10021112"
"101922","10021","101932","501","10021002","10021112"
"101923","10021","101933","501","10021003","10021112"
"100011","10021","100351","501","10021004","10021112"
"100012","10021","100352","501","10021005","10021112"
"100013","10021","100353","501","10021006","10021112"
"100014","10021","100354","501","10021007","10021112"
"100015","10021","100355","501","10021008","10021112"
"100016","10021","100356","501","10021009","10021112"
"100017","10021","100357","501","10021010","10021112"
"100018","10021","100358","501","10021011","10021112"
"100019","10021","100359","501","10021012","10021112"
"211","10039","0","3","10039531","1003904"
"1","10053","0","1","10053001","10053102"
"2","10053","0","1","10053002","10053108"
"3","10053","0","1","10053003","10053115"
"105801","10053","0","101","10053301","0"
"109901","10053","0","101","10053302","10053102"
