50eae5e0d565c700d31df513b0084aeb84f5d9f66063399303dcaee08b8da93c,6190d3bc4866cee56089385f057e4fa03a23604012bb98ac4954e56109f5cc42,b83ebf90e47b75ac82f52b668379d6f390d5f00cdf5870d138f02ddd655b6145,4751f20bf84c3bbacad0e096feda175b059740d80133bc1b7e12a259dee6d302,53e0dbabda1252508189b68863233cc1c06a3976973ea27cb61b1f3e95879b5f
"990001","-7","1","-4.5","30010001"
"990001","12","1","-21.5","30010003"
"990001","-3","1","-21.5","30010004"
"1","-5.8","1","-21.6","30010007"
"1","-4.4","1","-21.6","30010008"
"1","-16.7","1","-8.6","30010029"
"1","-7","1","-13","30010038"
"990002","-5.5","1","2.9","30010047"
"1","-8.9","1","-17.6","30010055"
"1","-6.6","1","-19","30010056"
"1","-5","1","-18.4","30010060"
"3","0.6","1","-20.4","30010061"
"3","-3.9","1","-17.2","30010062"
"1","-4.1","1","-14.9","30010063"
"1","2.2","1","-17","30010066"
"1","2.2","1","-18.5","30010068"
"1","2.2","1","-15.4","30010070"
"3","-9.6","1","-21.7","30010071"
"1","-11.9","1","-21.6","30010073"
"3","-12","1","-20","30010074"
"3","-1.9","1","-21.7","30010077"
"3","-4.9","1","-13.8","30010079"
"2","-17","1","-3.6","30010081"
"2","-15","1","-4.7","30010083"
"3","-13.9","1","-16.8","30010085"
"3","-7.1","1","-11.5","30010089"
"2","-8.1","1","-8.7","30010091"
"2","-5.7","1","-8.7","30010094"
"2","-16.3","1","-4.7","30010100"
"2","-13.8","1","-0.2","30010104"
"2","-13.9","1","2.3","30010106"
"2","-15.2","1","1","30010107"
"2","-16.6","1","2.1","30010109"
"2","-16.5","1","-0.1","30010110"
"2","-20","1","-2","30010112"
"2","-20","1","-0.8","30010113"
"2","-20","1","2","30010115"
"2","-20","1","3.7","30010116"
"3","-19.9","1","0.6","30010117"
"3","-18.2","1","-2.9","30010119"
"3","-19.5","1","-3","30010120"
"991002","-15","1","-2.5","30010125"
"991001","-16.7","1","-2.5","30010126"
"991001","-8.5","1","-21.4","30010130"
"3","-18.4","1","4.8","30010134"
"3","-17","1","5.8","30010136"
"2","-17.1","1","6.9","30010137"
"3","-17","1","8","30010138"
"2","-17","1","9.5","30010139"
"2","-13.5","1","5.3","30010145"
"2","-12.1","1","5.3","30010146"
"3","-15.5","1","8.7","30010147"
"2","-14.3","1","8.8","30010148"
"3","-13","1","8.8","30010149"
"2","-12.3","1","10.2","30010150"
"2","-10.8","1","8.4","30010152"
"2","-10.7","1","10.2","30010155"
"1","-6.2","1","-16.1","30010156"
"2","-7.3","1","6.8","30010160"
"3","-6.4","1","7.9","30010161"
"1","-6","1","6.4","30010162"
"3","-6","1","2","30010163"
"1","-6","1","4.6","30010164"
"1","-2.8","1","3","30010166"
"1","-2.2","1","5.3","30010168"
"3","-0.5","1","5.3","30010169"
"1","-4.9","1","-12.2","30010170"
"3","-4.9","1","-10.9","30010171"
"1","-3.8","1","8","30010173"
"2","-2.6","1","8.7","30010174"
"1","-1.5","1","8","30010175"
"2","-0.3","1","8.7","30010176"
"1","0.9","1","7.9","30010177"
"2","-1.9","1","3.3","30010178"
"2","-1.6","1","-0.8","30010181"
"1","1","1","0.4","30010182"
"2","2.4","1","0.4","30010183"
"1","3.6","1","0.4","30010184"
"1","6.4","1","1.3","30010186"
