ccd8b4ebc311ef3794808703e821cf5cf30f69366f4d2ccab500c83958ea1a28,d9fcb96c0b353e9f37693260e84a5d3bb26926d474582d61c87b24820c9828cd,6611de7f8afcd9faab4df237f6a99d64c8da26ba9e321878a2ccae24f3462cc0,3b27241b382efa041842716d92299dd4ecaac40124d7a2df84ce3da322749f45,68937c239cf65bc885850b93f7b941d63e85571fc311b3f7ebd20af0c1802e34,a1b9b1d48d049cf5bd2461bf4ba4b84b9b8ad0cc1060c3777b27e695e2ebf5e3,31a1c9100d4aacea3dd42e5d60b152e75a69f4b11f777f4ea199fa3fac998115,150cc8b86e3c1393eccc1b52c48e581f03fbb24de88d118cfcd609eae1706e9a,942ad116343e9e9dbde9f23c3a62e012382b7c93519cb0abe790e9aac92f6087
"1","11","43.5","0.7","0","320010106","502001102","1","1"
"3","67","13","0.65","0","320010106","502001103","2","2"
"2","49","-74","0.65","0","320010106","0","3","3"
"1","13","-49","0.7","0","320010107","502001108","1","4"
"3","62","-4","0.85","0","320010107","502001109","2","5"
"2","50","59","0.65","0","320010107","0","3","6"
"1","-10","0","1.05","0","320010108","0","1","7"
"1","-10","-15","1.05","0","320010109","0","1","8"
"1","-45","-85","0.43","0","320010110","0","1","9"
"2","-45","85","0.43","0","320010110","0","2","10"
"1","11","43.5","0.7","0","320010206","502001202","1","11"
"3","67","13","0.65","0","320010206","502001203","2","12"
"2","49","-74","0.65","0","320010206","0","3","13"
"1","13","-49","0.7","0","320010207","502001208","1","14"
"3","62","-4","0.85","0","320010207","502001209","2","15"
"2","50","59","0.65","0","320010207","0","3","16"
"1","-10","0","1.05","0","320010208","0","1","17"
"1","-10","-15","1.05","0","320010209","0","1","18"
"1","-45","-85","0.43","0","320010210","0","1","19"
"2","-45","85","0.43","0","320010210","0","2","20"
"1","11","43.5","0.7","0","320010306","502001302","1","21"
"3","67","13","0.65","0","320010306","502001303","2","22"
"2","49","-74","0.65","0","320010306","0","3","23"
"1","13","-49","0.7","0","320010307","502001308","1","24"
"3","62","-4","0.85","0","320010307","502001309","2","25"
"2","50","59","0.65","0","320010307","0","3","26"
"1","-10","0","1.05","0","320010308","0","1","27"
"1","-10","-15","1.05","0","320010309","0","1","28"
"1","-45","-85","0.43","0","320010310","0","1","29"
"2","-45","85","0.43","0","320010310","0","2","30"
"1","11","43.5","0.7","0","320010406","502001402","1","31"
"3","67","13","0.65","0","320010406","502001403","2","32"
"2","49","-74","0.65","0","320010406","0","3","33"
"1","13","-49","0.7","0","320010407","502001408","1","34"
"3","62","-4","0.85","0","320010407","502001409","2","35"
"2","50","59","0.65","0","320010407","0","3","36"
"1","-10","0","1.05","0","320010408","0","1","37"
"1","-10","-15","1.05","0","320010409","0","1","38"
"1","-45","-85","0.43","0","320010410","0","1","39"
"2","-45","85","0.43","0","320010410","0","2","40"
"1","11","43.5","0.7","0","320010506","502001502","1","41"
"3","67","13","0.65","0","320010506","502001503","2","42"
"2","49","-74","0.65","0","320010506","0","3","43"
"1","13","-49","0.7","0","320010507","502001508","1","44"
"3","62","-4","0.85","0","320010507","502001509","2","45"
"2","50","59","0.65","0","320010507","0","3","46"
"1","-10","0","1.05","0","320010508","0","1","47"
"1","-10","-15","1.05","0","320010509","0","1","48"
"1","-45","-85","0.43","0","320010510","0","1","49"
"2","-45","85","0.43","0","320010510","0","2","50"
"1","11","43.5","0.7","0","320020106","502002102","1","51"
"3","67","13","0.65","0","320020106","502002103","2","52"
"2","49","-74","0.65","0","320020106","0","3","53"
"1","13","-49","0.7","0","320020107","502002108","1","54"
"3","62","-4","0.85","0","320020107","502002109","2","55"
"2","50","59","0.65","0","320020107","0","3","56"
"1","-10","0","1.05","0","320020108","0","1","57"
"1","-10","-15","1.05","0","320020109","0","1","58"
"1","-45","-85","0.43","0","320020110","0","1","59"
"2","-45","85","0.43","0","320020110","0","2","60"
"1","11","43.5","0.7","0","320020206","502002202","1","61"
"3","67","13","0.65","0","320020206","502002203","2","62"
"2","49","-74","0.65","0","320020206","0","3","63"
"1","13","-49","0.7","0","320020207","502002208","1","64"
"3","62","-4","0.85","0","320020207","502002209","2","65"
"2","50","59","0.65","0","320020207","0","3","66"
"1","-10","0","1.05","0","320020208","0","1","67"
"1","-10","-15","1.05","0","320020209","0","1","68"
"1","-45","-85","0.43","0","320020210","0","1","69"
"2","-45","85","0.43","0","320020210","0","2","70"
"1","11","43.5","0.7","0","320020306","502002302","1","71"
"3","67","13","0.65","0","320020306","502002303","2","72"
"2","49","-74","0.65","0","320020306","0","3","73"
"1","13","-49","0.7","0","320020307","502002308","1","74"
"3","62","-4","0.85","0","320020307","502002309","2","75"
"2","50","59","0.65","0","320020307","0","3","76"
"1","-10","0","1.05","0","320020308","0","1","77"
"1","-10","-15","1.05","0","320020309","0","1","78"
"1","-45","-85","0.43","0","320020310","0","1","79"
"2","-45","85","0.43","0","320020310","0","2","80"
"1","11","43.5","0.7","0","320020406","502002402","1","81"
"3","67","13","0.65","0","320020406","502002403","2","82"
"2","49","-74","0.65","0","320020406","0","3","83"
"1","13","-49","0.7","0","320020407","502002408","1","84"
"3","62","-4","0.85","0","320020407","502002409","2","85"
"2","50","59","0.65","0","320020407","0","3","86"
"1","-10","0","1.05","0","320020408","0","1","87"
"1","-10","-15","1.05","0","320020409","0","1","88"
"1","-45","-85","0.43","0","320020410","0","1","89"
"2","-45","85","0.43","0","320020410","0","2","90"
"1","11","43.5","0.7","0","320020506","502002502","1","91"
"3","67","13","0.65","0","320020506","502002503","2","92"
"2","49","-74","0.65","0","320020506","0","3","93"
"1","13","-49","0.7","0","320020507","502002508","1","94"
"3","62","-4","0.85","0","320020507","502002509","2","95"
"2","50","59","0.65","0","320020507","0","3","96"
"1","-10","0","1.05","0","320020508","0","1","97"
"1","-10","-15","1.05","0","320020509","0","1","98"
"1","-45","-85","0.43","0","320020510","0","1","99"
"2","-45","85","0.43","0","320020510","0","2","100"
"1","11","43.5","0.7","0","320030106","502003102","1","101"
"2","67","13","0.65","0","320030106","502003103","2","102"
"3","49","-74","0.65","0","320030106","0","3","103"
"1","13","-49","0.7","0","320030107","502003108","1","104"
"3","62","-4","0.85","0","320030107","502003109","2","105"
"2","50","59","0.65","0","320030107","0","3","106"
"1","-10","0","1.05","0","320030108","0","1","107"
"1","-10","-15","1.05","0","320030109","0","1","108"
"1","-45","-85","0.43","0","320030110","0","1","109"
"2","-45","85","0.43","0","320030110","0","2","110"
"1","11","43.5","0.7","0","320030206","502003202","1","111"
"2","67","13","0.65","0","320030206","502003203","2","112"
"3","49","-74","0.65","0","320030206","0","3","113"
"1","13","-49","0.7","0","320030207","502003208","1","114"
"3","62","-4","0.85","0","320030207","502003209","2","115"
"2","50","59","0.65","0","320030207","0","3","116"
"1","-10","0","1.05","0","320030208","0","1","117"
"1","-10","-15","1.05","0","320030209","0","1","118"
"1","-45","-85","0.43","0","320030210","0","1","119"
"2","-45","85","0.43","0","320030210","0","2","120"
"1","11","43.5","0.7","0","320030306","502003302","1","121"
"2","67","13","0.65","0","320030306","502003303","2","122"
"3","49","-74","0.65","0","320030306","0","3","123"
"1","13","-49","0.7","0","320030307","502003308","1","124"
"3","62","-4","0.85","0","320030307","502003309","2","125"
