378588a29244c4bd0c29ace489f94ef38c04b5ebddccd643ed53d429cb217420,d38a0f68c133f6877da75ccd4f1fdc40c47ea86d680853aab8dff23485cf5251,bd11a746951f6533770a5c921a5316d909b50b7afcc7a2003add7e7fd99d851d,4e93eed8f7707942467aa67e13871f1e065e46b5b99eb3aa9497e8ceb8aa0c03,37c965aa618cdd3e37fe0c84d1c4cf2a71bd835a1efdb27bea3001b6303f459a,1c0173c432b480493cca18ddca46ccba5d174ff3be282aba2c728fed914a4b78,00c751daf60d61b9655cab071072b6c5a35287ff9cd1b343d937a7420d2af1cd,07a2c88d1325333c8e87268e923be7e8981fcfefe0081d2363807f33829cc7b6,0e28ec0e60e3e3c75169d4525393bc757a04efd19a27a53d839d4bd08dc1c43b,281a843dd8892ea183f00e0cca221962b5ceb5b923c481347e7b3b9340b1964c,acb97f5ad64de7c3a008cf5f91022f28e72626af3a2981ec1a4c4b7b1764da93
"pt","10011105","1","1","10011","0","0","0","2","1001","0"
"m","10015103","1","2","10015","0","0","1","2","1002","0"
"pt","10021108","1","3","10021","5021700","0","0","2","1003","0"
"pt","5027007","1","4","10027","5027700","0","0","3","1004","0"
"pt","10040105","1","5","10040","5040700","0","0","2","1005","0"
"pt","5046006","1","6","10046","0","1","0","1","1006","5046006"
"pt","5072006","1","7","10072","0","3","0","3","1007","5072006"
"pt","5080007","0","8","10080","5080700","3","0","3","1008","5080000"
"pt","0","0","9","0","9004201","0","0","0","1009","0"
"pt","5096007","1","10","10096","5096700","3","0","1","1010","5096007"
"pt","10126107","1","11","10126","0","3","0","2","1012","5126000"
"pt","5142007","1","12","10142","5142700","1","0","3","1013","5142000"
"pt","5156007","1","13","10156","5156700","1","0","3","1014","5156000"
