c3e7277b99ed08725227fc4816d18313881a4e5a3520a689d710a5662b414eef,1563ba120c52969f7a571f494cbb74a0956374bc7ca9b9e3cf96bd8667e0d2fc,f6fa4562e01e2aebcac4778f9458f172dff7fb6fa4856c1a302f39015ff28b57,725f808de3c3ec12f8f3002299a0e8693e9f5edcac7b07cb2e347ee47a79a624,2c538810ade64a7abd900ef92cfbc308aa01b0766d3d2420a08a7e0922e1c057,6e15a06edcaaf0cd9de1e21c330149c0eb503135cfe907b181cf2a42c20ebe72,ffe41fbb0d538fcd6c44a822ec83b03b97621dd7d7a4ee0d6edd121f640dca00,6f83bee239d877576adee78d19f69a0a6e102e79b7bb006fb6c1d734e9c5064d,4f684b10d5affdf5dc35510239ef14cd52206fe033a252b0e14d0de858f2a8fa,b37b9beee77017a6d9386203edb25ecc5b3f21c5253a906500100cc6854a178d,fa7d43a3fe331a4b5d430804de0bf06284406df53d1de2c5c4509721b5267a30
"前往劇情","2020/12/18 11:59:59","1004601","活動特別章節","2020/12/04 16:00:00","1","10046","5046601","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","5046601","也可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2021/01/14 15:59:59","1004801","活動特別章節","2020/12/31 16:00:00","2","10048","5048","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","0","也可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2021/01/14 15:59:59","1004802","活動特別章節","2020/12/31 16:00:00","3","10048","5048","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","0","也可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2021/05/31 15:59:59","1005601","活動特別章節","2021/05/18 16:00:00","4","10056","5056","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","5056601","也可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2021/07/19 15:59:59","1006101","活動特別章節","2021/07/05 16:00:00","3","10061","5061","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2021/07/23 15:59:59","1006102","活動特別章節","2021/07/19 16:00:00","5","10061","10061","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061602",""
"前往劇情","2021/07/31 15:59:59","1006103","活動特別章節","2021/07/23 16:00:00","3","10061","5061","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2021/09/30 15:59:59","1006601","小遊戲 劇情解放","2021/09/01 16:00:00","6","10066","1004","小遊戲「大激戰！龍人們的接龍競賽」後\n解放了新的劇情","5027704","若要閱覽，必須在「大家的遊戲桌」\n購買「大激戰！龍人們的接龍競賽」後，\n遊玩EXTRA關卡"
"前往活動","2021/11/19 15:59:59","1007001","追加來自伊緒的留言","2021/11/15 16:00:00","5","10070","10070","「暑假圖畫日記」中\n已追加伊緒老師的批改留言。","5070601","可從「暑假圖畫日記」的封面進行切換，\n查看批改留言。"
"前往劇情","2021/12/31 15:59:59","1007301","活動特別章節","2021/12/17 16:00:00","1","10073","5046601","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","5046601","也可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2022/01/31 15:59:59","1007501","活動特別章節","2022/01/26 16:00:00","2","10075","5048","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","0","也可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2022/01/31 15:59:59","1007502","活動特別章節","2022/01/26 16:00:00","3","10075","5048","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","0","也可以從額外劇情中\n查看特別的劇情。"
"前往活動","2022/05/20 15:59:59","1008201","追加大合照","2022/05/16 16:00:00","5","10082","1004","已於「眾人同樂的年菜派對」\n追加大合照。","5082601",""
"前往劇情","2022/05/24 15:59:59","1008301","活動特別章節","2022/05/18 16:00:00","4","10083","5056","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","5056601","也可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2022/07/28 15:59:59","1008901","活動特別章節","2022/07/19 16:00:00","3","10089","5061","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2022/07/28 15:59:59","1008902","活動特別章節","2022/07/26 16:00:00","5","10089","10089","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061602",""
"前往劇情","2022/07/31 15:59:59","1008903","活動特別章節","2022/07/28 16:00:00","3","10089","5061","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","可以從額外劇情中\n查看特別的劇情。"
"前往劇情","2022/09/19 15:59:59","1009201","活動特別章節","2022/09/15 16:00:00","5","10092","10092","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","5092601",""
"前往劇情","2023/01/20 15:59:59","1010001","活動特別章節","2023/01/16 16:00:00","5","10100","10100","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","5100601",""
"前往活動","2023/05/28 15:59:59","1010901","追加大合照","2023/05/26 16:00:00","5","10109","1004","已於「眾人同樂的年菜派對」\n追加大合照。","5082601",""
"前往劇情","2023/09/28 15:59:59","1011901","活動特別章節","2023/09/25 16:00:00","5","10119","10119","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","5092601",""
"前往劇情","2024/01/27 15:59:59","1012701","活動特別章節","2024/01/24 16:00:00","5","10127","10127","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","5100601",""
"前往劇情","2022/05/24 15:59:59","2003201","活動特別章節","2022/05/18 16:00:00","4","20032","5056","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","5056601","也可以從額外劇情中\n查看特別的劇情。"
