ade47d030c32b99f3bd19c738722a99066e85222d35af476a894c04e0544fe04,a6cc2855b7f42d36f9032d966a5cd0cb0e5e73c2a4d03f2aa3b6143a9af43901,d0e3a413a3c73871445e2e1729de98053b5aa9f4fb50c9bb397da4c40d05d0dd,264e9e95f7638a6804816690e06cb19fe53ae24ca564db80499b31c46e66f4b3,29dde2f8d2b867d3a8854ec8702306ef33d45a58cdf97d69afa795ac35048f37,4f5e76633363cadc9946897fb77c53f59aa3010015460762019bc38624e9b202,f1fa80b4d13451a229d065ecb54ad1ad8fc0a6cd76cce06e9f49af240b3ae55e,5c3fae414754d90f465be7366f37ba6f43a70f6c071cbbcd29c43ebf4a5b6c4a,04f0fd46facaf0267aac56fdda20c90d8cd2aae5e98fc9fb6e12fe302a782776,182b61561090514f526e8622f75da41ad6b20f2cda0d00c47f4c3ba5d6f5ec89,f0de87803736f084ea36683a23db01d908b5a8678c55eba50c3b428985647a48
"cgg_idle_normal","-230","1","1","0","5","-420","160","101001","101","100"
"cgg_idle_def","-230","105811","1","1","1","375","1.6","101002","101","100"
"cgg_idle_def","-230","106011","1","1","1","490","1.6","101003","101","101"
"","1","1","1","0","6","1","0.1","101004","101","1"
"","1","1","105811","0","6","1","0.1","101005","101","1"
"","1","1","106011","0","6","1","0.1","101006","101","1"
"","","0","0.2","","93","","","101007","101",""
"","","vo_minigame_1007_top_talk_1_001","vo_minigame_1007","","21","0","","101008","101","0"
"0","0","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆","105811","0","11","0","0","101009","101","4"
"","","cgg_idle_surprise1","1","","3","","0.2","101010","101","1"
"","1","cgg_surprise_kira","105811","0","3","cgg_talk_surprise_kira","0.2","101011","101","0"
"","","0","2.1","","93","","","101012","101",""
"","","cgg_idle_surprise3","1","","3","","0.2","101013","101","1"
"","","cgg_talk_joy1","105811","","3","","0.2","101014","101","1"
"","","","101009","","91","","","101015","101",""
"","","cgg_idle_def","105811","","3","","0.2","101016","101","1"
"","","vo_minigame_1007_top_talk_1_002","vo_minigame_1007","","21","0","","101017","101","0"
"0","0","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。","106011","0","11","0","0","101018","101","5"
"","","cgg_idle_reaction1","1","","3","","0.2","101019","101","1"
"","","cgg_talk_surprise1","106011","","3","","0.2","101020","101","1"
"","","0","2.1","","93","","","101021","101",""
"","","cgg_idle_nod","1","","3","","0.2","101022","101","1"
"","","cgg_talk_bitter","106011","","3","","0.2","101023","101","1"
"","","","101018","","91","","","101024","101",""
"","","0","0.5","","93","","","101025","101",""
"","","cgg_idle_normal","1","","3","","0.2","101026","101","1"
"","","cgg_idle_def","106011","","3","","0.2","101027","101","1"
"","","cgg_idle_joy2","105811","","3","","0.2","101028","101","1"
"","","10","105811","","12","","0.2","101029","101","1.4"
"","","0","3","","93","","","101030","101",""
"","","cgg_idle_def","105811","","3","","0.2","101031","101","1"
"","","cgg_talk_surprise_dere","106011","","3","","0.2","101032","101","1"
"","","8","106011","","12","","0.2","101033","101","1.4"
"","","0","3","","93","","","101034","101",""
"","","cgg_idle_def","106011","","3","","0.2","101035","101","1"
"","1","cgg_surprise1","1","0","3","cgg_idle_surprise1","0.2","101036","101","0"
"","","4","1","","12","","0.2","101037","101","1.4"
"","","0","3","","93","","","101038","101",""
"","","0","101026","","101","","","101039","101",""
"","","0.5","0","","22","","","101040","101",""
"","0","1","1","0","6","1","0.1","101041","101","1"
"","0","1","105811","0","6","1","0.1","101042","101","1"
"","0","1","106011","0","6","1","0.1","101043","101","1"
"","","0","0.1","","93","","","101044","101",""
"","","cgg_idle_normal","1","","3","","0","101045","101","1"
"","","cgg_idle_def","105811","","3","","0","101046","101","1"
"","","cgg_idle_def","106011","","3","","0","101047","101","1"
"cgg_idle_normal","-230","1","1","0","5","-420","160","102001","102","100"
"cgg_idle_def","-230","105911","1","1","1","375","1.6","102002","102","100"
"cgg_idle_def","-230","106411","1","1","1","490","1.6","102003","102","101"
"","1","1","1","0","6","1","0.1","102004","102","1"
"","1","1","105911","0","6","1","0.1","102005","102","1"
"","1","1","106411","0","6","1","0.1","102006","102","1"
"","","0","0.2","","93","","","102007","102",""
"","","vo_minigame_1007_top_talk_2_003","vo_minigame_1007","","21","0","","102008","102","0"
"0","0","我們抵達\n演唱會會場了，\n這裡非常大，\n非常開闊呢……","105911","0","11","0","0","102009","102","5"
"","","cgg_idle_surprise1","1","","3","","0.2","102010","102","1"
"","","cgg_lookup","105911","","3","","0.2","102011","102","0"
"","","0","2.6","","93","","","102012","102",""
"","","cgg_talk_wish_surprise","105911","","3","","0.2","102013","102","1"
"","","","102009","","91","","","102014","102",""
"","","cgg_idle_def","105911","","3","","0.4","102015","102","1"
"","","vo_minigame_1007_top_talk_2_004","vo_minigame_1007","","21","0","","102016","102","0"
"0","0","慈樂之音的演唱會……\n呵呵，真令人期待呢。\n啊，我可以\n去看一下周邊嗎？","106411","0","11","0","0","102017","102","4"
"","","cgg_idle_reaction1","1","","3","","0.2","102018","102","1"
"","","cgg_talk_surprise1","106411","","3","","0.2","102019","102","1"
"","","0","2.6","","93","","","102020","102",""
"","1","cgg_talk_nod","1","0","3","cgg_idle_nod","0.2","102021","102","0"
"","","cgg_talk_joy3_blink","106411","","3","","0.2","102022","102","1"
"","","0","3.2","","93","","","102023","102",""
"","","cgg_idle_reaction5","1","","3","","0.2","102024","102","1"
"","","cgg_talk_normal","106411","","3","","0.2","102025","102","1"
"","","","102017","","91","","","102026","102",""
"","","0","0.5","","93","","","102027","102",""
"","","cgg_idle_def","106411","","3","","0.2","102028","102","1"
"","","cgg_idle_normal","1","","3","","0.2","102029","102","1"
"","","cgg_talk_joy3_blink","105911","","3","","0.2","102030","102","1"
"","","10","105911","","12","","0.2","102031","102","1.4"
"","","0","3","","93","","","102032","102",""
"","","cgg_idle_def","105911","","3","","0.2","102033","102","1"
"","","cgg_talk_joy1","106411","","3","","0.2","102034","102","1"
"","","11","106411","","12","","0.2","102035","102","1.4"
"","","0","3","","93","","","102036","102",""
"","","cgg_idle_def","106411","","3","","0.2","102037","102","1"
"","","cgg_idle_surprise3","1","","3","","0.2","102038","102","1"
"","","6","1","","12","","0.2","102039","102","1.4"
"","","0","3","","93","","","102040","102",""
"","","0","102029","","101","","","102041","102",""
"","","0.5","0","","22","","","102042","102",""
"","0","1","1","0","6","1","0.1","102043","102","1"
"","0","1","105911","0","6","1","0.1","102044","102","1"
"","0","1","106411","0","6","1","0.1","102045","102","1"
"","","0","0.1","","93","","","102046","102",""
"","","cgg_idle_normal","1","","3","","0","102047","102","1"
"","","cgg_idle_def","105911","","3","","0","102048","102","1"
"","","cgg_idle_def","106411","","3","","0","102049","102","1"
"cgg_idle_normal","-230","1","1","0","5","-420","160","103001","103","100"
"cgg_idle_def","-230","100211","1","1","1","375","1.6","103002","103","100"
"cgg_idle_def","-230","100111","1","1","1","490","1.6","103003","103","101"
"","1","1","1","0","6","1","0.1","103004","103","1"
"","1","1","100211","0","6","1","0.1","103005","103","1"
"","1","1","100111","0","6","1","0.1","103006","103","1"
"","","0","0.2","","93","","","103007","103",""
"","","vo_minigame_1007_top_talk_3_005","vo_minigame_1007","","21","0","","103008","103","0"
"0","0","下次會抽到什麼呢？\n讓人很期待呢，\n日和。","100211","0","11","0","0","103009","103","5"
"","","cgg_idle_surprise1","1","","3","","0.2","103010","103","1"
"","","cgg_talk_wish","100211","","3","","0.2","103011","103","1"
"","","0","2.4","","93","","","103012","103",""
"","","cgg_talk_joy3","100211","","3","","0.2","103013","103","1"
"","","","103009","","91","","","103014","103",""
"","","cgg_idle_def","100211","","3","","0.2","103015","103","1"
"","","vo_minigame_1007_top_talk_3_006","vo_minigame_1007","","21","0","","103016","103","0"
"0","0","就是說啊，優衣！\n好～\n來盡情地抽吧～！\n轉轉轉～♪","100111","0","11","0","0","103017","103","4"
"","","cgg_idle_reaction5","1","","3","","0.2","103018","103","1"
"","","cgg_talk_joy1","100111","","3","","0.2","103019","103","1"
"","","0","2.5","","93","","","103020","103",""
"","1","cgg_talk_guts_NoBlink","100111","0","3","cgg_idle_guts","0.2","103021","103","0"
"","","0","4","","93","","","103022","103",""
"","1","cgg_joy","1","0.2","3","cgg_idle_reaction3","0.2","103023","103","0"
"","","cgg_talk_joy2","100111","","3","","0.2","103024","103","1"
"","","","103017","","91","","","103025","103",""
"","","0","0.7","","93","","","103026","103",""
"","","cgg_idle_normal","1","","3","","0.2","103027","103","1"
"","","cgg_idle_def","100111","","3","","0.2","103028","103","1"
"","","cgg_idle_bitter3","100211","","3","","0.2","103029","103","1"
"","","1","100211","","12","","0.2","103030","103","1.4"
"","","0","3","","93","","","103031","103",""
"","","cgg_idle_def","100211","","3","","0.2","103032","103","1"
"","1","cgg_talk_handsup","1","0.2","3","cgg_idle_reaction1","0.2","103033","103","0"
"","","10","1","","12","","0.2","103034","103","1.4"
"","","0","3","","93","","","103035","103",""
"","","cgg_idle_normal","1","","3","","0.2","103036","103","1"
"","","cgg_idle_joy3","100111","","3","","0.2","103037","103","1"
"","","6","100111","","12","","0.2","103038","103","1.4"
"","","0","3","","93","","","103039","103",""
"","","0","103028","","101","","","103040","103",""
"","","0.5","0","","22","","","103041","103",""
"","0","1","1","0","6","1","0.1","103042","103","1"
"","0","1","100211","0","6","1","0.1","103043","103","1"
"","0","1","100111","0","6","1","0.1","103044","103","1"
"","","0","0.1","","93","","","103045","103",""
"","","cgg_idle_normal","1","","3","","0","103046","103","1"
"","","cgg_idle_def","100211","","3","","0","103047","103","1"
"","","cgg_idle_def","100111","","3","","0","103048","103","1"
"cgg_idle_normal","-230","1","1","0","5","-420","160","104001","104","100"
"cgg_idle_def","-230","100111","1","1","1","375","1.6","104002","104","100"
"cgg_idle_def","-230","100311","1","1","1","490","1.6","104003","104","101"
"","1","1","1","0","6","1","0.1","104004","104","1"
"","1","1","100111","0","6","1","0.1","104005","104","1"
"","1","1","100311","0","6","1","0.1","104006","104","1"
"","","0","0.2","","93","","","104007","104",""
"","","vo_minigame_1007_top_talk_4_007","vo_minigame_1007","","21","0","","104008","104","0"
"0","0","那個那個～怜，\n我可以再抽一次嗎？","100111","0","11","0","0","104009","104","4"
"","","cgg_idle_reaction2","1","","3","","0.2","104010","104","1"
"","","cgg_talk_joy3_dere","100111","","3","","0.2","104011","104","1"
"","","0","2.7","","93","","","104012","104",""
