3f546282e04c782bb908ab7828831ccb267cf9a717b46dc341c8925744f01038,204db07d5db21782af69426148dd09a7187970cd5543b2486ce45217d0413876,73b28679547213091e50af9b71c364f67a66beab2b78e114e9cef98cbda23391,67431db7fbe1b7ee9bec17de76e66751ea023c3c644d5f6ebd8213d7c9aac217,364ccfc6344d32c93c12bc10fc9bd1cfd5d90452c1657880c0d75d9b4460ec26,6b5ab4301f445479a404f6e8436628629d0ba0b8ea92a5ff9aa2031a2c117968,a1c099a97d88ea2eef22d3b91d18c763fd53bc5a3145cad8467dff60ef1231f8,066a82fdd113d2fed04ed1e369bf1dbce5de47f4d53fdca9c54d8f76c58fcf05,e501824ccd6f86bc3e6d499109d79a6e0432fe14edc32dc1659a71298961ec52,97e7f04df3fa856e2c61016fef863cfeb942be1b1ae569366b5bd52dd4c1203d,6815c490931fa984208602fa273650d0a580b3dc164a8dcd9289c92925585d78,54b8ad813d632bc476cbca19804eeef3bf701da803afbb20b443570823d00986,724a658804d715c50721b8006830c99b901c4263d32c5cbc5b7d6eebea9038c9,68e0c61bec5e5f74263a59c29627115219adcbd06126de0b7b30365436818f54,8050f0176a7898f4590ff0b05dd271993ab8cb0ed54acbe2aee8374acf66c406,152836bacaed3ed492838b0491a5f0dfcd0079d3fa323a4398a69a5d58f96e23,8f5d6ff671301c91ee260bebd9cb50d31e2bdc12c0b4a0abefd0f84f645286e9,88cd5abc87b4256abb7ef04f4cc75d8df548083a32e2f1ae76f54ba7e0534855,30042f660b0ce9e9697ac6dae1d774db9c792b5d10be6b4ff79c1fbbd570b0d5,257140a25457006d5f5ea431c41216dcd72dfba20dcb50d39fa6e44e0a29d8e6,0137380c927b661e59114ab3bcfc5dac4e8d9fc07b8914f55fa97b7cfc01480d,7dc73556171cfac9fa415f14dd8e163f587028c3ba1c1cc4ecce8b575de84707
"1","-480","1001","250","0.6","1","0","101001","10","-120","0.7","210","-30","101001","bgm_M64","1","1","0","-30","1","0.8","10010101"
"1","-260","1001","0","0.75","1","0","101001","10","-120","1","200","-30","101001","bgm_M64","2","2","0","0","1","1.2","10010102"
"1","-40","1001","100","0.75","1","-50","101001","0","0","1","200","-30","101001","bgm_M64","3","3","0","-10","1","1.1","10010103"
"1","240","1001","0","0.7","1","0","101001","0","-50","1","200","-30","101001","bgm_M64","4","4","0","0","1","1","10010104"
"1","480","1001","200","1.2","1","0","101011","0","-40","1","250","-30","101011","bgm_M55","5","5","0","0","1","1.3","10010105"
"1","-480","1002","250","0.6","1","0","101001","10","-155","0.7","210","-30","101021","bgm_M64","1","1","0","-30","1","0.8","10020101"
"1","-265","1002","250","0.75","1","0","101001","10","-120","1","200","-30","101021","bgm_M64","2","2","0","0","1","1.2","10020102"
"1","-30","1002","100","0.9","1","-30","101001","0","30","1","200","-30","101021","bgm_M64","3","3","-15","-10","1","1.4","10020103"
"1","220","1002","100","1","1","-30","101001","0","-90","1.25","200","-30","101021","bgm_M64","4","4","0","0","1","1.5","10020104"
"1","440","1002","200","1.4","1","0","101011","0","0","1.6","250","-30","101031","bgm_M55","5","5","0","0","1","1.8","10020105"
"1","-470","1003","250","0.6","1","0","101041","10","-155","0.7","210","-30","101041","bgm_M64","1","1","0","-30","1","0.8","10030101"
"1","-210","1003","250","0.75","1","0","101041","10","-95","1","200","-30","101041","bgm_M64","2","2","0","0","1","1.2","10030102"
"1","50","1003","100","0.75","1","-50","101041","0","-120","1","200","-30","101041","bgm_M64","3","3","0","-10","1","1.1","10030103"
"1","195","1003","100","0.8","1","-30","101041","0","35","1.2","200","-30","101041","bgm_M64","4","4","0","0","1","1.5","10030104"
