7ccb4a2910f7205e52d8fa8b84560e34baed3ddd9325e9c183acf0214402049e,bfb44d4f2466241754c7dcbd0b272b8327d6e873ef745874eb4dd17bd8cd861a,f79a70727036e87242c35ad282d4fd0b2e28ad66c0211a3b981be412f1920b34,d026f7603cec8505a724041c964e4d8b5202e34b871e655101648d773cf9d07b,44ba4a2c04b0b4ceb611a6042238025d544486a17734ad336ccc4fb4e4e39f86,34baa73f6b62dc44c6eecc51631eca0b922c4f31b058d3b2bf2cc1ef420664c4,79d5b74e7ddb6f51cc7f62b0fba38e4a193a520e52f1657bd855ca53d59c5548,0484a412bd0e087491878767057f455af26cfa6a7d6c9f49e3472ba06b74c126
"100101","101071","101101","101101","1","101281","101431","101581"
"100101","101101","102071","102101","2","102341","102431","101581"
"100101","102071","102101","103071","3","102342","102432","102581"
"100101","102101","103071","103101","4","103341","103431","102582"
"100101","103071","103101","103072","5","103342","103432","103581"
"100101","103552","103072","104101","6","103343","103432","103582"
"100101","103072","104101","104102","7","104341","103583","103552"
"100101","104551","104102","104103","8","104342","104101","103553"
"100101","104552","104103","104104","9","104343","104102","104551"
"100101","104553","104104","105101","10","104284","104103","104552"
"100101","105551","105101","105102","11","105341","104344","104554"
"100101","105552","105102","105103","12","105282","105341","105551"
"100101","105553","105103","105104","13","105343","105342","105552"
"100101","105554","105104","105105","14","105344","105343","105553"
"100101","105555","105105","105106","15","105285","105344","105554"
"100101","105556","105106","105107","16","105286","105285","105555"
"100101","105557","105107","106101","17","105287","105286","105556"
"100101","106551","106101","106102","18","106281","105287","105557"
"100101","106552","106102","106103","19","106282","106281","106551"
"100101","106553","106103","107101","20","106283","106282","106552"
"100101","107551","107101","107102","21","107281","106283","106553"
"100101","107552","107102","107103","22","107282","107281","107551"
"100101","107553","107103","108101","23","107283","107282","107552"
"100101","108551","108101","108102","24","108401","107283","107553"
"100101","108552","108102","108103","25","108312","108401","108551"
"100101","108553","108103","108104","26","108403","108312","108552"
"100101","108554","108104","109101","27","108494","108403","108553"
"100101","109551","109101","109102","28","109401","108494","108554"
"100101","109552","109102","109103","29","109282","109401","109551"
"100101","109553","109103","109104","30","109493","109282","109552"
"100101","109554","109104","10010032","31","109494","109493","109553"
"100101","10055032","10010032","10010033","32","10028032","109494","109554"
"100101","10055033","10010033","10010034","33","10028033","10028032","10055032"
"100101","10055034","10010034","10010035","34","10028034","10028033","10055033"
"100101","10055035","10010035","10010036","35","10028035","10028034","10055034"
"100101","10055036","10010036","10010037","36","10028036","10028035","10055035"
"100101","10055037","10010037","10010038","37","10028037","10028036","10055036"
"100101","10055038","10010038","10010039","38","10028038","10028037","10055037"
"100101","10055039","10010039","10010040","39","10028039","10028038","10055038"
"100101","999999","10010040","999999","40","999999","10028039","10055039"
"100201","101611","101251","101251","1","101371","101521","101581"
"100201","101611","102251","102252","2","102371","102461","101611"
"100201","102612","102252","103251","3","102372","102521","102581"
"100201","102613","103251","103252","4","103521","103521","102614"
"100201","103612","103252","103222","5","103371","103461","103581"
"100201","103613","103222","104251","6","103372","103522","103613"
"100201","103614","104251","104252","7","104371","103614","103461"
"100201","104611","104252","104253","8","104372","104461","103614"
"100201","104612","104253","104254","9","104523","104522","104611"
"100201","104613","104254","105251","10","104373","104523","104612"
"100201","105581","105251","105252","11","105371","104373","104613"
"100201","105582","105252","105253","12","105522","105371","105581"
"100201","105583","105253","105254","13","105462","105372","105582"
"100201","105584","105254","105255","14","105374","105373","105583"
"100201","105585","105255","105256","15","105463","105374","105584"
"100201","105586","105256","105257","16","105524","105463","105585"
"100201","105587","105257","106251","17","105464","105524","105586"
"100201","106581","106251","106252","18","106461","105464","105587"
"100201","106582","106252","106253","19","106521","106461","106581"
"100201","106583","106253","107251","20","106462","106372","106582"
"100201","107581","107251","107252","21","107461","106462","106583"
"100201","107582","107252","107253","22","107462","107461","107581"
"100201","107583","107253","108251","23","107463","107462","107582"
"100201","108581","108251","108252","24","108371","107463","107583"
"100201","108582","108252","108253","25","108372","108371","108581"
"100201","108583","108253","108254","26","108373","108372","108582"
"100201","108584","108254","109251","27","108374","108373","108583"
"100201","109581","109251","109252","28","109371","108374","108584"
"100201","109582","109252","109253","29","109372","109371","109581"
"100201","109583","109253","109254","30","109373","109372","109582"
"100201","109584","109254","10025032","31","109374","109373","109583"
