aef8fcd3bb4d73cb8516090814c76e3d7d6637e8202b373aefa8277f45652e54,b62c3e1ff867809a7398ab2d843b83070f5cc4e6000086654a1c74e07ce0cd24,dae14b03876f564b9a6a6189922c98f6f14e7e6278d69322862cd961745f16a9,83215b17c052212766fa6bb8f69cb5db609d6ee09560929b9066fe241b2062f7,9fde83dc9d96362545f2c83dd2834cd02276e9d244e417cc3387bc1a6bdbb04b,c1aed6c5d0dde8281381b8fd3a1548f41d6d9842566bede9c7665b01a764085f,7a8eb808c721a07eff54fb0479bd12f62ed86d0007261acb6d4548a5e691b28f,8c396447c1ae51a8c9b8497f5152494a1220d23ccc74ff519c64769aaa9670c8,35c66fbd773b44e7f611d08a8c46f97a94be1669ff2d9be457643bc1f35adc50,be4ee9e96ed8e628c10a83d72c6446c35fc1b35e8a214d1e9b43e2c9f8a6d5a1,703d0a04a6f5c67c182d9efb2253086136a24180aa3289562e463b470094cb8a,ae466ade77842c603650268a69aa188da48e2e48b01a6488c9efab4b92e8a788,eaa735196fb44d4b63310d5a52f71cc1530f61129ccb20a74d82c8ba95c47401
"20","","","","1","Lost Princess","","1","-1","2018-10-18 15:00:00","","Lost Princess","-1"
"17","","","","2","Connecting Happy!!","","2","-1","2018-10-18 15:00:00","","Connecting Happy!!","-1"
"20","","","","3","踏上旅程","","3","1000","2018-10-18 15:00:00","","踏上旅程","-1"
"20","","","","4","穿過森林的風","","4","1000","2018-10-18 15:00:00","","穿過森林的風","-1"
"20","","","","5","梅莎路提姆","","5","1000","2018-10-18 15:00:00","","梅莎路提姆","-1"
"20","","","","6","初音的禮物大作戰","","6","1000","2018-10-18 15:00:00","","初音的禮物大作戰","-1"
"20","","","","7","席茲","","7","1000","2018-10-18 15:00:00","","席茲","-1"
"20","","","","8","Smiley Contrast","","8","1500","2018-10-18 15:00:00","","Smiley Contrast","-1"
"20","","","","9","牛頭怪","","9","1000","2018-10-18 15:00:00","","牛頭怪","-1"
"20","","","","10","小小甜心大冒險","","10","1000","2018-10-18 15:00:00","","小小甜心大冒險","-1"
"20","","","","11","阿爾瑪","","11","1000","2018-10-18 15:00:00","","阿爾瑪","-1"
"18","","","","12","小小冒險","","12","1500","2018-10-18 15:00:00","","小小冒險","-1"
"20","","","","13","大胃王","","13","1000","2018-10-18 15:00:00","","大胃王","-1"
"20","","","","14","不給布丁就搗蛋！約定的萬聖節派對","","14","1000","2018-10-18 15:00:00","","不給布丁就搗蛋！約定的萬聖節派對","-1"
"17","","","","15","傑克南瓜布丁","","15","1000","2018-10-18 15:00:00","","傑克南瓜布丁","-1"
"20","","","","16","還要！兩人的派～對～夜～","","16","1500","2018-10-18 15:00:00","","還要！兩人的派～對～夜～","-1"
"20","","","","17","閃耀的冰晶","","17","1000","2018-10-18 15:00:00","","閃耀的冰晶","-1"
"20","","","","18","Shining Future","","18","1500","2018-11-19 15:00:00","","Shining Future","3010003"
"20","","","","19","向風起誓","","19","1500","2018-11-19 15:00:00","","向風起誓","3010003"
"18","","","","20","因為想看到你的笑容","","20","1500","2018-11-19 15:00:00","","因為想看到你的笑容","3010003"
"18","","","","21","無法坦率的心！","","21","1500","2018-11-19 15:00:00","","無法坦率的心！","1054007"
"20","","","","22","向詭譎氣氛挺身而出的鬥志","","22","1000","2018-11-19 15:00:00","","向詭譎氣氛挺身而出的鬥志","-1"
"20","","","","23","野豬雙胞胎","","23","1000","2018-11-19 15:00:00","","野豬雙胞胎","-1"
"20","","","","24","吸血鬼獵人with伊莉亞","","24","1000","2018-11-19 15:00:00","","吸血鬼獵人with伊莉亞","-1"
"20","","","","25","加爾格","","25","1000","2018-11-19 15:00:00","","加爾格","-1"
"20","","","","26","Peaceful*沖繩雜炒","","26","1500","2018-11-19 15:00:00","","Peaceful*沖繩雜炒","-1"
"20","","","","27","天蠍毒者","","27","1000","2018-11-19 15:00:00","","天蠍毒者","-1"
"20","","","","28","暮光破壞者","","28","1000","2018-11-19 15:00:00","","暮光破壞者","-1"
"20","","","","29","奧拉姆","","29","1000","2018-11-19 15:00:00","","奧拉姆","-1"
"20","","","","30","最強對吧，對吧？","","30","1500","2018-11-19 15:00:00","","最強對吧，對吧？","-1"
"20","","","","31","冰海之地","","31","1000","2018-11-19 15:00:00","","冰海之地","-1"
"20","","","","32","冰天雪地","","32","1000","2018-12-19 15:00:00","","冰天雪地","-1"
"20","","","","33","涼爽的風","","33","1000","2018-12-19 15:00:00","","涼爽的風","-1"
"20","","","","34","加爾基諾司","","34","1000","2018-12-19 15:00:00","","加爾基諾司","-1"
"20","","","","35","危險的假期！海岸邊的美食家公主","","35","1000","2018-12-19 15:00:00","","危險的假期！海岸邊的美食家公主","-1"
"20","","","","36","天塔帕斯","","36","1000","2018-12-19 15:00:00","","天塔帕斯","-1"
"20","","","","37","充滿笑容的家","","37","1500","2018-12-19 15:00:00","","充滿笑容的家","-1"
"20","","","","38","人馬座","","38","1000","2018-12-19 15:00:00","","人馬座","-1"
"20","","","","39","忘却的頌歌","","39","1000","2018-12-19 15:00:00","","忘却的頌歌","-1"
"20","","","","40","霧奇","","40","1000","2018-12-19 15:00:00","","霧奇","-1"
"20","","","","41","Ding Dong Holy Night♪","","41","1500","2018-12-19 15:00:00","","Ding Dong Holy Night♪","-1"
"20","","","","42","險峻枯原","","42","1000","2019-01-18 15:00:00","","險峻枯原","-1"
"20","","","","43","奧爾獅","","43","1000","2019-01-18 15:00:00","","奧爾獅","-1"
"20","","","","44","珠希和美冬的無人島0盧幣生活","","44","1000","2019-01-18 15:00:00","","珠希和美冬的無人島0盧幣生活","-1"
"20","","","","45","島鯨","","45","1000","2019-01-18 15:00:00","","島鯨","-1"
"18","","","","46","閃亮亮☆Happiness！","","46","1500","2019-01-18 15:00:00","","閃亮亮☆Happiness！","-1"
"20","","","","47","新的出航","","47","1000","2019-01-18 15:00:00","","新的出航","-1"
"20","","","","48","阿爾珈提","","48","1000","2019-01-18 15:00:00","","阿爾珈提","-1"
"20","","","","49","新春破曉之星大危機！","","49","1000","2019-01-18 15:00:00","","新春破曉之星大危機！","-1"
"20","","","","50","邪餅神鏡餅","","50","1000","2019-01-18 15:00:00","","邪餅神鏡餅","-1"
"20","","","","51","TwinkleStars","","51","1500","2019-01-18 15:00:00","","TwinkleStars","-1"
"20","","","","52","酷熱沙漠","","52","1000","2019-02-15 15:00:00","","酷熱沙漠","-1"
"20","","","","53","美杜莎","","53","1000","2019-02-15 15:00:00","","美杜莎","-1"
"20","","","","54","黑鐵的亡靈（Nightmare）","","54","1000","2019-02-15 15:00:00","","黑鐵的亡靈（Nightmare）","-1"
"20","","","","55","亡靈鎧甲","","55","1000","2019-02-15 15:00:00","","亡靈鎧甲","-1"
"20","","","","56","Aloofness Code","","56","1500","2019-02-15 15:00:00","","Aloofness Code","-1"
"20","","","","57","Absolute Secret","","57","1500","2019-02-15 15:00:00","","Absolute Secret","2008015"
"20","","","","58","水之里歐斯","","58","1000","2019-02-15 15:00:00","","水之里歐斯","-1"
"20","","","","59","情人節之戰！正中紅心的甜蜜戰鬥","","59","1000","2019-02-15 15:00:00","","情人節之戰！正中紅心的甜蜜戰鬥","-1"
