364f15a25b5781d34abfc2fcde09d0ddecae82880e3b42fecd63758b07911673,faed9b414139019212263346e5e9edf989fdc6dabd265e85f43e614ef9f096ef,a38bd0f669586b96a871b291b27ba74833d130c73c23a143eefaf416ce9a2b86,69ecf0c57fb59046847c25351f5583b478b3f4471f3511a1e122dd6a7ec53beb,bc4a5a553603fb58a5a1edca956a9891ec0836d5c650f9ffbe7de6c38924f7ed,7599365291b8d492697bef388795ed45ebb5641f57c63a191fd043ecadd14fa0,22a6409dffe1ed250f671047f76d308dc349689e533942cf07829ed22736f8e4,9b31320b6cb3202b9004ae3cc17551266016ce4aa079593408d596b419cc6382,d39c52ed3ffaa12fc1fbad838fb23c873d0d5f7cdfa273ae8588cd3f9167b1a2,8e44c2288e5d706943dad60be32bd3758b82071d246e4c9b958f654684fa28e3,d21d475bd7d023acab5a336706ad529229bb6eea6b622d72adbc2592157a883e,f6ab79029bfffcaa229034e58346345e09dd2cb4b361f5dbd0747dabf0ebc671,718c095fd3e9f163b2661a6fba5b5e8561c2bcb01506e50073862ec99ee0fc5c,93464ac6fd632a02666b3cb0f1a9a98488552cd2c619ec4250af16409ae622f5,7544763d2a0a8e768233a54417af964459c03d7bf814d8d1dd892f594d350d05,8ae2050d2ff3009200ac544c43e85b23ccca9893846e585efed48c60e06f1734,3b3f012888afcba929071d33783bfdfff0f0aaf1f0a8d968daf501614c5f127a,533d6d00a174cfbf38d82865b8c6071a548fc7ec28ae5730f44d18c4eddd8b02,de0ff1e197662f8bf4c55020d3d17cda3ed0249c08f4e1b4b6f77a55ba539170,83ac58f3d035bfd0e600f825a83e7cae6152fe85aa168453c60424bb30f4b1aa,dd7aa38d65b351e21611a69cbf914748bd2d74eb5be1337932eefe1366078f35,4baea99f0dd5f111f6b2afc56e9cc7e5b0a8270ed02f85a7a995fe77dc4c210c,2a78018da5e8daa3886ba58da478f7136bf3826c7d4b8df83dd2749736230c58,b934823c1dfdd0a05ca7bb4d6aedc7529b447f061b3798c7ae2b4dcb414c4115,ed2f2920ddcb4cc63d2964d6232a88dbc677c9efe5e6b92c1e439a6f92537b13,3b225e3b438aeb79b679e05a68a2dae8ddcda6728a8474f6f069987b6423838f,ab0d09e12808c982eb32afde8bae71c5d445f2a3ff4524b3920630e9b3d8ccf5,3a49bbd004a07c37d3ad577fadaee2fdf5a81f4cdec281170c8ed578922cea6d
"180301","1001001","110301","106001","100101","14","1","0","180301","128801","100203","100303","1","100101","100003","100101","105401","100101","1001","50","0","0","100101","90","2024/11/01 16:00:00","0","100101","100305"
"123701","1001002","123701","106001","100201","13","1","0","101801","110301","100203","100204","2","100201","100003","100201","124501","100201","1001","50","0","0","100201","90","2024/11/01 16:00:00","0","100201","100101"
"104001","1001003","106901","104001","100301","20","1","0","110301","105401","100304","100101","3","100301","100003","100301","117301","100301","1001","50","0","0","100301","90","2024/11/01 16:00:00","0","100301","100102"
"101801","1001004","123001","129001","100401","14","1","0","101401","103401","100202","100302","4","100401","100003","100401","101801","100402","1001","50","0","0","100401","90","2024/11/01 16:00:00","0","100402","100304"
"103001","1001005","102601","111001","100501","13","1","0","102801","104901","100303","100101","5","100501","100003","100501","103001","100501","1001","50","0","0","100501","90","2024/11/01 16:00:00","0","100501","100102"
"100801","1001006","106001","100801","100602","14","1","0","123001","106501","100202","100302","6","100601","100003","100601","110301","100601","1001","50","0","0","100601","90","2024/11/01 16:00:00","0","100601","100304"
"105501","1001007","106001","108301","100701","13","1","2","105501","128301","100202","100203","7","100701","100003","100701","103401","100701","1001","50","0","0","100702","90","2024/11/01 16:00:00","0","100701","100101"
"105201","1001008","112201","123001","100801","14","1","7","101801","105201","100303","100101","8","100801","100003","100801","105301","100802","1001","50","0","0","100801","90","2024/11/01 16:00:00","0","100801","100102"
"113401","1001009","110301","124501","100901","20","1","11","113401","100701","100202","100302","9","100901","100003","100901","108901","100901","1001","50","0","0","100901","90","2024/11/01 16:00:00","0","100901","100304"
"100901","1001010","100901","115001","101005","13","2","1","124101","106601","100303","100101","10","101002","100003","101001","103401","101005","1001","50","0","0","101002","90","2024/11/01 16:00:00","8","101002","100102"
"117501","1001011","106901","121301","101105","14","2","16","110301","105401","100203","100303","11","101105","100003","101101","117501","101105","1001","50","0","0","101102","90","2024/11/01 16:00:00","18","101106","100305"
"117301","1001012","123001","129001","101205","13","2","3","117301","108901","100203","100205","12","101206","100003","101201","126101","101206","1001","50","0","0","101202","90","2024/11/01 16:00:00","10","101206","100101"
"118501","1001013","118501","129001","101301","14","2","6","106001","101401","100303","100101","13","101306","100003","101301","123001","101306","1001","50","0","0","101302","90","2024/11/02 16:00:00","11","101306","100102"
