8a1bd6771df4304b4ec1d69f7b68187e83a403bfcc9aa6f0cb42449b7cf12898,5eeb1420d7e5fe02b4ff02fb4a817a414bb46c93ff7849464ba6113a0d7ab22e,6a038c82fc62b08d89964ff9dd869c0554fd154392c28f5f93f5bb9fcca36cb3,810ccdb2e42a376555c8ebc515ccf90a29e733e9d585d7affd76fb9336af3158
"1","1","0","11"
"1","1","0","12"
"1","1","11002002","13"
"1","1","11003005","14"
"1","1","11002012","15"
"2","1","0","16"
"0","201","0","201"
"0","2000","0","203"
"0","2000","0","204"
"0","2000","0","205"
"0","206","0","206"
"0","207","0","207"
"0","301","0","301"
