4ad65a12f1ced3a65945cd930770fb337fa7480d11074bc928c1ffd1cd3ef87c,6c03b9ad76f32e56f902144913c4dc52e7d74b1562000fdcf822f25fdf8bb689,8b089da3c6f9e31f2b2fa685b2a70114f093ab325f92626f132f72e1d6e28551,17fe3246715e3c172509aab807575b5fc3031730a6e3205220ceee54e7a258e1,9267a1c726d212ea05e9f95ba0e8218742e9cab15c510e59dfac2700e5285ccc,25dff254285d2fca10a8528569ae72bc60bf2e11e7c34b530d0a537e20b53575
"1","0","10008","10008103","10008001","1"
"2","0","10008","10008104","10008002","1"
"3","0","10008","10008105","10008003","1"
"4","0","10008","10008107","10008004","1"
"5","0","10008","10008111","10008005","1"
"201","0","10008","0","10008006","2"
"101","0","10008","10008105","10008201","201"
"102","0","10008","10008107","10008202","201"
"103","0","10008","10008111","10008203","201"
"111","0","10008","10008115","10008204","202"
"105601","0","10008","0","10008301","101"
"100901","0","10008","10008103","10008302","101"
"101301","0","10008","10008104","10008303","101"
"105601","0","10008","10008105","10008304","101"
"101301","0","10008","10008107","10008305","101"
"100901","0","10008","10008111","10008306","101"
"105601","0","10008","0","10008307","102"
"201","0","10010","0","10010001","2"
"2","0","10010","10010112","10010002","1"
"3","0","10010","10010115","10010003","1"
"4","0","10010","10010103","10010004","1"
"5","0","10010","10010105","10010005","1"
"6","0","10010","10010107","10010006","1"
"7","0","10010","10010109","10010007","1"
"101","0","10010","10010112","10010201","211"
"0","0","10010","10010115","10010202","211"
"101461","101471","10010","10010110","10010501","501"
"101462","101472","10010","10010110","10010502","501"
"101463","101473","10010","10010110","10010503","501"
"211","0","10010","1001004","10010531","3"
"1","0","10012","1001201","10012001","4"
"2","0","10012","1001202","10012002","4"
"3","0","10012","1001203","10012003","4"
"4","0","10012","1001204","10012004","4"
"101","0","10012","1001201","10012301","5"
"101","0","10012","1001202","10012302","5"
"101","0","10012","1001203","10012303","5"
"501","0","10012","0","10012401","6"
"211","0","10012","1001204","10012531","3"
"211","0","10013","1001304","10013531","3"
"211","0","10015","1001504","10015531","3"
"1","0","10017","10017102","10017001","1"
"2","0","10017","10017108","10017002","1"
"3","0","10017","10017115","10017003","1"
"105801","0","10017","0","10017301","101"
"109901","0","10017","10017102","10017302","101"
"109901","0","10017","0","10017303","102"
"211","0","10017","1001704","10017531","3"
"101921","101931","10021","10021112","10021001","501"
"101922","101932","10021","10021112","10021002","501"
"101923","101933","10021","10021112","10021003","501"
"100011","100351","10021","10021112","10021004","501"
"100012","100352","10021","10021112","10021005","501"
"100013","100353","10021","10021112","10021006","501"
"100014","100354","10021","10021112","10021007","501"
"100015","100355","10021","10021112","10021008","501"
"100016","100356","10021","10021112","10021009","501"
"100017","100357","10021","10021112","10021010","501"
"100018","100358","10021","10021112","10021011","501"
"100019","100359","10021","10021112","10021012","501"
"211","0","10039","1003904","10039531","3"
"1","0","10053","10053102","10053001","1"
"2","0","10053","10053108","10053002","1"
"3","0","10053","10053115","10053003","1"
"105801","0","10053","0","10053301","101"
"109901","0","10053","10053102","10053302","101"
"109901","0","10053","0","10053303","102"
"211","0","10053","1005304","10053531","3"
"1","0","10084","10084102","10084001","1"
"2","0","10084","10084112","10084002","1"
"3","0","10084","10084115","10084003","1"
"1","0","10085","10085102","10085001","1"
"2","0","10085","10085108","10085002","1"
"3","0","10085","10085115","10085003","1"
"1","0","10112","10112102","10112001","1"
"2","0","10112","10112112","10112002","1"
"3","0","10112","10112115","10112003","1"
"1","0","10113","10113102","10113001","1"
"2","0","10113","10113108","10113002","1"
"3","0","10113","10113115","10113003","1"
"1","0","10153","10153102","10153001","1"
"2","0","10153","10153108","10153002","1"
"3","0","10153","10153115","10153003","1"
"105801","0","10153","0","10153301","101"
"109901","0","10153","10153102","10153302","101"
"109901","0","10153","0","10153303","102"
"211","0","10153","1015304","10153531","3"
"1","0","20008","20008103","20008001","1"
"2","0","20008","20008104","20008002","1"
"3","0","20008","20008105","20008003","1"
"4","0","20008","20008107","20008004","1"
"5","0","20008","20008111","20008005","1"
"201","0","20008","0","20008006","2"
"101","0","20008","20008105","20008201","201"
"102","0","20008","20008107","20008202","201"
"103","0","20008","20008111","20008203","201"
"111","0","20008","20008115","20008204","202"
"105601","0","20008","0","20008301","101"
"100901","0","20008","20008103","20008302","101"
"101301","0","20008","20008104","20008303","101"
"105601","0","20008","20008105","20008304","101"
"101301","0","20008","20008107","20008305","101"
"100901","0","20008","20008111","20008306","101"
"105601","0","20008","0","20008307","102"
"201","0","20010","0","20010001","2"
"1","0","20010","20010110","20010002","1"
"2","0","20010","20010112","20010003","1"
"3","0","20010","20010115","20010004","1"
"4","0","20010","20010103","20010005","1"
"5","0","20010","20010105","20010006","1"
"6","0","20010","20010107","20010007","1"
"7","0","20010","20010109","20010008","1"
"101","0","20010","20010112","20010201","211"
"0","0","20010","20010115","20010202","211"
"101461","101471","20010","20010110","20010501","501"
"101462","101472","20010","20010110","20010502","501"
"101463","101473","20010","20010110","20010503","501"
"211","0","20010","2001004","20010531","3"
"1","0","20012","2001201","20012001","4"
"2","0","20012","2001202","20012002","4"
"3","0","20012","2001203","20012003","4"
"4","0","20012","2001204","20012004","4"
"101","0","20012","2001201","20012301","5"
"101","0","20012","2001202","20012302","5"
"101","0","20012","2001203","20012303","5"
"501","0","20012","0","20012401","6"
"211","0","20012","2001204","20012531","3"
"211","0","20014","2001404","20014531","3"
"101921","101931","20016","20016112","20016001","501"
"101922","101932","20016","20016112","20016002","501"
"101923","101933","20016","20016112","20016003","501"
"100011","100351","20016","20016112","20016004","501"
"100012","100352","20016","20016112","20016005","501"
"100013","100353","20016","20016112","20016006","501"
"100014","100354","20016","20016112","20016007","501"
"100015","100355","20016","20016112","20016008","501"
"100016","100356","20016","20016112","20016009","501"
"100017","100357","20016","20016112","20016010","501"
"100018","100358","20016","20016112","20016011","501"
"100019","100359","20016","20016112","20016012","501"
"1","0","20046","20046102","20046001","1"
"2","0","20046","20046112","20046002","1"
"3","0","20046","20046115","20046003","1"
"1","0","20047","20047102","20047001","1"
"2","0","20047","20047108","20047002","1"
"3","0","20047","20047115","20047003","1"
