85cb96a6901df6d2eb541549dc6886c7764cff5d98ad0bda3f86186a85c271d1,0719f590a143c4b1a14f91d0ae3f07d678d6dca47057851e38a5fae787bb6182,2c48e4f2f577a756303fb20d25166f896ac671cd4ce26e3e918dd09f4821b146,ecfc4ee792f3394727d352b42a9e26864ae34f86757bb352470dc40241c10bc0,f88d380732f539b07b509d1297fe5d65742a785a61537667b8df2172568220f9,cd489ca648cc158f5752fb40bbc26b76a29a939c4976941858ae1b05df085baf,9d77a035d994c24a5551df97bfa8b798c2a530a1859560e0c5c0517d52ac3ca1,19df96b8b39147b1a9ebd6932ae96f20b05ac2973de7959d5ee5505a1a0f26f9,3083e436ae6bcea8a8798880f2b4f18b7e4aa612feeeac470ef147a4c59784ed,0b9abbfc1c8451a44df769a836e708c6abe3f182cf585025e5a2a4a80a029ca5,907d7dcb05593572af1c92858f6215e68d6b78a4c4d26d964ff988cb5336b6b0,53baebaacf290d4ce04036db073de48d0e6c74a06ee8fe1d4d334451f78ed802,8e5ccc036675e8ae43819e29e0d41055208e10e27e95945090f2bd5f4410f4e5,b8cc25159d2f0746053b89b0a13c50138e4d9d48e3d6a02a1c2e51d3bfccca82,34a160204778aee554a947da275fe76c62ad6bf68475b3b6f59e6e9c61068371,e3af80f6149fb7cae957a7410eb7b80085339b0b0f659ff035d4820c647962dc,62c512c7c4c2c88472aace1c3811b3000b00fad4d5cc647a3d9a6b467bff7f54,694b19d86a20348b1fbb67d87111a39be15b1769fc6192b1c67786c9f98644e9,c6e73c63bb4c4b74ef140c33a69f6f1797e1b532152081cc7acba9a9e91538ce,1670207dacddc1b96afe84cf45c6c41088661acd3fdefcf68338880a86e87372,6bb6157f9b8f5d5b951e8a9edf4046dfdb34daf408ed1ef98f46fa0b5a5ffb6e
"1","30","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","單體物理傷害+{0}","3","0","30","0","0","2.4","100100101","1"
"99","50","0","3","0","1","1","3","","0","0","-1","","3","0","0","0","0","500","100100102","1"
"99","13.5","0","1","0","1","2","1","對範圍內的敵人造成{0}的物理傷害","0","0","400","範圍物理傷害+{0}","3","0","13.5","0","0","1.08","100100103","1"
"1","20","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","20","0","0","1.6","100100201","1"
"1","8","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","0","物理傷害+{0}","1","0","8","0","0","0.6","100100301","1"
"1","1","0","10","1","1","1","10","提升自身{0}的物理攻擊力","0","12","0","物理攻擊力提升+{0}","7","0","11","0","1","11","100100302","2"
"1","60","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","單體物理傷害+{0}","3","0","60","0","0","4.8","100101101","1"
"99","45","0","1","0","1","2","1","對範圍內的敵人造成{0}的物理傷害","0","0","600","範圍物理傷害+{0}","3","0","45","0","0","3.6","100101102","1"
"1","20","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","單體物理傷害+{0}","3","0","20","0","0","1.6","100101201","1"
"99","9","0","1","0","1","2","1","對範圍內的敵人造成{0}的物理傷害","0","0","400","範圍物理傷害+{0}","3","0","9","0","0","0.72","100101202","1"
"0","1","0","2","0","1","0","90","提升自身{0}的物理攻擊力","0","1","0","物理攻擊力提升+{0}","0","0","15","0","0","15","100150101","0"
"0","1","0","2","0","1","0","90","提升自身{0}的物理攻擊力","0","1","0","物理攻擊力提升+{0}","0","0","240","0","0","15","100151101","0"
"99","1","0","2","0","1","3","4","回復我方全體{0}的HP","0","0.45","2160","HP回復量+{0}","3","0","6","0","0","6","100200101","2"
"1","15","0","2","0","1","1","1","對敵方單體造成{0}的魔法傷害","0","0","-1","魔法傷害+{0}","3","0","15","0","0","1.2","100200201","1"
"99","1","0","20","1","1","3","10","提升我方全體{0}的物理防禦力","0","12","2160","物理防禦力提升+{0}","3","0","0.23","0","1","0.23","100200301","2"
"99","1","0","2","0","1","3","4","回復我方全體{0}的HP","0","0.6","2160","HP回復量+{0}","3","0","8","0","0","8","100201101","2"
"99","1","0","20","1","1","3","10","提升我方全體{0}的物理防禦力","0","18","2160","物理防禦力提升+{0}","3","0","1.2","0","1","1.2","100201102","2"
"99","45","0","1","0","1","3","6","展開{0}傷害量的物理無效護盾","0","0","2160","無效傷害量+{0}","3","0","45","0","0","18","100201103","2"
"99","2","0","2","0","1","3","8","提升我方全體的行動速度","0","0","2160","","3","0","0","0","1","18","100201104","2"
"1","20","0","2","0","1","1","1","對敵方單體造成{0}的魔法傷害","0","0","-1","魔法傷害+{0}","3","0","20","0","0","1.6","100201201","1"
"1","1","0","11","1","1","1","10","降低敵方單體{0}的物理攻擊力","0","12","-1","物理攻擊力降低+{0}","3","0","7.5","0","1","7.5","100201202","1"
"0","1","0","4","0","1","0","90","提升自身{0}的魔法攻擊力","0","1","0","魔法攻擊力提升+{0}","0","0","15","0","0","15","100250101","0"
"0","1","0","4","0","1","0","90","提升自身{0}的魔法攻擊力","0","1","0","魔法攻擊力提升+{0}","0","0","15","0","0","15","100251101","0"
"0","1","0","5","0","1","0","90","提升自身{0}的魔法防禦力","0","1","0","","0","0","30","0","0","0","100251102","0"
"1","60","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","60","0","0","4.8","100300101","1"
"1","20","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","20","0","0","1.6","100300201","1"
"1","0","0","677","100300303","1","1","28","","0","0","0","","7","0","0","100300302","0","0","100300301","2"
"1","0.5","0","1","100300305","1","1","18","","0","0","4320","","3","0","0","0","0","1.8","100300302","1"
"1","1","0","1","100300306","1","1","18","","0","0","4320","","3","0","0","0","0","1.8","100300303","1"
"1","0","0","677","100300306","1","1","28","","0","0","0","","7","0","0","100300305","0","0","100300304","2"
"1","20","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","20","0","0","1.6","100300305","1"
"1","40","0","1","0","1","1","1","","0","0","-1","","3","0","40","0","0","3.2","100300306","1"
"1","120","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","120","0","0","9.6","100301101","1"
"1","1","0","0","0","1","1","35","將風之刃暫時纏繞於身","0","1","0","","7","0","77","0","0","18","100301102","2"
"1","1","0","677","100301203","1","1","28","","0","0","0","","7","0","2","100301202","0","1","100301201","2"
"1","20","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","20","0","0","1.6","100301202","1"
"1","40","0","1","0","1","1","1","","0","0","-1","","3","0","40","0","0","3.2","100301203","1"
"1","1","0","21","1","1","1","10","降低敵方單體{0}的物理防禦力","0","12","-1","物理防禦力降低+{0}","3","0","0.6","0","1","0.6","100301204","1"
"1","1","0","21","1","1","1","10","","0","24","-1","","3","0","1.2","0","1","1.2","100301205","1"
"0","1","0","2","0","1","0","90","提升自身{0}的物理攻擊力","0","1","0","物理攻擊力提升+{0}","0","0","15","0","0","15","100350101","0"
"0","1","0","2","0","1","0","90","提升自身{0}的物理攻擊力","0","1","0","物理攻擊力提升+{0}","0","0","15","0","0","15","100351101","0"
"0","1","0","1","0","1","0","90","提升自身{0}的最大HP","0","1","0","","0","0","1125","0","0","0","100351102","0"
"1","0","1","1","0","1","2","7","","0","0","2160","","3","0","0","0","0","0","100400101","1"
"99","20.4","0","1","0","1","2","1","對範圍內的敵人造成{0}的物理傷害","0","0","300","物理傷害+{0}","1","0","20.4","0","0","1.62","100400102","1"
"1","8","1","1","0","1","3","1","對敵方單體造成{0}的物理傷害","0","0","2160","物理傷害+{0}","3","0","8","0","0","0.6","100400201","1"
"1","8","1","70","0","1","3","12","使一名敵人陷入黑暗狀態","0","0","2160","造成黑暗的成功Lv+1","3","0","0","0","0","100","100400202","1"
