6654eb42e240a308f84291747b521c4c1315654f8fbdc17520507b7b7b78486c,c0ff582646ef57c0cbb46f43594d3fb9335d28434d7ea7f67c9b461c8cb5bc61,32c5bf02d5945bff63809825cd6aea7278c315719dff26c749ce4d4b67996db5,0c5b390a098cd1776c00ef1eca49ae0344605af73a04ed59c9ad5f385115d4eb,94ad4a08d1fe1774ff98d97a1b93b6bfbb7d5c0e72c5cb49f30f93e2272fb3f4,1a7f23e8c8264e556dace7651679878dff279366e0237b4e1996503b0657f840,5f115372acd258242fd2db0c3db68bf36de485c9338ff28538afc242f54e3c04,e3e7077f0e2db422fa69936c43622f695995192f24d6d9350aca391eb29db4a0,6b9c4031df6e39fb8233ff75a028eb6db785661789923a543a2a3485a9765969,aee04b73c405f623f6ffa89351d2ddac275b2525c49e4b1f911098670a851a03,b8a79faddcada59ca7dbe60483afc2a3c4b70608c9354af6cdcee74eaeadf5c0,c4fcdd3dd189e8d4c0bb77fa5d0a21d23abc38de27f423b7f5890577117d34c2,d3f4ec15f24cf8a72b23e3de7313804bd473c00371b23742e15f9409543b270b,9ebec54d326d3663565c2a185265aeb3d09ba485b054797e5fd35da0e8182c83,777a78474b52b0bc54510c94f852687826aa34dbcef3e020cb5432a1feec89eb
"11","0","0","0","113","2023/02/15 05:00:00","1","2816","100","0","540","1","111","112","0"
"21","0","0","0","213","2023/02/16 05:00:00","1","2816","100","0","493","2","211","212","0"
"31","0","0","0","313","2023/02/17 05:00:00","1","2816","100","0","458","3","311","312","0"
"41","0","0","0","413","2023/02/18 05:00:00","1","2816","100","0","420","4","411","412","0"
"51","0","0","0","513","2023/02/19 05:00:00","1","2816","100","0","380","5","511","512","0"
"61","0","0","0","613","2023/02/20 05:00:00","1","2816","100","0","340","6","611","612","0"
"71","0","1","0","713","2023/02/21 05:00:00","1","2816","100","0","430","7","711","712","0"
"81","0","1","0","813","2023/02/22 05:00:00","1","2816","100","0","402","8","811","812","0"
"91","0","1","0","913","2023/02/23 05:00:00","1","2816","100","0","302","9","911","912","0"
"101","0","1","0","1013","2023/02/24 05:00:00","1","2816","100","0","264","10","1011","1012","0"
"111","0","1","0","1113","2023/02/25 05:00:00","1","2816","100","0","225","11","1111","1112","0"
"121","0","1","0","1213","2023/02/26 05:00:00","1","2816","100","0","328","12","1211","1212","0"
"131","0","1","0","1313","2023/02/27 05:00:00","1","2816","100","0","280","13","1311","1312","0"
"141","0","1","0","1413","2023/02/28 05:00:00","1","2816","100","0","269","14","1411","1412","0"
"151","0","1","0","1513","2023/03/01 05:00:00","1","2816","100","0","180","15","1511","1512","0"
"161","0","1","0","1613","2023/03/02 05:00:00","1","2816","100","0","138","16","1611","1612","0"
"171","0","1","0","1713","2023/03/03 05:00:00","1","2816","100","0","97","17","1711","1712","0"
"181","0","1","0","1813","2023/03/04 05:00:00","1","2816","100","0","56","18","1811","1812","0"
"191","0","1","0","1913","2023/03/05 05:00:00","1","2816","100","0","150","19","1911","1912","0"
"201","0","1","0","2013","2023/03/06 05:00:00","1","2816","100","0","100","20","2011","2012","0"
"211","0","1","0","2113","2023/03/07 05:00:00","1","2816","100","0","15","21","2111","2112","0"
"221","0","1","0","2213","2023/03/08 05:00:00","1","2816","100","0","-25","22","2211","2212","0"
"231","0","1","0","2313","2023/03/09 05:00:00","1","2816","100","0","-66","23","2311","2312","0"
"241","0","1","0","2413","2023/03/10 05:00:00","1","2816","100","0","-107","24","2411","2412","0"
"251","0","1","0","2513","2023/03/11 05:00:00","1","2816","100","0","-149","25","2511","2512","0"
"261","0","1","0","2613","2023/03/12 05:00:00","1","2816","100","0","-188","26","2611","2612","0"
"271","0","1","0","2713","2023/03/13 05:00:00","1","2816","100","0","-96","27","2711","2712","0"
"281","0","1","0","2813","2023/03/14 05:00:00","1","2816","100","0","-133","28","2811","2812","0"
"291","0","1","0","2913","2023/03/15 05:00:00","1","2816","100","0","-174","29","2911","2912","0"
"301","0","1","0","3013","2023/03/16 05:00:00","1","2816","100","0","-230","30","3011","3012","0"
"311","0","1","0","3113","2023/03/17 05:00:00","1","2816","100","0","-272","31","3111","3112","0"
"321","0","1","0","3213","2023/03/18 05:00:00","1","2816","100","0","-313","32","3211","3212","0"
"331","0","1","0","3313","2023/03/19 05:00:00","1","2816","100","0","-240","33","3311","3312","0"
"341","0","1","0","3413","2023/03/20 05:00:00","1","2816","100","0","-260","34","3411","3412","0"
"351","0","1","0","3513","2023/03/21 05:00:00","1","2816","100","0","-280","35","3511","3512","0"
"361","0","1","0","3613","2023/03/22 05:00:00","1","2816","100","0","-354","36","3611","3612","0"
"371","0","1","0","3713","2023/03/23 05:00:00","1","2816","100","0","-395","37","3711","3712","0"
"381","0","1","0","3813","2023/03/24 05:00:00","1","2816","100","0","-436","38","3811","3812","0"
"391","0","1","0","3913","2023/03/25 05:00:00","1","2816","100","0","-477","39","3911","3912","0"
"401","0","1","0","4013","2023/03/26 05:00:00","1","2816","100","0","-400","40","4011","4012","0"
"411","0","1","0","4113","2023/03/27 05:00:00","1","2816","100","0","-438","41","4111","4112","0"
"421","0","1","0","4213","2023/03/28 05:00:00","1","2816","100","0","0","42","4211","4212","0"
"431","0","2","0","4313","2023/03/29 05:00:00","2","2816","200","0","371","43","4311","4312","0"
"441","0","2","0","4413","2023/03/30 05:00:00","2","2816","200","0","343","44","4411","4412","0"
"451","9105803","2","0","4513","2023/03/31 05:00:00","2","2816","200","105801","260","45","4511","4512","0"
"461","0","2","0","4613","2023/04/01 05:00:00","2","2816","200","0","313","46","4611","4612","0"
"471","0","2","0","4713","2023/04/02 05:00:00","2","2816","200","0","285","47","4711","4712","0"
"481","9102003","2","0","4813","2023/04/03 05:00:00","2","2816","200","102001","260","48","4811","4812","0"
"491","0","2","0","4913","2023/04/04 05:00:00","2","2816","200","0","257","49","4911","4912","0"
"501","9100203","2","0","5013","2023/04/05 05:00:00","2","2816","200","100201","173","50","5011","5012","0"
"511","0","2","0","5113","2023/04/06 05:00:00","2","2816","200","0","227","51","5111","5112","0"
"521","9105503","2","0","5213","2023/04/07 05:00:00","2","2816","200","105501","57","52","5211","5212","0"
"531","0","2","0","5313","2023/04/08 05:00:00","2","2816","200","0","197","53","5311","5312","0"
"541","0","2","0","5413","2023/04/09 05:00:00","2","2816","200","0","169","54","5411","5412","0"
"551","9101603","2","0","5513","2023/04/10 05:00:00","2","2816","200","101601","-55","55","5511","5512","0"
"561","0","2","0","5613","2023/04/11 05:00:00","2","2816","200","0","141","56","5611","5612","0"
"571","0","2","0","5713","2023/04/12 05:00:00","2","2816","200","0","111","57","5711","5712","0"
"581","0","2","0","5813","2023/04/13 05:00:00","2","2816","200","0","81","58","5811","5812","0"
"591","0","2","0","5913","2023/04/14 05:00:00","2","2816","200","0","53","59","5911","5912","0"
"601","0","2","0","6013","2023/04/15 05:00:00","2","2816","200","0","-180","60","6011","6012","0"
"611","0","2","0","6113","2023/04/16 05:00:00","2","2816","200","0","-210","61","6111","6112","0"
"621","9106703","2","0","6213","2023/04/17 05:00:00","2","2816","200","106701","-221","62","6211","6212","0"
"631","0","2","0","6313","2023/04/18 05:00:00","2","2816","200","0","24","63","6311","6312","0"
"641","0","2","0","6413","2023/04/19 05:00:00","2","2816","200","0","-6","64","6411","6412","0"
"651","0","2","0","6513","2023/04/20 05:00:00","2","2816","200","0","-33","65","6511","6512","0"
"661","0","2","0","6613","2023/04/21 05:00:00","2","2816","200","0","-63","66","6611","6612","0"
"671","0","2","0","6713","2023/04/22 05:00:00","2","2816","200","0","-91","67","6711","6712","0"
"681","0","2","0","6813","2023/04/23 05:00:00","2","2816","200","0","-121","68","6811","6812","0"
"691","0","2","0","6913","2023/04/24 05:00:00","2","2816","200","0","-150","69","6911","6912","0"
"701","0","2","0","7013","2023/04/25 05:00:00","2","2816","200","0","-180","70","7011","7012","0"
"711","0","2","0","7113","2023/04/26 05:00:00","2","2816","200","0","-208","71","7111","7112","0"
"721","0","2","0","7213","2023/04/27 05:00:00","2","2816","200","0","-236","72","7211","7212","0"
