5c1b05485e0815fd148b27970de119505dfba16e5c23c512298c93f086fafe1d,5baab8496a14171adc2a4d86afe82ed2c1972499464fda2eeab5d22cce970b60,519d00883834063354f68f387e17de2a91b30b6320ad6392156e01b27892ca98,a62ba4b997f27dd0143d60730a1bffe597327549f8fd91db91aa7bfa99c39dc1,030b1f65eed6dea8648ff04dfc18cb0227a20859d1a4d7b5bce931f96bfc283a,2a3c5b796391d31da848c0039bd8d25c35ab1b99793d60ac89db5f24075b6eab,f045942f9591b754a5614b0341b4192d3882146cf7f690dab7371c5618656be7,a5c5b6315d05bf025f110bd828ab660487014fdd6d29eb288f7f236fb89e18c4,2f64a4d80a2fe9e4e69bc43b80130734ce6a4dbff3eff16e8e28a286a1909529,be22df550a1a38a7fd164c33668120022a09de671c6e4f89669cf39ad2f8c2e9,b556e421d75ae0964fd606197b7365e54c456972edd6901b30f7865eb8aae021
"-225","1.8","1","100","idle_normal","0","61001","105811","5146061","1","-278"
"-225","1.8","5","101","idle_normal","0","61002","1058","5146061","6","-278"
"-385","1.8","1","103","kokkoro_idle_normal","0","61003","105911","5146061","1","-288"
"-385","1.8","5","104","kokkoro_idle_normal","0","61004","1059","5146061","3","-288"
"290","1.8","1","106","idle_normal","1","61005","106011","5146061","1","-278"
"290","1.8","5","107","idle_normal","1","61006","1060","5146061","4","-278"
"","","13","","","","61007","200","5146061","105811",""
"","","13","","","","61008","203","5146061","105911",""
"","","13","","","","61009","206","5146061","106011",""
"0","0.85","5","15","idle","0","61010","7","5146061","7","-174"
"290","1","5","210","empty","0","61011","201","5146061","20","8"
"0","1","5","211","empty","0","61012","202","5146061","20","-78"
"-315","1","5","210","empty","0","61013","203","5146061","20","16"
"0","1","5","60","empty","0","61014","21","5146061","21","153"
"0","1","31","0","","","61015","1","5146061","1","1"
"-57.7","0","31","0","","","61016","2","5146061","2","1"
"0","0","31","0","","","61017","10","5146061","10","1"
"0","0","31","0","","","61018","11","5146061","11","1"
"","","91","","","","61019","0","5146061","0",""
"","","102","0","","","61020","0","5146061","0",""
"","","93","","","","61021","0","5146061","1",""
"doya_talk_shy","0.2","3","0","","0","61022","doya_in_shy","5146061","106011","1"
"doya_talk_shy","0.2","3","0","","0","61023","doya_in_shy","5146061","1060","1"
"0","","21","0","","","61024","vo_apg_0101","5146061","vo_apg",""
"1","0","11","8","0","0","61025","搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","5146061","106011","1"
"","","91","","","","61026","","5146061","0",""
