91a1e43c0fe0aa5d02497f73d0a68fe2f63c4f65fc737a636e6f2794bb6d4c2e,3fdf7edaf353d66918e7a816b9f502b6e5cde4d35957e4648519b77e9a7e8b67,b733bb9feeb61bd7d79955c0862123163b69c77f667b53097c31061756e92066,be248f221b8d6ef583157367e558e7cfce4396ae4fe34ac63c5e9b5c1eaba59d,75ac7cd5048c9709192686d6aa61f25b0ffb3f0ae60d53b3f43b8bd70e3cde6f,acc46e844a54c63c89054ef988399f0d5bd7b39ff3de53048ae425c9f05cc92e,ed3271ba4ad392e5bc3a44d4f02025e6dbfc472928439637385212fc13f67b0c,44a0d8f3d08b977c1d90fb6ef411e998db4eae06822ea8f50a4508db1fcdd03f,563431983c9d74fd011c4a108f2d763787a27557a4cfe214e72ba6e2072974c5,591bd024c9d2351f19ddb99535922410f3a3e0df10e9c5258b236e25fd719777,bd40299c45964e64896cbc231a1c21e0d04e4f8d1f84404779ea04aa5aa12a8d,f79e1e8d4745406fb93c2dd226b112cd216fcdb11b30276256fc0e3759e92a4b
"1007401","10074","年輕與低燒","優衣的病歷　其一","100201","2022/01/03 12:00:00","20041106","0","0","8","91002","20"
"1007402","10074","感受內心的激烈鼓動","優衣的病歷　其二","100201","2022/01/03 12:00:00","20041112","0","1007401","8","91002","20"
"1007403","10074","心煩意亂的病名是","優衣的病歷　其三","100201","2022/01/05 05:00:00","20041115","0","1007402","8","91002","30"
"1007404","10074","預料之外的訪客","優妮的病歷　其一","111001","2022/01/03 12:00:00","20041106","0","0","8","91002","20"
"1007405","10074","服藥的時間","優妮的病歷　其二","111001","2022/01/03 12:00:00","20041112","0","1007404","8","91002","20"
"1007406","10074","致親愛的你","優妮的病歷　其三","111001","2022/01/06 05:00:00","20041115","0","1007405","8","91002","30"
"1007407","10074","奇妙的外來患者","鈴莓的病歷　其一","102501","2022/01/03 12:00:00","20041108","0","0","8","91002","20"
"1007408","10074","可怕的病症","鈴莓的病歷　其二","102501","2022/01/03 12:00:00","20041114","0","1007407","8","91002","20"
"1007409","10074","現代醫學的極限","鈴莓的病歷　其三","102501","2022/01/07 05:00:00","20041115","0","1007408","8","91002","30"
"1007410","10074","統御黑夜之人的苦難","伊莉亞的病歷　其一","104401","2022/01/03 12:00:00","20041108","0","0","8","91002","20"
"1007411","10074","美麗計畫","伊莉亞的病歷　其二","104401","2022/01/03 12:00:00","20041114","0","1007410","8","91002","20"
"1007412","10074","華麗課程","伊莉亞的病歷　其三","104401","2022/01/08 05:00:00","20041115","0","1007411","8","91002","30"
"1007413","10074","不可視之敵","杏奈的病歷　其一","100901","2022/01/03 12:00:00","20041110","0","0","8","91002","20"
"1007414","10074","被封印的魔法","杏奈的病歷　其二","100901","2022/01/03 12:00:00","0","2004101","1007413","8","91002","20"
"1007415","10074","獨眼惡魔的特別治療","杏奈的病歷　其三","100901","2022/01/09 05:00:00","0","2004101","1007414","8","91002","30"
"1007416","10074","骷髏驚喜","忍的病歷　其一","103101","2022/01/03 12:00:00","20041110","0","0","8","91002","20"
"1007417","10074","向迷惘少女伸出援手","忍的病歷　其二","103101","2022/01/05 05:00:00","0","2004101","1007416","8","91002","30"
