451d72ad6b09522fc8f49b5888dd25018a64426ccf87be49d8f7709355fd678d,8c4e1f742557f4ebed6ac23fb1e1b149f22755fa76bd3716080d48e898eae781,079579615e7d4573f243cfe54d513007a0b8f16000862b9178877f2c798a9cf2,e819e483602b996fbccc9ada66e32d4165a5f2449ed9127c6fcb9d058541fc58,eedded409c31d7923c37285bae441c7601e84544cd45cb90fe6c20848824952b,ee6270e3bf20a33af5e10582dce025ae5fcca92c5a421d79d16160441642d182,0f0ca7e1c8bbc2f733c9cf7440ff24e5b63f49b2e0e01b40bf048c0e543d5da1
"1","0","獲得料理活動","0","3","1","0"
"2","0","獲得骰子活動1","0","1","2","0"
"3","0","獲得骰子活動2","0","2","2","0"
"4","1","跳過計算回合數","0","0","3","3"
"5","0","里程+100%","1","100","4","2"
"6","0","小遊戲里程+100%","1","100","5","2"
"7","0","商店打折活動","1","300","6","3"
"8","0","商店打折活動","1","300","6","3"
"98001","2","跳過計算回合數1","0","0","3","3"
"98011","1","跳過計算回合數1","0","0","3","3"
"98012","2","跳過計算回合數2","0","0","3","3"
