8fd4e36609199babf8d436860fc9e3f85d417bf2ef18ef4a7d7f070d826a2359,7a110baa130b097e5576a3a9448dc635c15dd45a0a1d41f3c74ecf169de1cec7,af639d18df73b83b13a9c2cd69bb5c55a30187a644011328d20cd4256e65668f,e73512e1bb5a9d83fe91382cce6f89b0df672ec8ee13cbc0cf6824d12ac90964,2e28e3458c9aa6df19bc3f85e56a80adbdbe2929609a5ea597c012afabfa7693,6c56b72bb79d8e67c1dd9d5d1fafe72512abda861889100944920081fe9eaa3b,e946dacbb995069ac8a5ef0f0219eeafeed8b9439c59f2371cfefff2e3aaf4ec
"1","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","討伐BOSS解放！\n還有{0}隻","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","107601","71004025","10004"
"2","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","討伐BOSS解放！\n還有{0}隻","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","108001","71005025","10005"
"3","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108201","71007031","10007"
"4","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108501","71009031","10009"
"5","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108901","71010031","10010"
"6","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","109001","71011031","10011"
"7","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","109301","71013031","10013"
"8","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","109801","71017031","10017"
"9","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","110101","71019031","10019"
"10","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","107601","72004021","20004"
"11","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","110501","71021035","10021"
"12","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108001","72005021","20005"
"13","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","111201","71025031","10025"
"15","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108201","71026031","10026"
"16","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","111601","71029031","10029"
"17","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108501","71030031","10030"
"18","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","112101","71031031","10031"
"19","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108901","71032031","10032"
"20","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","112301","71033031","10033"
