b83286f32824d895c42d196b19b875b721f99d0a88ee24d9725a5122553a6d1d,894735356208a95e24b21ac923d6f86f37660de9bfd3f4f9e354b5b98d08c78b,1c10b07ab3204b1de06d0e85db33d928f8cf10907ff6783a27f5582b71d5f41b,a4a72371e3b21c6287e89580127f4bd276aba3edbca61fa361c8441bd5983c44,5160ae064c15b878bbaecb1de127aa47642da829bea573e48acfeeccfa60cef1,89b1ba2dccb180fd1dad08b3f3598ef76a9ad8a25076bc8dafe6bf9d43f049e1,8a4b3c328bbae738c216b2a633eb4bce90c63ce61af2987de4be2e0742534ba8,19c8e3a825d72ec7034256cfe8af6e27c0cd8d1f1f8b62c8ae0db27fa0e606dd,fec2a99d7ccc32f3f4fa7fada41a0ab23cd03a0eac896305bf5aa17318303c56,eedc273acf7b7e96349ce7a0a6c6c145aa708b1e51093161e44d52d9b0c5a714
"0","0","5110601","0","0","10110","令人懷念的往日結晶","20059104","0","序幕"
"91002","30","5110602","0","1","10110","誰才是隊長！","20059104","8","尾狗刀的懷想　其一"
"91002","30","5110603","0","1","10110","想獲勝的理由","20059105","8","尾狗刀的懷想　其二"
"91002","30","5110604","0","1","10110","善於傾聽的誓約女君","20059108","8","克莉絲提娜的懷想　其一"
"91002","30","5110605","0","1","10110","隱藏的真正實力……？","20059109","8","大吾的懷想　其一"
"91002","30","5110606","0","1","10110","寫作朋友，讀作對手","20059110","8","拉比林斯達的懷想　其一"
"91002","30","5110607","0","1","10110","惡與正義的放聲大笑","20059112","8","真軌的懷想"
"91002","30","5110608","0","1","10110","所謂的公主騎士","20059113","8","拉基拉基的懷想　其一"
"91002","30","5110609","0","1","10110","遙想未來的日子","20059114","8","尾狗刀的懷想　其三"
"91002","30","5111602","0","1","10111","跳躍王的懲罰","20060103","8","拉基拉基的懷想　其二"
"91002","30","5111603","0","1","10111","兩人一起絕對能做到","20060105","8","克莉絲提娜的懷想　其二"
"91002","30","5111604","0","1","10111","踩虎尾","20060108","8","大吾的懷想　其二"
"91002","30","5111605","0","1","10111","最可疑的七冠是誰","20060109","8","拉比林斯達的懷想　其二"
"91002","30","5111606","0","1","10111","過於簡單的問題","20060110","8","似似花的懷想"
"91002","30","5111607","0","1","10111","魔物使如是說","20060113","8","尾狗刀的懷想　其四"
"91002","30","5111608","0","1","10111","惡徒們追尋的未來","20060113","8","尾狗刀的懷想　其五"
"9000222","1","5111609","1","0","10111","超越過去，創造回憶","0","16","終幕"
