ba1d6f35ee62f7353aee54bfdf81ba02ccd0918406f57d3bac8a9f18ac68520f,ece78e7985235f7f9ebbffdedacef40adabb3e89b9eb063388f2ba506bed6598,4125c8b1ba6d644801e42f8ae93b54558e166362b78ca0d0c6e336c20a28ed65,aa3249f16801de404b5de3b40e7f050040767b12d9cc423165f6c58b5597347f,e483b601487bd0636a5f931403eb12b469b9937816eaea515764912f63cc97e8,3dfa6fc90a83681aa3fff940e22cac429589365ef7caae1cb9600fb3951ef450,2141b595baf871daf85401ec2666a1b2b599fff1c60eed7bbb926c5ccd7aac1e,d964605bee484ebbfdb048a2e51d4cd6a252775a47e4008042946da027bbe66e,5ef780a6b15494b423af6bb8f1155948559521cf3bdecd0813ae3da62ed51031,ebe14df861a48f4a6e7e3a38729d64d5e991b299e5e12fa1b98a53e96e15a420
"0","萊拉耶爾","1","10001","1","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","126501","","1001"
"0","莫妮卡","2","10001","2","","取得最大1000里程","105301","","1002"
"0","克蘿茜","3","1","1","","取得{0}個料理","126401","","1003"
"0","茉莉","4","1","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","100501","重新擲{0}次骰子\n（還剩{1}次）","1004"
"0","七七香","4","2","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","101301","重新擲{0}次骰子\n（還剩{1}次）","1005"
"0","真琴","5","4","2","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","104301","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1006"
"0","惠理子","5","3","3","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","102701","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1007"
"0","杏奈","6","7","1","","追加投擲骰子\n直到數字合計為{0}以上","100901","追加投擲骰子\n直到數字合計為{0}以上","1008"
"0","深月","1","10001","1","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","105101","","1009"
"0","伊緒","2","10001","2","","取得最大1000里程","101801","","1010"
"0","涅妃‧涅羅","8","0","2","","可以選擇使用骰子的\n正面或背面","129701","可以選擇使用骰子的\n正面或背面","1011"
"0","鈴奈","4","1","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","101601","重新擲{0}次骰子\n（還剩{1}次）","1012"
"0","流夏","4","2","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","105601","重新擲{0}次骰子\n（還剩{1}次）","1013"
"0","美美","5","3","3","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","102001","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1014"
"0","安涅默涅","6","7","1","","追加投擲骰子\n直到數字合計為{0}以上","129601","追加投擲骰子\n直到數字合計為{0}以上","1015"
"1","禊","10","1","2","","骰子擲出{0}時，\n可以讓對手休息{1}個回合","100401","骰子擲出{0}時，可以讓對手休息{1}個回合","1016"
"1","琳德","13","2","3","","骰子擲出{0}時，\n前進+{1}","127701","骰子擲出{0}時，\n前進+{1}","1017"
