cf993a99658e6c36895c30c3198280f597d5e0be19da3cd64ef41fc755c6befe,afc3e2869149dac42cc062f2342fb8176a19723f4693dcd30554c2f94fdace86,d09a186c1ac6f93142e0f22c3f06c526902ef342cd2e108fd3af095867ed7da3,9c728e25bbe9332d25183fea74a5a2732c6af71d5f5873007a61c8fc0bed2cba,4c7a3dafd5878ee0986c34f8641b5fa0ac754f2b5b3fa4e4975ee621a774b2ef
"10101001","30","1","2","31058"
"10101002","100","1","2","20001"
"10101003","20","1","4","101011"
"10101003","20","2","4","101071"
"10101003","20","3","4","101101"
"10101003","20","4","4","101131"
"10101003","20","5","4","101161"
"10101003","20","6","4","101191"
"10101003","20","7","4","101251"
"10101003","20","8","4","101281"
"10101003","20","9","4","101371"
"10101003","20","10","4","101401"
"10101003","20","11","4","101431"
"10101003","20","12","4","101521"
"10101003","20","13","4","101551"
"10101003","20","14","4","101581"
"10101003","20","15","4","101611"
"10101004","1","1","2","24027"
"10101005","300000","1","12","94002"
"10101006","30","1","2","31059"
"10101006","300","2","2","25011"
"10101006","300","3","2","25012"
"10101006","300","4","2","25013"
"10101006","300","5","2","25014"
"10101006","300","6","2","25015"
"10101007","145","1","2","31010"
"10101008","1000","1","5","0"
"10101009","1000","1","5","0"
"10101010","30","1","2","31060"
"10101012","20","1","4","102011"
"10101012","20","2","4","102071"
"10101012","20","3","4","102162"
"10101012","20","4","4","102191"
"10101012","20","5","4","102221"
"10101012","20","6","4","102251"
"10101012","20","7","4","102281"
"10101012","20","8","4","102311"
"10101012","20","9","4","102341"
"10101012","20","10","4","102371"
"10101012","20","11","4","102431"
"10101012","20","12","4","102461"
"10101012","20","13","4","102491"
"10101012","20","14","4","102493"
"10101012","20","15","4","102551"
"10101012","20","16","4","102581"
"10101012","20","17","4","102611"
"10101012","20","18","4","102612"
"10101013","1","1","2","21023"
"10101014","100","1","2","20002"
"10101015","1","1","2","24027"
"10101016","2500","1","2","25011"
"10101016","2500","2","2","25012"
"10101016","2500","3","2","25013"
"10101016","2500","4","2","25014"
"10101016","2500","5","2","25015"
"10101017","30","1","2","31002"
"10101017","100","2","2","50003"
"10101018","100","1","2","31058"
"10101019","1000","1","2","50003"
"10101020","100","1","2","20003"
"10101021","7500","1","5","0"
"10101021","100","2","2","20004"
"10101021","10000000","3","12","94002"
"10101022","100","1","2","31059"
"10101023","100","1","4","150002"
"10101023","100","2","4","150001"
"10101024","35000","1","5","0"
"10101025","2500","1","2","25011"
"10101025","2500","2","2","25012"
"10101025","2500","3","2","25013"
"10101025","2500","4","2","25014"
"10101025","2500","5","2","25015"
"10101026","145","1","2","31028"
"10102001","5000","1","2","25011"
"10102001","5000","2","2","25012"
"10102001","5000","3","2","25013"
"10102001","5000","4","2","25014"
"10102001","5000","5","2","25015"
"10102002","30000","1","5","0"
"10102003","6","1","4","140000"
"10102003","50","2","2","31058"
"10102003","50","3","2","31059"
"10102004","300","1","2","20004"
"10102004","10000000","2","12","94002"
"10102005","100","1","4","150003"
"10102005","100","2","4","150002"
"10102005","100","3","4","150001"
"10102006","100","1","2","31002"
"10102007","10000000","1","12","94002"
"10102008","120","1","2","31058"
"10102008","5000","2","2","25011"
"10102008","5000","3","2","25012"
"10102008","5000","4","2","25013"
"10102008","5000","5","2","25014"
"10102008","5000","6","2","25015"
"10102009","300","1","2","20004"
"10102009","10000000","2","12","94002"
"10102010","10000","1","2","25011"
"10102010","10000","2","2","25012"
"10102010","10000","3","2","25013"
"10102010","10000","4","2","25014"
"10102010","10000","5","2","25015"
"10102010","100","6","4","150003"
"10102010","100","7","4","150002"
"10102010","100","8","4","150001"
"10102011","40000","1","5","0"
"10102012","10000","1","2","25011"
"10102012","10000","2","2","25012"
"10102012","10000","3","2","25013"
"10102012","10000","4","2","25014"
"10102012","10000","5","2","25015"
"10102012","100","6","4","150003"
"10102012","100","7","4","150002"
"10102012","100","8","4","150001"
"10102013","145","1","2","31043"
"10103001","120","1","2","31002"
"10103002","30000000","1","12","94002"
"10103003","40000","1","5","0"
"10103003","500","2","2","20004"
"10103003","30000000","3","12","94002"
"10103004","120","1","2","31059"
"10103004","10000","2","2","25011"
"10103004","10000","3","2","25012"
"10103004","10000","4","2","25013"
"10103004","10000","5","2","25014"
"10103004","10000","6","2","25015"
"10103005","1","1","2","21024"
"10103006","100","1","4","150004"
