b6c4cfb4482a3e74b6f2e21a18dab695f7c7767342cb1813b7e51eabc8cab274,8ee82d1b7f0d59db59137c9e0da3ebadd13ca1ef8c8ca620858674171641d695,5eb1e63091935e6011e2d5defc18f5e95a0df84e0b80cece30f2cde7b6626000,8332488f60bce556797e7093f244b38edb1b5062cb8f61fe03aed1389b7b3b75,71f294c663fe7c3c5f63045ef9f1f2a7ef78cc2df07196fe2cc995ea6a5af2c4,34ef0fdd98ea615e843ff59124c9a8a0ccca4dfb89ae4261e0e93d72644f48be,8e3d800d956ebb02d99889f076108ae952121c82480f998e22d4524e545b9893,0409c3d1f6640d85e1ff838f6f8ca2d829c0ee89fc9e3112315c86ac25cc73a8,2803c6f087a9b39df18e987476c14c0cbd24d3993ec50c3258badf925c04a456,7621bbdbe0d621f290a527db0c5e0540bbda93fc86b65a4e386869c9b70c2827,52e4438aad3c35b3a0bdd0f0bbc52e6b4b3ac0d2cdfb711a507ea49db1f21ccf,8b6a06fc4f9b9e33762930b7428c8c9b40327239161e3bad5a6e8704faf06a1f
"2","4","0","0","0","11041","101","1","104","1","0","0"
"3","2","0","0","0","10141","201","2","14","2","1","0"
"2","2","0","0","0","11031","301","3","103","3","2","0"
"1","1","0","0","0","11021","401","4","102","4","3","0"
"2","4","0","0","0","11041","501","5","104","5","4","0"
"3","1","0","0","0","10011","601","6","1","6","5","0"
"4","3","0","0","0","11011","701","7","101","7","6","0"
"3","1","0","0","0","11001","801","8","100","8","7","0"
"2","4","0","0","0","11041","901","9","104","9","8","0"
"3","2","0","0","0","10011","1001","10","1","10","9","0"
"4","1","0","0","0","10511","1101","11","51","11","10","0"
"3","2","0","0","0","10521","1201","12","52","12","11","0"
"2","4","0","0","0","11041","1301","13","104","13","12","0"
"1","1","0","0","0","11031","1401","14","103","14","13","0"
"2","1","0","0","0","11021","1501","15","102","15","14","0"
"3","1","0","0","0","10011","1601","16","1","16","15","0"
"2","4","0","0","0","11041","1701","17","104","17","16","0"
"3","2","0","0","0","10501","1801","18","50","18","17","0"
"4","3","0","0","0","11011","1901","19","101","19","18","0"
"3","2","0","0","0","11001","2001","20","100","20","19","0"
"2","4","0","0","0","11041","2101","21","104","21","20","0"
"1","3","0","0","0","10011","2201","22","1","22","21","0"
"3","2","0","0","0","11001","2301","23","100","23","22","0"
"2","2","0","0","0","11011","2401","24","101","24","23","0"
"3","4","0","0","0","11041","2501","25","104","25","24","0"
"4","3","0","0","0","10501","2601","26","50","26","25","0"
"3","3","0","0","0","10521","2701","27","52","27","26","0"
"1","1","0","0","0","10501","2801","28","50","28","27","0"
"2","4","0","0","0","11041","2901","29","104","29","28","0"
"1","3","0","0","0","10511","3001","30","51","30","29","0"
"2","2","0","0","0","11001","3101","31","100","31","30","0"
"3","1","0","0","0","11011","3201","32","101","32","31","0"
"4","4","0","0","0","11041","3301","33","104","33","32","0"
"3","3","0","0","0","11001","3401","34","100","34","33","0"
"2","4","0","0","0","11041","3501","35","104","35","34","0"
"3","2","0","0","0","11031","3601","36","103","36","35","0"
"2","1","0","0","0","11021","3701","37","102","37","36","0"
"1","2","0","0","0","10501","3801","38","50","38","37","0"
"3","3","0","0","0","11021","3901","39","102","39","38","0"
"4","4","0","0","0","11041","4001","40","104","40","39","0"
"3","1","0","0","0","11001","4101","41","100","41","40","0"
"2","3","0","0","0","10521","4201","42","52","42","41","0"
"1","4","0","0","0","11041","4301","43","104","43","42","0"
"2","1","0","0","0","11031","4401","44","103","44","43","0"
"1","4","0","0","0","11041","4501","45","104","45","44","0"
"3","3","0","0","0","11011","4601","46","101","46","45","0"
"4","1","0","0","0","11021","4701","47","102","47","46","0"
"2","4","0","0","0","11041","4801","48","104","48","47","0"
"3","2","0","0","0","11031","4901","49","103","49","48","0"
"2","4","0","0","0","11041","5001","50","104","50","49","0"
"1","2","0","0","0","11011","5101","51","101","51","50","0"
"2","3","0","0","0","11021","5201","52","102","52","51","0"
