525c19534618aa1b541919ebe631a895f81be867af10ff1a40ba31dc6f16677a,4802b7add5cf5b52bceb5dae54503ff52785dd26a90aaf06d09ba4511db5c445,ca62d5958df9b17514ef701e51be22d91aa0fbcb8de0d8bdcd24c8e842c81701,4c5a1fc2d249ba175cda55ea9502be84ab9bf6f2daba5ca7d5f805f69a19c296,b47bde75b03494dab75a6bfa470142400d77c99b9189bdeb6c57d9ece6a49206,2f9a0566059d905083fc41a0d71f21647d84792fb1cc95390d58a69ae990c6cd
"13","1","特別講座發表報告","101","12","切嚕嚕衝擊"
"14","1","特別講座發表報告","102","13","克蘿依明察秋毫"
"22","1","特別講座發表報告","103","14","消失吧學姐架子"
"23","2","墨丘利財團活動日誌","201","22","秋乃的領導力"
"24","2","墨丘利財團活動日誌","202","23","燃燒吧鯛魚燒之魂"
"25","2","墨丘利財團活動日誌","203","24","麥酒沒有不可能"
"32","2","墨丘利財團活動日誌","204","25","美冬的1日說教課程"
"33","3","優妮的筆記本","301","32","起泡與生菓子的哲學"
"34","3","優妮的筆記本","302","33","不入虎穴"
"0","3","優妮的筆記本","303","34","動作測試與破滅的誘惑"
