08a7abd39f250ad7e0645e2e0e2db255b6460ededff5137bb477d3ee03d34bb9,a40f354b503385b4fe6e71ef05a16b73283a5c47c6d42b42fbb21540486961a0,eec86a7aa0dd77c7f584211e110fc486fa42f2339695935a8468f13b3ea6a0b0,12295f2c213482ff3dc49b5232370554ed0fb20ec77567e533acdb540b4106d3,2d306b707fa531f3fb7b61212c473f2f07b83ac726dc5ed217d744e362480353,0635b3e293411141fbac54f6b28cf8b55c6c6aa1d3a5f93f6e88373758753bec,4cce7736a8919875e7462f0a3a45056918785325ea832d3e4902b23422f6573a,f34981fb188c4d6f152070609e16e13b63fa87359bb0b5911bc73f618fd8fe49,d720eb017d3dc2f19acad374d9622940f3b074d7f15fbacf9893d987214cf101,c1cd41472f8553af9238b2d44073594a6901432fed6320e82b11b14451e09f76,b9d0d8add45ebc97eac82307e9372c1028bb7fdddba686ae7c987c25b3d1ef82
"1","100","113511","1","-175","pkb_idle_normal","1","1010001","1","64","1.65"
"1","1","pkb_talk_wish","3","","","","1010002","113511","","0.2"
"1","0","vo_minigame_1006_top_101","21","","","","1010003","vo_minigame_1006","0",""
"1","8","今天也和老師\n一起努力加油吧～","11","0","0","0","1010004","113511","0","0"
"1","","","91","","","","1010005","0","",""
"1","1","pkb_idle_normal","3","","","","1010006","113511","","0.2"
"2","100","113511","1","-175","pkb_idle_normal","1","1020001","1","64","1.65"
"2","1","pkb_talk_wish","3","","","","1020002","113511","","0.2"
"2","0","vo_minigame_1006_top_102","21","","","","1020003","vo_minigame_1006","0",""
"2","6","老師很相信\n大家的實力喔～！\n要加油喲～♪","11","0","0.5","0","1020004","113511","0","0"
"2","","","93","","","","1020005","6","",""
"2","0","pkb_talk_fun","3","1","","","1020006","113511","pkb_idle_normal","0.2"
"2","","","91","","","","1020007","1020004","",""
"2","1","pkb_idle_normal","3","","","","1020008","113511","","0.2"
"3","100","113511","1","-175","pkb_idle_normal","1","1030001","1","64","1.65"
"3","0","pkb_smile","3","1","","0.2","1030002","113511","pkb_idle_normal","0.2"
"3","0","vo_minigame_1006_top_103","21","","","","1030003","vo_minigame_1006","0",""
"3","6","要小心別受傷喔，\n不可以勉強自己～♪","11","0","0","0","1030004","113511","0","0"
"3","","","93","","","","1030005","2","",""
"3","1","pkb_talk_wish","3","","","","1030006","113511","","0.2"
"3","","","91","","","","1030007","1030004","",""
"3","1","pkb_idle_normal","3","","","","1030008","113511","","0.2"
"4","100","3","5","-155","pkb_idle_normal_l","1","1040001","3","64","57"
"4","0","pkb_talk_arm_crossed_l","3","1","","0.2","1040002","3","pkb_idle_arm_crossed_l","0.2"
"4","0","vo_minigame_1006_top_601","21","","","","1040003","vo_minigame_1006","0",""
"4","8","今天的練習\n我也不會手下留情的！\n好好跟上我吧！","11","0","0","","1040004","3","0","0"
"4","","","91","","","","1040005","0","",""
"4","1","pkb_idle_normal_l","3","","","","1040006","3","","0.2"
"5","100","3","5","-155","pkb_idle_normal_l","1","1050001","3","64","57"
"5","0","pkb_talk_arm_crossed_l","3","1","","0.2","1050002","3","pkb_idle_arm_crossed_l","0.2"
"5","0","vo_minigame_1006_top_602","21","","","","1050003","vo_minigame_1006","0",""
"5","8","很好！\n提起幹勁\n開始練習吧──！","11","0","0","","1050004","3","0","0"
"5","","","93","","","","1050005","2","",""
"5","0","pkb_talk_handsup_l","3","1","","0.2","1050006","3","pkb_idle_normal_l","0.2"
"5","","","91","","","","1050007","1050004","",""
"5","1","pkb_idle_normal_l","3","","","","1050008","3","","0.2"
"6","100","3","5","-155","pkb_idle_normal_l","1","1060001","3","64","57"
"6","0","pkb_talk_arm_crossed_l","3","1","","0.2","1060002","3","pkb_idle_arm_crossed_l","0.2"
"6","0","vo_minigame_1006_top_603","21","","","","1060003","vo_minigame_1006","0",""
"6","8","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！","11","0","0","","1060004","3","0","0"
"6","","","93","","","","1060005","3","",""
