51a8844c9a1bdaa7e4b815cd293ebe13de51defb2148a0575700d1ecb1990e5e,39d2e4d9c2b465561f959f1bfac0f76977d6ce52455fb1a6ac028904e5fd73b8,753bf285c802dca72404582e682802d9017253bdadf8ca257722ce9f399ba2f6,62d874ef423d7d450b88665037d32b2619ee002a0869d590654afcef845ef55f,05752dc28ff4ea08c75437f78e8e95cfb396c0fa6b707dc6b924d411a28a7ab8,5c33ac1835b8f02373c170103d351091b853b6d1449bf30e23423337e7f4a165,685dcba2864e80de43b8b12af09fe6cd10c900b614b3f1fa44ffbe91c1f949c1,fe2dddce04e4d68a570265bbb56e9585ae0d43be7ed53858a6e9d53c8098b3d7,13bafabec4100db3898a9d01a0c58ebd0ba307c8b05c43d860e00d5d1ba5d5c5
"10000","全難易度合計取得10000分","0","0","100101","100101","1","1001","1001"
"30000","全難易度合計取得30000分","0","0","100102","100102","1","1001","1001"
"50000","全難易度合計取得50000分","0","0","100103","100103","1","1001","1001"
"70000","全難易度合計取得70000分","0","0","100104","100104","1","1001","1001"
"90000","全難易度合計取得90000分","0","1","100105","100105","1","1001","1001"
"105000","全難易度合計取得105000分","0","1","100106","100106","1","1001","1001"
"120000","全難易度合計取得120000分","0","1","100107","100107","1","1001","1001"
"135000","全難易度合計取得135000分","0","1","100108","100108","1","1001","1001"
"0","在NORMAL1難易度戰鬥1次","1","2","100109","100109","1","1002","1001"
"0","在NORMAL2難易度戰鬥1次","1","2","100110","100110","1","1003","1001"
"0","在NORMAL3難易度戰鬥1次","1","2","100111","100111","1","1004","1001"
"10000","在NORMAL難易度取得10000分","1","3","100112","100112","1","1001","1001"
"20000","在NORMAL難易度取得20000分","1","3","100113","100113","1","1001","1001"
"30000","在NORMAL難易度取得30000分","1","3","100114","100114","1","1001","1001"
"0","在HARD1難易度戰鬥1次","2","4","100115","100115","1","1002","1001"
"0","在HARD2難易度戰鬥1次","2","4","100116","100116","1","1003","1001"
"0","在HARD3難易度戰鬥1次","2","4","100117","100117","1","1004","1001"
"15000","在HARD難易度取得15000分","2","5","100118","100118","1","1001","1001"
"30000","在HARD難易度取得30000分","2","5","100119","100119","1","1001","1001"
"45000","在HARD難易度取得45000分","2","5","100120","100120","1","1001","1001"
"0","在EXTRA1難易度戰鬥1次","3","6","100121","100121","1","1002","1001"
"0","在EXTRA2難易度戰鬥1次","3","6","100122","100122","1","1003","1001"
"0","在EXTRA3難易度戰鬥1次","3","6","100123","100123","1","1004","1001"
"20000","在EXTRA難易度取得20000分","3","7","100124","100124","1","1001","1001"
"40000","在EXTRA難易度取得40000分","3","7","100125","100125","1","1001","1001"
"60000","在EXTRA難易度取得60000分","3","7","100126","100126","1","1001","1001"
"10000","全難易度合計取得10000分","0","0","100201","100201","1","1001","1002"
"30000","全難易度合計取得30000分","0","0","100202","100202","1","1001","1002"
"50000","全難易度合計取得50000分","0","0","100203","100203","1","1001","1002"
"70000","全難易度合計取得70000分","0","0","100204","100204","1","1001","1002"
"90000","全難易度合計取得90000分","0","1","100205","100205","1","1001","1002"
"105000","全難易度合計取得105000分","0","1","100206","100206","1","1001","1002"
"120000","全難易度合計取得120000分","0","1","100207","100207","1","1001","1002"
"135000","全難易度合計取得135000分","0","1","100208","100208","1","1001","1002"
