3596a15351c1471df93232a5c83283ea00df25b2a0543a1274f7e405bfcfd207,b060fbf23c53fc8f98a69fb21a539826c5e884947010bcb586e2bf8e5ee114d5,28405f64bbdf75ce7fece9f771cd21e7ed7e0a61dc4626c85cc14fb82c747454,bbc3a88de6db95fbe605b37e1cc9795473ac76e2d503acf9ff331e20f0849add,1a15de4e59549bf53118a4589acb0e91598d90996088fe051a814020093f8eef,9004eb36e2856dd2c73a7465d9170e2a8c41077619f9351e5df2e1333296bbea,86b49abcc44fe06783bc015a9a968071213631669b6cbef022e0cfd5b1447114,92e5d49e5995879e3c83b28114711af7a9144f9604f45b503f95439bd56fd89b,1b8b93d8d9281d74de93f9f51fb10b435fba36a47e6ec1b1edb2385ca7c86a23,5e7d3b095662464185df811cf0b9f8564f10ab9011f7a8e91cab4e2ccc04922c,e9ae2bbe7a979a1f4d36e9dd5ac2497f76f907094333e451cf3be64e19e85ba1,c99b78409f18672af6565c72e9af46b3bdf39c8235d57df68518e4f1d62010f8
"戰鬥開始時，我方的TP提升250。","2","-1","0","3","TP提升250","0","1","3001","3001","3001","0"
"戰鬥開始時，我方的TP提升250。","2","-1","0","3","TP提升250","0","1","3002","3002","3002","0"
"戰鬥開始時，我方的TP提升250。","2","-1","0","3","TP提升250","0","1","3003","3003","3003","0"
"戰鬥開始時，我方的TP提升250。","2","-1","0","3","TP提升250","0","1","3004","3004","3004","0"
"戰鬥開始時，我方的TP提升1000。","2","-1","0","3","TP提升1000","0","3","3006","3006","3006","0"
"戰鬥開始時，我方的TP提升1000。","2","-1","0","3","TP提升1000","0","3","3007","3007","3007","0"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","3","25200","3500000000000","3","提升物理攻擊90秒","9006503","1","30011","3001","30011","0"
"戰鬥開始90秒內，使敵人的物理防禦力下降","3","72000","2400000000000","3","降低物理防禦90秒","9006504","1","30012","3001","30012","0"
"戰鬥開始90秒內，每秒恢復我方的HP","3","39600","2400000000000","3","每秒HP恢復90秒","9006506","1","30021","3002","30021","0"
"戰鬥開始90秒內，每秒提升我方的TP","3","72000","1200000000000","3","每秒TP提升90秒","9006507","1","30022","3002","30022","0"
"戰鬥開始15秒內，我方進入無敵狀態","3","43200","2320000000000","3","無敵15秒","9006509","1","30031","3003","30031","0"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","3","72000","1600000000000","3","降低魔法攻擊90秒","9006510","1","30032","3003","30032","0"
"戰鬥開始15秒內，敵人陷入暈眩狀態","3","32400","3360000000000","3","暈眩15秒","9006512","1","30041","3004","30041","0"
"戰鬥開始90秒內，使敵人的物理防禦力下降","3","43200","2400000000000","3","降低物理防禦90秒","9006513","1","30042","3004","30042","0"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","3","43200","10382000000000","3","提升魔法攻擊90秒","9006516","2","30051","3005","30051","0"
"戰鬥開始90秒內，每秒提升我方的TP","3","21600","7087500000000","3","每秒TP提升90秒","9006519","3","30061","3006","30061","0"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","3","43200","4050000000000","3","降低魔法防禦90秒","9006520","3","30062","3006","30062","0"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","3","43200","8487500000000","3","提升物理攻擊90秒","9006522","3","30071","3007","30071","0"
"戰鬥開始15秒內，我方進入無敵狀態","3","64800","2425000000000","3","無敵15秒","9006523","3","30072","3007","30072","0"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","3880000000000","3","降低物理攻擊90秒","0","1","300101","3001","300101","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","3720000000000","3","降低物理攻擊90秒","0","1","300102","3001","300102","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","3600000000000","3","降低物理防禦90秒","0","1","300103","3001","300103","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","3480000000000","3","降低物理攻擊90秒","0","1","300104","3001","300104","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","3360000000000","3","降低物理防禦90秒","0","1","300105","3001","300105","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","3080000000000","3","降低魔法防禦90秒","0","1","300106","3001","300106","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","2960000000000","3","降低物理防禦90秒","0","1","300107","3001","300107","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","2840000000000","3","降低魔法防禦90秒","0","1","300108","3001","300108","36000"
"戰鬥開始90秒內，每秒恢復我方的HP","1","-1","2680000000000","3","每秒HP恢復90秒","0","1","300109","3001","300109","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","2560000000000","3","降低物理攻擊90秒","0","1","300110","3001","300110","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","2400000000000","3","降低物理攻擊90秒","0","1","300111","3001","300111","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","2280000000000","3","降低物理防禦90秒","0","1","300112","3001","300112","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","2160000000000","3","降低物理攻擊90秒","0","1","300113","3001","300113","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","1880000000000","3","降低物理防禦90秒","0","1","300114","3001","300114","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","1760000000000","3","降低魔法防禦90秒","0","1","300115","3001","300115","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","1640000000000","3","降低物理防禦90秒","0","1","300116","3001","300116","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","1480000000000","3","降低魔法防禦90秒","0","1","300117","3001","300117","36000"
"戰鬥開始90秒內，每秒恢復我方的HP","1","-1","1360000000000","3","每秒HP恢復90秒","0","1","300118","3001","300118","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","1240000000000","3","降低物理攻擊90秒","0","1","300119","3001","300119","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","1080000000000","3","降低物理攻擊90秒","0","1","300120","3001","300120","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","960000000000","3","降低物理防禦90秒","0","1","300121","3001","300121","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","840000000000","3","降低物理攻擊90秒","0","1","300122","3001","300122","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","720000000000","3","降低物理防禦90秒","0","1","300123","3001","300123","36000"
