1d977dfcfb775432a958efb9f9a404bd0b5743c2a7fa28dee3b04b9ace373379,4180d7e334b977cc0178abeb954aecc008275689b9b82b607b8b1eb8f94b00b1,344afadee55240f377ae9dc09bcad12021b25648f7503d255fce08a92e4b469c,5358ade50662385f07167083c642b47c2d18337755737f8ee3a930e184a566ce
"1000","100","91002","8"
"2000","500","23003","2"
"3000","5000","25011","2"
"4000","5000","25012","2"
"5000","5000","25013","2"
"6000","5000","25014","2"
"7000","5000","25015","2"
"8000","2500","25021","2"
"9000","100","91002","8"
"10000","1","21953","2"
"12000","50","90005","2"
"14000","500","23003","2"
"16000","5000","25011","2"
"18000","5000","25012","2"
"20000","5000","25013","2"
"23000","5000","25014","2"
"26000","5000","25015","2"
"29000","2500","25021","2"
"32000","100","91002","8"
"35000","1","41000","2"
"39000","50","90005","2"
"43000","500","23003","2"
"47000","5000","25011","2"
"51000","5000","25012","2"
"55000","5000","25013","2"
"60000","5000","25014","2"
"65000","5000","25015","2"
"70000","2500","25021","2"
"75000","100","91002","8"
"80000","1","26203","2"
"90000","50","90005","2"
"100000","500","23003","2"
"150000","5000","25011","2"
"200000","5000","25012","2"
"250000","5000","25013","2"
"300000","5000","25014","2"
"350000","5000","25015","2"
"400000","2500","25021","2"
"450000","100","91002","8"
"500000","1","21953","2"
"550000","50","90005","2"
"600000","500","23003","2"
"650000","5000","25011","2"
"700000","5000","25012","2"
"750000","5000","25013","2"
"800000","5000","25014","2"
"850000","5000","25015","2"
"900000","2500","25021","2"
"950000","100","91002","8"
"1000000","1","25101","2"
"1050000","50","90005","2"
"1100000","500","23003","2"
"1150000","5000","25011","2"
"1200000","5000","25012","2"
"1250000","5000","25013","2"
"1300000","5000","25014","2"
"1350000","5000","25015","2"
"1400000","2500","25021","2"
"1450000","100","91002","8"
"1500000","1","26203","2"
"1550000","50","90005","2"
"1600000","500","23003","2"
"1650000","5000","25011","2"
"1700000","5000","25012","2"
"1750000","5000","25013","2"
"1800000","5000","25014","2"
"1850000","5000","25015","2"
"1900000","2500","25021","2"
"1950000","100","91002","8"
"2000000","1","41000","2"
"2050000","50","90005","2"
"2100000","500","23003","2"
"2150000","5000","25011","2"
"2200000","5000","25012","2"
"2250000","5000","25013","2"
"2300000","5000","25014","2"
"2350000","5000","25015","2"
"2400000","2500","25021","2"
"2450000","100","91002","8"
"2500000","1","26203","2"
"2550000","50","90005","2"
"2600000","500","23003","2"
"2650000","10000","25011","2"
"2700000","10000","25012","2"
"2750000","10000","25013","2"
"2800000","10000","25014","2"
"2850000","10000","25015","2"
"2900000","5000","25021","2"
"2950000","100","91002","8"
"3000000","1","21953","2"
"3050000","50","90005","2"
"3100000","500","23003","2"
"3150000","10000","25011","2"
"3200000","10000","25012","2"
"3250000","10000","25013","2"
"3300000","10000","25014","2"
"3350000","10000","25015","2"
"3400000","5000","25021","2"
"3450000","100","91002","8"
"3500000","1","26203","2"
"3550000","50","90005","2"
"3600000","500","23003","2"
"3650000","10000","25011","2"
"3700000","10000","25012","2"
"3750000","10000","25013","2"
"3800000","10000","25014","2"
"3850000","10000","25015","2"
"3900000","5000","25021","2"
"3950000","100","91002","8"
"4000000","1","41000","2"
"4050000","50","90005","2"
"4100000","500","23003","2"
"4150000","10000","25011","2"
"4200000","10000","25012","2"
"4250000","10000","25013","2"
"4300000","10000","25014","2"
"4350000","10000","25015","2"
"4400000","5000","25021","2"
"4450000","100","91002","8"
"4500000","1","26203","2"
"4550000","50","90005","2"
"4600000","500","23003","2"
"4650000","10000","25011","2"
"4700000","10000","25012","2"
"4750000","10000","25013","2"
"4800000","10000","25014","2"
"4850000","10000","25015","2"
"4900000","5000","25021","2"
"4950000","100","91002","8"
"5000000","1","25101","2"
"5100000","50","90005","2"
"5200000","500","23003","2"
"5300000","10000","25011","2"
"5400000","10000","25012","2"
"5500000","10000","25013","2"
"5600000","10000","25014","2"
"5700000","10000","25015","2"
"5800000","5000","25021","2"
"5900000","100000","26202","2"
"6000000","1","41000","2"
"6100000","50","90005","2"
"6200000","500","23003","2"
"6300000","10000","25011","2"
"6400000","10000","25012","2"
"6500000","10000","25013","2"
"6600000","10000","25014","2"
"6700000","10000","25015","2"
"6800000","5000","25021","2"
"6900000","20","140001","11"
"7000000","1","26203","2"
"7100000","50","90005","2"
"7200000","500","23003","2"
"7300000","10000","25011","2"
"7400000","10000","25012","2"
"7500000","10000","25013","2"
"7600000","10000","25014","2"
"7700000","10000","25015","2"
"7800000","5000","25021","2"
"7900000","100000","26202","2"
"8000000","1","21953","2"
"8100000","50","90005","2"
"8200000","500","23003","2"
"8300000","10000","25011","2"
"8400000","10000","25012","2"
"8500000","10000","25013","2"
"8600000","10000","25014","2"
"8700000","10000","25015","2"
"8800000","5000","25021","2"
"8900000","20","140001","11"
"9000000","1","26203","2"
"9100000","50","90005","2"
"9200000","500","23003","2"
"9300000","10000","25011","2"
"9400000","10000","25012","2"
"9500000","10000","25013","2"
"9600000","10000","25014","2"
"9700000","10000","25015","2"
"9800000","5000","25021","2"
"9900000","100000","26202","2"
"10000000","1","41000","2"
"10100000","50","90005","2"
"10200000","500","23003","2"
"10300000","10000","25011","2"
"10400000","10000","25012","2"
"10500000","10000","25013","2"
"10600000","10000","25014","2"
"10700000","10000","25015","2"
"10800000","5000","25021","2"
"10900000","20","140001","11"
"11000000","1","26203","2"
"11100000","50","90005","2"
"11200000","500","23003","2"
"11300000","10000","25011","2"
"11400000","10000","25012","2"
"11500000","10000","25013","2"
"11600000","10000","25014","2"
"11700000","10000","25015","2"
"11800000","5000","25021","2"
"11900000","100000","26202","2"
"12000000","1","21953","2"
"12100000","50","90005","2"
"12200000","500","23003","2"
"12300000","10000","25011","2"
"12400000","10000","25012","2"
"12500000","10000","25013","2"
"12600000","10000","25014","2"
"12700000","10000","25015","2"
"12800000","5000","25021","2"
"12900000","20","140001","11"
"13000000","1","26203","2"
"13100000","50","90005","2"
"13200000","500","23003","2"
"13300000","10000","25011","2"
"13400000","10000","25012","2"
"13500000","10000","25013","2"
"13600000","10000","25014","2"
"13700000","10000","25015","2"
"13800000","5000","25021","2"
"13900000","100000","26202","2"
"14000000","1","41000","2"
"14100000","50","90005","2"
"14200000","500","23003","2"
"14300000","10000","25011","2"
"14400000","10000","25012","2"
"14500000","10000","25013","2"
"14600000","10000","25014","2"
"14700000","10000","25015","2"
"14800000","5000","25021","2"
"14900000","150","91002","8"
"15000000","1","25101","2"
