352b5c7801c05c0653cc0c57200c96dd8b7b27357b58076fa60c41da8acbcfeb,0779565379773bbeaf3f72a0df8923506a1306d68b9a01c0f38ae93146f323c6,edb7fb0de3743d93cc47eb279f5d115b5fc965a9a3786af99b157be38cb84f0b
"電光・怪人","32001","6"
"壞亂黑鎧騎士","32001","7"
"雷雷","32001","8"
"芒刺爬行者","32001","9"
"白陽・黑月守護像","32001","10"
"電光・怪人","32002","6"
"壞亂黑鎧騎士","32002","7"
"雷雷","32002","8"
"芒刺爬行者","32002","9"
"白陽・黑月守護像","32002","10"
"高等加爾格","32003","6"
"詛咒・奧拉姆","32003","7"
"狂暴格里芬","32003","8"
"貪婪豺狼","32003","9"
"黑月・白陽守護像","32003","10"
"擲岩猴仙","32004","6"
"殺人虎鯨","32004","7"
"沙陸樹懶","32004","8"
"狂焰戰熊","32004","9"
"狂怒綠龍","32004","10"
"岩之錘","32005","6"
"水瑚麟","32005","7"
"飛龍","32005","8"
"稜鏡夫人","32005","9"
"狂怒綠龍","32005","10"
"邪惡領主","32006","6"
"紅極鳥","32006","7"
"雷雷","32006","8"
"獸人酋長","32006","9"
"狂怒綠龍","32006","10"
"電光・怪人","32007","6"
"水晶魔像","32007","7"
"沙陸樹懶","32007","8"
"劍蛇","32007","9"
"究極守護獸","32007","10"
"擲岩猴仙","32008","6"
"詛咒・奧拉姆","32008","7"
"哥布林騎兵","32008","8"
"雷電","32008","9"
"究極守護獸","32008","10"
"岩之錘","32009","6"
"紅極鳥","32009","7"
"飛龍","32009","8"
"三重搖滾","32009","9"
"究極守護獸","32009","10"
"擲岩猴仙","32010","6"
"哥布林大師","32010","7"
"冰霜獵犬","32010","8"
"蒼天女武神","32010","9"
"哥布林領主","32010","10"
"壞亂黑鎧騎士","32011","6"
"奧克塔斯基德","32011","7"
"哥布林王者","32011","8"
"泰坦龍龜","32011","9"
"哥布林領主","32011","10"
"高等加爾格","32012","6"
"詛咒‧奧拉姆","32012","7"
"狂暴格里芬","32012","8"
"黑曜飛龍","32012","9"
"哥布林領主","32012","10"
"電光‧怪人","32013","6"
"水晶魔像","32013","7"
"頑強幽靈","32013","8"
"花朵騎士","32013","9"
"哥布林領主","32013","10"
"擲岩猴仙","32014","6"
"紅極鳥","32014","7"
"雷雷","32014","8"
"劍蛇","32014","9"
"哥布林領主","32014","10"
"高等加爾格","32015","6"
"奧克塔斯基德","32015","7"
"冰霜獵犬","32015","8"
"黑曜飛龍","32015","9"
"黑月‧白陽守護像","32015","10"
"電光‧怪人","32016","6"
"詛咒‧奧拉姆","32016","7"
"碎裂魔像","32016","8"
"雨靈","32016","9"
"黑月‧白陽守護像","32016","10"
