edc5c30f39103b6d64ffc0908ae6355c3316d09871a9189b2c514362cc5a9b51,0900f7cfe35790de61c203daa3f4aab462e5c11439bf86f726eebffb6dc06fb1,1ed0870f8185f0448688c1f2044dac8a5de986240c74d595a301b59c7b926eb8,7a7184a22bffa99261229800cd5ba18ccc7233f91c3256172781f24cc12d7333,204baa9b7a2e6b84ce63e831321a2d6826c367972a3f25fae2026a2ab3723ac4,87c5cebcba96c07a263ae3c2fd1c277fcd047de3356618d5d91048fb39ac3a53,a640bc5b9b19eb850cbfae4740f70ad4077724aaa28879571415190f0cc56182,5e5ed731578662289fb54b8b3f087a00603310f32c4eeb38f04baf392e5a33c0,26fc8b7b9381853f73040e442e0a8fdd89f57a605762bcd39addd146eceb93da,d6c1ce557e326afea067a095976fe2bb30fc29af311c245054b87c276930f5c9,02af63077744d8e0a63b1fa54240f12dfd7bd2c79b4af6e07c5a04d908111cca,10a8cf12bc0844b57421176ea5fc8da5fd07f78789bbf7393063bc664ddfcae8,c1e831b70dcaf6ca8889ab58e656026e97e5d320f03b13da4ac317ccc12b22a3,dd48c7aebe00efa8a529a359212b91ce570200998113aeecea197e5be2e456b8,0f65ee5c5558450e81103c743bbbc1dcb50537832052333f12ec7a3e55e82aad,931a09742b380e024774ebc6cb0fa868689fcffcdc1dd38b614d09d74bc2ffb5
"0","103","105","1","102","0","5","1","1","0","101","10016","0","0","104","1"
"0","203","205","2","202","0","2","2","2","0","201","10021","1","0","204","1"
"0","303","305","2","302","0","5","5","3","0","301","10053","1","0","304","1"
"0","403","405","2","402","0","8","4","4","0","401","10044","1","0","404","1"
"0","503","505","3","502","0","2","4","5","0","501","10042","2","0","504","1"
"0","603","605","3","602","0","5","2","6","0","601","10024","3","0","604","1"
"0","703","705","3","702","0","8","1","7","0","701","10015","4","0","704","1"
"0","0","0","4","0","0","2","101","8","0","801","11012","5","0","0","1"
"0","903","905","4","902","0","5","2","9","0","901","10023","6","0","904","1"
"0","0","0","4","0","0","8","101","10","0","1001","11011","7","0","0","1"
"0","1103","1105","5","1102","0","2","5","11","0","1101","10052","8","0","1104","1"
"0","1203","1205","5","1202","0","5","4","12","0","1201","10045","9","0","1204","1"
"0","1303","1305","5","1302","0","8","2","13","0","1301","10021","10","0","1304","1"
"0","1403","1405","6","1402","0","2","1","14","0","1401","10013","11","0","1404","1"
"0","1503","1505","6","1502","0","5","5","15","0","1501","10054","12","0","1504","1"
"0","0","0","6","0","0","8","101","16","0","1601","11015","13","0","0","1"
"0","0","0","7","0","0","2","100","17","0","1701","11002","14","0","0","1"
"0","1803","1805","7","1802","0","5","4","18","0","1801","10043","15","0","1804","1"
"0","1903","1905","7","1902","0","8","3","19","0","1901","10034","16","16","1904","1"
"0","2003","2005","8","2002","0","2","4","20","0","2001","10041","17","0","2004","1"
"0","0","0","8","0","0","5","100","21","0","2101","11003","18","0","0","1"
"0","2203","2205","8","2202","0","8","2","22","0","2201","10025","19","0","2204","1"
"0","2303","2305","9","2302","0","2","1","23","0","2301","10011","20","0","2304","1"
"0","2403","2405","9","2402","0","5","2","24","0","2401","10022","21","0","2404","1"
"0","2503","2505","9","2502","0","8","4","25","0","2501","10045","22","0","2504","1"
"25","2603","0","10","2602","0","5","100","26","0","2601","11006","23","24","0","1"
"0","2703","2705","11","2702","0","2","3","27","0","2701","10031","26","0","2704","1"
"0","2803","2805","11","2802","0","5","4","28","0","2801","10044","26","0","2804","1"
"0","2903","2905","11","2902","0","8","7","29","0","2901","10075","26","0","2904","1"
"0","3003","3005","12","3002","0","2","3","30","0","3001","10032","27","0","3004","1"
"0","3103","3105","12","3102","0","5","1","31","0","3101","10013","28","0","3104","1"
"0","3203","3205","12","3202","0","8","4","32","0","3201","10044","29","0","3204","1"
"0","3303","3305","13","3302","0","2","4","33","0","3301","10041","30","0","3304","1"
"0","3403","3405","13","3402","0","5","2","34","0","3401","10022","31","0","3404","1"
"0","3503","3505","13","3502","0","8","5","35","0","3501","10053","32","0","3504","1"
"0","3603","3605","14","3602","0","2","2","36","0","3601","10024","33","0","3604","1"
"0","3703","3705","14","3702","0","5","4","37","0","3701","10045","34","0","3704","1"
"0","3803","3805","14","3802","0","8","1","38","0","3801","10012","35","0","3804","1"
"0","3903","3905","15","3902","0","2","4","39","0","3901","10043","36","0","3904","1"
"0","4003","4005","15","4002","0","5","3","40","0","4001","10035","37","0","4004","1"
"0","4103","4105","15","4102","0","8","7","41","0","4101","10072","38","0","4104","1"
"0","4203","4205","16","4202","0","2","2","42","0","4201","10021","39","0","4204","1"
"0","4303","4305","16","4302","0","5","3","43","0","4301","10034","40","0","4304","1"
"0","4403","4405","16","4402","0","8","1","44","0","4401","10015","41","0","4404","1"
"0","4503","4505","17","4502","0","2","2","45","0","4501","10022","42","0","4504","1"
"0","4603","4605","17","4602","0","5","2","46","0","4601","10023","43","0","4604","1"
"0","4703","4705","17","4702","0","8","7","47","0","4701","10074","44","0","4704","1"
"0","4803","4805","18","4802","0","2","3","48","0","4801","10031","45","0","4804","1"
"0","4903","4905","18","4902","0","5","5","49","0","4901","10052","46","0","4904","1"
"0","5003","5005","18","5002","0","8","2","50","0","5001","10025","47","0","5004","1"
"0","5103","5105","19","5102","0","2","4","51","0","5101","10041","48","0","5104","1"
"0","5203","5205","19","5202","0","5","3","52","0","5201","10033","49","0","5204","1"
"0","5303","5305","19","5302","0","8","7","53","0","5301","10074","50","0","5304","1"
"53","5403","0","20","5402","0","5","101","54","0","5401","11016","51","52","0","1"
"0","5503","5505","21","5502","0","2","4","55","0","5501","10041","54","0","5504","1"
"0","0","0","21","5602","0","5","100","56","0","5601","11002","54","0","0","1"
"0","5703","5705","21","5702","0","8","6","57","0","5701","10065","54","0","5704","1"
"0","5803","5805","22","5802","0","2","2","58","0","5801","10022","55","0","5804","1"
"0","5903","5905","22","5902","0","5","1","59","0","5901","10013","56","0","5904","1"
"0","0","0","22","6002","0","8","101","60","0","6001","11015","57","0","0","1"
"0","6103","6105","23","6102","0","2","2","61","0","6101","10021","58","0","6104","1"
"0","6203","6205","23","6202","0","5","3","62","0","6201","10032","59","0","6204","1"
"0","6303","6305","23","6302","0","8","2","63","0","6301","10023","60","0","6304","1"
"0","6403","6405","24","6402","0","2","2","64","0","6401","10024","61","0","6404","1"
"0","6503","6505","24","6502","0","5","7","65","0","6501","10071","62","0","6504","1"
"0","0","0","24","0","0","8","100","66","0","6601","11004","63","0","0","1"
"0","6703","6705","25","6702","0","2","5","67","0","6701","10055","64","0","6704","1"
"0","6803","6805","25","6802","0","5","5","68","0","6801","10051","65","0","6804","1"
"0","6903","6905","25","6902","0","8","4","69","0","6901","10042","66","0","6904","1"
"0","7003","7005","26","7002","0","2","6","70","0","7001","10064","67","0","7004","1"
"0","7103","7105","26","7102","0","5","6","71","0","7101","10061","68","0","7104","1"
"0","0","0","26","0","0","8","101","72","0","7201","11013","69","0","0","1"
"0","7303","7305","27","7302","0","2","3","73","0","7301","10033","70","0","7304","1"
"0","7403","7405","27","7402","0","5","1","74","0","7401","10014","71","0","7404","1"
"0","7503","7505","27","7502","0","8","5","75","0","7501","10052","72","0","7504","1"
"0","7603","7605","28","7602","0","2","4","76","0","7601","10044","73","0","7604","1"
"0","0","0","28","0","0","5","100","77","0","7701","11005","74","0","0","1"
"0","0","0","28","7802","0","8","101","78","0","7801","11011","75","0","0","1"
"0","7903","7905","29","7902","0","2","3","79","0","7901","10034","76","0","7904","1"
"0","8003","8005","29","8002","0","5","7","80","0","8001","10073","77","0","8004","1"
"0","8103","8105","29","8102","0","8","3","81","0","8101","10035","78","0","8104","1"
"81","8203","8205","30","8202","0","5","6","82","0","8201","10066","79","80","8204","1"
"0","8303","8305","31","8302","0","2","6","83","0","8301","10062","82","0","8304","1"
"0","8403","8405","31","8402","0","5","1","84","0","8401","10014","82","0","8404","1"
"0","8503","8505","31","8502","0","8","2","85","0","8501","10021","82","0","8504","1"
"0","8603","8605","32","8602","0","2","5","86","0","8601","10053","83","0","8604","1"
"0","8703","8705","32","8702","0","5","1","87","0","8701","10011","84","0","8704","1"
"0","8803","8805","32","8802","0","8","7","88","0","8801","10072","85","0","8804","1"
"0","8903","8905","33","8902","0","2","4","89","0","8901","10045","86","0","8904","1"
"0","9003","9005","33","9002","0","5","4","90","0","9001","10042","87","0","9004","1"
"0","9103","9105","33","9102","0","8","5","91","0","9101","10053","88","0","9104","1"
"0","9203","9205","34","9202","0","2","6","92","0","9201","10064","89","0","9204","1"
"0","9303","9305","34","9302","0","5","3","93","0","9301","10035","90","0","9304","1"
"0","9403","9405","34","9402","0","8","5","94","0","9401","10051","91","0","9404","1"
"0","9503","9505","35","9502","0","2","3","95","0","9501","10033","92","0","9504","1"
"0","9603","9605","35","9602","0","5","4","96","0","9601","10044","93","0","9604","1"
"0","9703","9705","35","9702","0","8","7","97","0","9701","10075","94","0","9704","1"
"0","9803","9805","36","9802","0","2","3","98","0","9801","10032","95","0","9804","1"
"0","9903","9905","36","9902","0","5","2","99","0","9901","10023","96","0","9904","1"
"0","10003","10005","36","10002","0","8","2","100","0","10001","10024","97","0","10004","1"
"0","10103","10105","37","10102","0","2","5","101","0","10101","10051","98","0","10104","1"
"0","10203","10205","37","10202","0","5","1","102","0","10201","10012","99","0","10204","1"
"0","10303","10305","37","10302","0","8","3","103","0","10301","10035","100","0","10304","1"
"0","10403","10405","38","10402","0","2","6","104","0","10401","10063","101","0","10404","1"
"0","10503","10505","38","10502","0","5","5","105","0","10501","10055","102","0","10504","1"
"0","10603","10605","38","10602","0","8","7","106","0","10601","10071","103","0","10604","1"
"0","10703","10705","39","10702","0","2","5","107","0","10701","10052","104","0","10704","1"
"0","10803","10805","39","10802","0","5","4","108","0","10801","10043","105","0","10804","1"
"0","10903","10905","39","10902","0","8","2","109","0","10901","10025","106","0","10904","1"
"109","11003","11005","40","11002","0","5","7","110","0","11001","10076","107","108","11004","1"
"0","11103","11105","1","11102","0","2","6","111","0","11101","10062","0","0","11104","2"
"0","11203","11205","1","11202","0","5","2","112","0","11201","10024","0","0","11204","2"
"0","11303","11305","1","11302","0","8","4","113","0","11301","10045","0","0","11304","2"
"0","11403","11405","2","11402","0","2","2","114","0","11401","10022","111","0","11404","2"
"0","11503","11505","2","11502","0","5","4","115","0","11501","10043","112","0","11504","2"
"0","11603","11605","2","11602","0","8","7","116","0","11601","10074","113","0","11604","2"
"0","11703","11705","3","11702","0","2","1","117","0","11701","10012","114","0","11704","2"
"0","11803","11805","3","11802","0","5","6","118","0","11801","10063","115","0","11804","2"
"0","11903","11905","3","11902","0","8","3","119","0","11901","10035","116","0","11904","2"
"0","12003","12005","4","12002","0","2","5","120","0","12001","10051","117","0","12004","2"
"0","12103","12105","4","12102","0","5","2","121","0","12101","10023","118","0","12104","2"
"0","0","0","4","12202","0","8","100","122","0","12201","11004","119","0","0","2"
"0","12303","12305","5","12302","0","2","6","123","0","12301","10061","120","0","12304","2"
"0","12403","12405","5","12402","0","5","4","124","0","12401","10042","121","0","12404","2"
"0","12503","12505","5","12502","0","8","7","125","0","12501","10073","122","0","12504","2"
"0","12603","0","6","12602","0","2","101","126","0","12601","11015","123","0","0","2"
"0","12703","12705","6","12702","0","5","3","127","0","12701","10033","124","0","12704","2"
"0","12803","12805","6","12802","0","8","5","128","0","12801","10054","125","0","12804","2"
"0","12903","12905","7","12902","0","2","1","129","0","12901","10011","126","0","12904","2"
"0","13003","13005","7","13002","0","5","5","130","0","13001","10052","127","0","13004","2"
"0","13103","13105","7","13102","0","8","6","131","0","13101","10064","128","0","13104","2"
"0","13203","13205","8","13202","0","2","2","132","0","13201","10025","129","0","13204","2"
"0","13303","0","8","13302","0","5","101","133","0","13301","11011","130","0","0","2"
"0","0","0","8","0","0","8","101","134","0","13401","11014","131","0","0","2"
"0","13503","13505","9","13502","0","2","1","135","0","13501","10015","132","0","13504","2"
"0","13603","13605","9","13602","0","5","4","136","0","13601","10041","133","0","13604","2"
"0","13703","13705","9","13702","0","8","5","137","0","13701","10055","134","0","13704","2"
"137","13803","13805","10","13802","0","5","5","138","0","13801","10056","135","136","13804","2"
"0","13903","13905","11","13902","0","2","6","139","0","13901","10063","138","0","13904","2"
"0","14003","14005","11","14002","0","5","5","140","0","14001","10054","138","0","14004","2"
"0","14103","14105","11","14102","0","8","3","141","0","14101","10031","138","0","14104","2"
"0","14203","14205","12","14202","0","2","2","142","0","14201","10022","139","0","14204","2"
"0","14303","14305","12","14302","0","5","1","143","0","14301","10014","140","0","14304","2"
"0","14403","14405","12","14402","0","8","2","144","0","14401","10025","141","0","14404","2"
"0","14503","14505","13","14502","0","2","7","145","0","14501","10071","142","0","14504","2"
"0","14603","14605","13","14602","0","5","5","146","0","14601","10052","143","0","14604","2"
"0","0","0","13","14702","0","8","101","147","0","14701","11013","144","0","0","2"
"0","0","0","14","14802","0","2","101","148","0","14801","11014","145","0","0","2"
"0","14903","14905","14","14902","0","5","1","149","0","14901","10013","146","0","14904","2"
"0","15003","15005","14","15002","0","8","5","150","0","15001","10055","147","0","15004","2"
"0","15103","15105","15","15102","0","2","5","151","0","15101","10051","148","0","15104","2"
"0","0","0","15","0","0","5","100","152","0","15201","11001","149","0","0","2"
"0","0","0","15","15302","0","8","101","153","0","15301","11012","150","0","0","2"
"0","15403","15405","16","15402","0","2","2","154","0","15401","10023","151","0","15404","2"
"0","15503","15505","16","15502","0","5","5","155","0","15501","10054","152","0","15504","2"
"0","15603","15605","16","15602","0","8","2","156","0","15601","10021","153","0","15604","2"
"0","15703","15705","17","15702","0","2","3","157","0","15701","10034","154","0","15704","2"
"0","15803","15805","17","15802","0","5","6","158","0","15801","10065","155","0","15804","2"
