186325c6746f48fcac388f926d7ae3bcdeaaf1fa0b232c7c323b87e092366ac1,e7fd888c2039ac70a0f7e3b5bfacf0e12801f95aaf2d052cbafcf0b3ad017d18,5347cecc805412548ee1f41e153decd2c0838db57eed3921b38245b84af93fc4
"8000000","1","肚子餓了就無法進行冒險！"
"8000001","2","夜晚是祕密的女孩談心時間"
"8000002","3","小小冒險！"
"8000003","4","在露營地吃早餐"
"8000004","5","混沌要通過了，把路讓開！"
"8000005","6","穿越叢林"
"8000006","7","徒步（與機械）行來。"
"8000007","8","迷途惡魔的狂想曲"
"8000008","9","正所謂「欲速則飛舞」！"
"8000009","10","為了精靈族進行的熱鬧大冒險"
"8000010","11","前途多難的冒險講座？"
"8000011","12","海上騎士"
"8000012","13","冒險路上有山有「谷」"
"8000013","14","五人五種的午睡景象"
"8000014","15","船頭醉醺醺，船行下瀑布"
"8000015","16","翱翔天際的龍人幫派"
"8000016","17","慈樂之音☆自然演唱會！"
"8000017","18","在旅途上前進與許多想說的話"
"8000018","19","唱一首搖籃曲"
"8000019","20","比桌板還要硬的工作"
"8000020","21","導遊們的攝影俱樂部"
"8000021","22","新的朋友們"
"8000022","23","相信勝利！"
"8000023","24","突擊！捕獲！？密林少女！！"
"8000024","25","白狐俯視奢華的城市"
"8000025","26","採用於城堡中吧♪"
"8000026","27","異世界美人三花仙～附帶跟屁蟲～"
"8000027","28","薩拉薩利亞的美空蘭法★"
