02679e80b0f92707a0c1e40a02cb84c349f46abcbb0734592c635412f684c6ad,885ac5a5a8e1dc3395df97406db86dcdba39a2e19ecf08b189036417dd39cce1,c44bd4f499ec1683cdc414ca5cbb6e3b730c9de4abcea470e1466fcc6228adf3,3e1313df2274c77769b2a6eadb0a57e7b14870786a220daaa00a349a5a0753c1,9c01520cb60e23d8a707a60749d6f2f7d2bf99ebd25681f9bf117570aee83711,a4aee678347849a7ec320b73a59edfe1d0a3181a45d60d397e9035c97c18efbb,a2c0242be23f170a95575c5a530d131c5e8cc6fc7eaaca47ea1bdb79eaa79ea2,81c9521f8435e8b08f0cdc7bf283729504109fc8692870423d1b5cacac41f7f2,52b496247d6d71b584afdb3edde1420f9c793c95f8e49fc13ceb4251cf8dbc42,dd5f29b800de653ad589a90dfab1dafce1e9e5d26ae31e93046530bdd4457da5,6a5fcbc3cf629f24903a596a0a19865231b4bea71c231a024fc4d386f5cfe1f6,b44fc93c0ea3746580bf383184e053810d12b902a94cf0818c6d7fc4b0755efa,e0807275d78e1d87a2c18af2f5ae74aba835b8470b38c36a94bd40891ee97a93,8a34e37ea1f6ff39a4e543ef226de0d8800810ea540dc985cb4d2f44e54a9a22,bfefcca4b8cedcb76193dc820c9c36ea981a6f62abe2f8df7faac71aa052c056
"0","2019/09/03 16:00:00","1","660014101","2030/04/01 14:59:59","99001001","打倒 1 隻惡代官（NORMAL限定）","9001","601","8006","1004110","1","99001001","0","20014"
"0","2019/09/03 16:00:00","1","660014201","2030/04/01 14:59:59","99001002","打倒 1 隻惡代官（HARD限定）","9001","601","8007","1004111","1","99001002","0","20014"
"0","2019/09/03 16:00:00","1","660014301","2030/04/01 14:59:59","99001003","打倒 1 隻惡代官（VERY HARD限定）","9001","601","8010","1004112","1","99001003","0","20014"
"0","2019/09/03 16:00:00","1","610041401","2030/04/01 14:59:59","99001004","打倒 1 隻惡代官（SPECIAL限定）","9001","601","6011","1004113","1","99001004","0","10041"
"0","2019/10/01 16:00:00","1","610153101","2030/04/01 14:59:59","99001005","打倒 1 隻貝特魯吉烏斯（NORMAL限定）","9001","601","6006","1005310","1","99001005","0","10153"
"0","2019/10/01 16:00:00","1","610153201","2030/04/01 14:59:59","99001006","打倒 1 隻貝特魯吉烏斯（HARD限定）","9001","601","6007","1005311","1","99001006","0","10153"
"0","2019/10/01 16:00:00","1","610153301","2030/04/01 14:59:59","99001007","打倒 1 隻貝特魯吉烏斯（VERY HARD限定）","9001","601","6010","1005312","1","99001007","0","10153"
"0","2019/10/01 16:00:00","1","610153401","2030/04/01 14:59:59","99001008","打倒 1 隻貝特魯吉烏斯（SPECIAL限定）","9001","601","6011","1005313","1","99001008","0","10153"
"0","2019/11/01 16:00:00","1","660015101","2030/04/01 14:59:59","99001009","打倒 1 隻雨神大人（NORMAL限定）","9001","601","8006","1004310","1","99001009","0","20015"
"0","2019/11/01 16:00:00","1","660015201","2030/04/01 14:59:59","99001010","打倒 1 隻雨神大人（HARD限定）","9001","601","8007","1004311","1","99001010","0","20015"
"0","2019/11/01 16:00:00","1","660015301","2030/04/01 14:59:59","99001011","打倒 1 隻雨神大人（VERY HARD限定）","9001","601","8010","1004312","1","99001011","0","20015"
"0","2019/11/01 16:00:00","1","610043401","2030/04/01 14:59:59","99001012","打倒 1 隻雨神大人（SPECIAL限定）","9001","601","6011","1004313","1","99001012","0","10043"
"0","2019/12/02 16:00:00","1","660016101","2030/04/01 14:59:59","99001017","打倒 1 隻奄美魔物（NORMAL限定）","9001","601","8006","1004510","1","99001017","0","20016"
"0","2019/12/02 16:00:00","1","660016201","2030/04/01 14:59:59","99001018","打倒 1 隻奄美魔物（HARD限定）","9001","601","8007","1004511","1","99001018","0","20016"
"0","2019/12/02 16:00:00","1","660016301","2030/04/01 14:59:59","99001019","打倒 1 隻奄美魔物（VERY HARD限定）","9001","601","8010","1004512","1","99001019","0","20016"
"0","2019/12/02 16:00:00","1","610045401","2030/04/01 14:59:59","99001020","打倒 1 隻奄美魔物（SPECIAL限定）","9001","601","6011","1004513","1","99001020","0","10045"
"0","2029/12/02 16:00:00","1","0","2030/04/01 14:59:59","99001021","在香織的靈魂式空手道場累計獲得 300000 分","0","601","6001","14","1","99001021","0","10021"
"0","2029/12/02 16:00:00","1","0","2030/04/01 14:59:59","99001022","在香織的靈魂式空手道場EXTRA一次獲得 70000 分","0","601","6001","15","1","99001022","0","10021"
"0","2020/01/02 16:00:00","1","660017101","2030/04/01 14:59:59","99001023","打倒 1 隻劇毒曼德拉草（NORMAL限定）","9001","601","6006","1004710","1","99001023","0","20017"
