948789e79b0c7d3564920dd1f6135dab816e8bfbd6f04d91d8b940ec7f34c45d,5a6f1f8787106015546c3b4c2edd2cf3e113bb5caa7f23f7cfeee2eb1502dd59,9db2967c7a7f7a8aa3bea39f3296d630beb9971d9cf5451e8cf3a4a7124e76f6,a7cf1c24a3bdbe29b84ccb0257758f9d376a5e2e018a670253511d6047dc2acb,de952770838f2950f14015398e35f10e9e0d6097953a1b6fe9ed3bee4ccb124a,5a00167cfe55d2cf42dcbb90018f48e5035170dac378aeca14331cc256cdc220,7fdd0a3a87f2803b1241bc3bf95766764065943b459834702cab7bc5db0be28b
"0","50","1","1","50","0","9999999"
"0","80","2","2","20","0","9999999"
"0","30","3","3","70","0","2000"
"0","40","3","4","30","30","5000"
"20","40","3","5","0","40","10000"
"30","30","3","6","0","40","15000"
"35","25","3","7","0","40","20000"
"40","20","3","8","0","40","25000"
"45","15","3","9","0","40","30000"
"50","10","3","10","0","40","35000"
"55","10","3","11","0","35","40000"
"60","5","3","12","0","35","45000"
"65","5","3","13","0","30","50000"
"70","0","3","14","0","30","55000"
"75","0","3","15","0","25","60000"
"80","0","3","16","0","20","65000"
"85","0","3","17","0","15","70000"
"90","0","3","18","0","10","75000"
"95","0","3","19","0","5","80000"
"100","0","3","20","0","0","9999999"
