14b164ffc3eeb063ecdc9d56c20254f75c0ca5aa48bdf4c66b354b5b0725bfbc,f7bdd1215fc8c4942f8a40719eff4aea4e3ab10aace3a6c91b51edb230e375e7,adb2bb9f1deff4e2c6bc3df40d03f72e8fe4bbf23fb6c5a07a31995b544d13f5,a5b019ac7c19190d4413c3f1ba6957dc269928d872926cf7e15bfff95fc5f841,6f47f5c9552942763bca50bd0fcd3cc0b52fb9eb58745e5d8cfb4dce552b1b20,c27fd460c4a0f72c8c4244e195ab3165a9e633862b5efb8e71f654b6113d0fb5,1ce6f905e87e334f53a5ca783628f77d34ffa195fb668c39de7a6cddbee75a4b,88c5fe4b5a1b119858e03977ddd858f98759e7651be0ec559aea9a46253cc67c,403005589681503f92c37de1bb158803b5e772c84fa46e46d6be41a1da6239d6,b8a113da920e633fb6e9b465da6c471389dc8368018e689ccd2198b2b4f8b7af,5dd48e1546b72154f044e2e1858d1d8c10342327aec6a85e651269c02443cb2f,0254133b3e0f511073e4a493427e7be2db0a99b1d6f774cd079b13720b2c704d
"0","0","3","0","1","1","0","0","1","1010001","4","0"
"0","0","0","0","1","2","vo_minigame_1005","vo_minigame_1005_nikki01_000","0","1010002","2","0"
"0","1.418","0","202","1","3","0","0","0","1010003","1","1"
"0","0","1","0","1","4","0","0","1.858","1010004","4","0"
"0","2.536","0","316","1","5","0","0","0","1010005","1","2"
"0","0","1","0","1","6","0","0","3.484","1010006","4","0"
"0","0","0","0","1","7","vo_minigame_1005","vo_minigame_1005_nikki01_001","0","1010007","2","0"
"0","1.131","0","183","1","8","0","0","0","1010008","1","3"
"0","0","1","0","1","9","0","0","1.407","1010009","4","0"
"183","1.043","0","318","1","10","0","0","0","1010010","1","3"
"0","0","1","0","1","11","0","0","1.719","1010011","4","0"
"318","0.69","0","389","1","12","0","0","0","1010012","1","3"
"0","0","1","0","1","13","0","0","0.69","1010013","4","0"
"0","1.694","0","244","1","14","0","0","0","1010014","1","4"
"0","0","1","0","1","15","0","0","2.204","1010015","4","0"
"244","1.298","0","384","1","16","0","0","0","1010016","1","4"
"0","0","1","0","1","17","0","0","1.298","1010017","4","0"
"0","1.118","0","67","1","18","0","0","0","1010018","1","5"
"0","0","1","0","1","19","0","0","1.199","1010019","4","0"
"67","0.958","0","103","1","20","0","0","0","1010020","1","5"
"0","0","1","0","1","21","0","0","1.269","1010021","4","0"
"103","1.373","0","394","1","22","0","0","0","1010022","1","5"
"0","0","1","0","1","23","0","0","1.373","1010023","4","0"
"0","0.193","0","0","1","24","0","0","0","1010024","1","6"
"0","0","1","0","1","25","0","0","0.552","1010025","4","0"
"0","2.64","0","368","1","26","0","0","0","1010026","1","6"
"0","0","1","0","1","27","0","0","3.195","1010027","4","0"
"0","0.599","0","64","1","28","0","0","0","1010028","1","7"
"0","0","1","0","1","29","0","0","0.929","1010029","4","0"
"64","1.302","0","315","1","30","0","0","0","1010030","1","7"
"0","0","1","0","1","31","0","0","2.395","1010031","4","0"
"0","0","0","0","1","32","vo_minigame_1005","vo_minigame_1005_nikki01_002","0","1010032","2","0"
"0","2.09","0","345","1","33","0","0","0","1010033","1","8"
"0","0","1","0","1","34","0","0","2.512","1010034","4","0"
"0","0.868","0","63","1","35","0","0","0","1010035","1","9"
"0","0","1","0","1","36","0","0","0.907","1010036","4","0"
"63","1.107","0","315","1","37","0","0","0","1010037","1","9"
"0","0","1","0","1","38","0","0","1.107","1010038","4","0"
"0","1.107","0","162","1","39","0","0","0","1010039","1","10"
"0","0","1","0","1","40","0","0","1.455","1010040","4","0"
"162","1.65","0","162","1","41","0","0","0","1010041","1","10"
"0","0","1","0","1","42","0","0","2.654","1010042","4","0"
"0","0","0","0","1","43","vo_minigame_1005","vo_minigame_1005_nikki01_003","0","1010043","2","0"
"162","0.685","0","262","1","44","0","0","0","1010044","1","10"
"0","0","1","0","1","45","0","0","1.036","1010045","4","0"
"262","0.378","0","397","1","46","0","0","0","1010046","1","10"
"0","0","1","0","1","47","0","0","0.378","1010047","4","0"
"0","2.438","0","377","1","48","0","0","0","1010048","1","11"
"0","0","1","0","1","49","0","0","3.395","1010049","4","0"
"0","0","0","0","1","50","vo_minigame_1005","vo_minigame_1005_nikki01_004","0","1010050","2","0"
"0","0.642","0","102","1","51","0","0","0","1010051","1","12"
"0","0","1","0","1","52","0","0","1.061","1010052","4","0"
"102","0.539","0","187","1","53","0","0","0","1010053","1","12"
"0","0","1","0","1","54","0","0","0.877","1010054","4","0"
"187","1.135","0","316","1","55","0","0","0","1010055","1","12"
"0","0","1","0","1","56","0","0","2.635","1010056","4","0"
"0","0","3","0","2","1","0","0","1","1020001","4","0"
"0","0","0","0","2","2","vo_minigame_1005","vo_minigame_1005_nikki02_000","0","1020002","2","0"
"0","2.91","0","345","2","3","0","0","0","1020003","1","1"
"0","0","1","0","2","4","0","0","3.814","1020004","4","0"
"0","0","0","0","2","5","vo_minigame_1005","vo_minigame_1005_nikki02_001","0","1020005","2","0"
"0","1.67","0","239","2","6","0","0","0","1020006","1","2"
