7e2da4bfd4486c4f1597c9e3cd4e003e87359d3caf726055acff2eff43790719,293a5fc113053682248c0c4d9898954537b818ecc593f27b09e8797b3e9d8821,b9f4e812a1ac1ec3df273acfffff7776f12eb9e954ce7f2ce9bddd6dfbb15d29,da496585591b0952d2c3be812a3b7b5593ebee45eb1e84664ac51889c9857b1f,e2d15a61aa76861c357c397887bc0ef4b7e6c9cdec152154403b5f13d805e9b1,8daca277ba33721be813560d18d4493f6201bf93e580350552a260389aa5551d,1927af3440d4c09e3e6b547b2291b3c45349e2587645f14778136030b0206542,84e9bdc9ba651de9fb9b0252de5f2477e7878911d59773d274a72d5e4211be85,5a55cdfe9851126824f9bcf638c9ecc7cd0fe02f634ddc0bc4af92f0288ac161,2e51ff2ce8003d6227fc44b1dedd74309417df3273ba2acebb2b301b8c6de2b9,517dc358a02e3e41cfa32f4c829e423b5bad4c8a74d4273f189a65001fda5fda,a4a2220cedc4ed872dc16f9c375e088c2bac6fcf38ffe51646fd5fe28c53f45c,25a37c781f4dbff48ce8173ee61e66b1df9f79ca027e62b3d9e11698b65e2a23
"57","0","0","0","10010001","0","0","0","0","10010484","0","1","1"
"59","10010674","0","0","10010099","0","1","0","0","10010100","0","2","1"
"58","10010099","0","0","10010100","0","10001","0","0","10010101","0","11","1"
"57","10010100","0","0","10010101","0","0","0","0","10010102","0","12","1"
"56","10010101","0","0","10010102","0","1","0","0","10010103","0","2","1"
"55","10010102","0","0","10010103","0","2","0","0","10010104","0","2","1"
"54","10010103","0","0","10010104","0","0","0","0","10010105","0","4","1"
"53","10010104","0","0","10010105","0","1","0","0","10010106","0","3","1"
"52","10010105","0","0","10010106","0","0","0","0","10010107","0","12","1"
"51","10010106","0","0","10010107","0","0","0","0","10010559","0","5","1"
"48","10010560","0","0","10010110","0","2","0","0","10010111","0","2","1"
"47","10010110","0","0","10010111","0","0","0","0","10010561","0","6","1"
"45","10010561","0","0","10010113","0","3","0","0","10010114","0","2","1"
"44","10010113","0","0","10010114","0","10001","0","0","10010562","0","11","1"
"42","10010562","0","0","10010116","0","0","0","0","10010117","0","4","1"
"41","10010116","0","0","10010117","0","0","0","0","10010118","0","6","1"
"40","10010117","0","0","10010118","0","3","0","0","10010563","0","3","1"
"49","10010559","0","0","10010119","0","10001","0","0","10010120","0","11","1"
"48","10010119","0","0","10010120","0","0","0","0","10010121","0","4","1"
"47","10010120","0","0","10010121","0","3","0","0","10010565","0","2","1"
"45","10010565","0","0","10010123","0","2","0","0","10010566","0","2","1"
"43","10010566","0","0","10010125","0","10003","0","0","10010126","0","7","1"
