fef96539757342c63f58fff8546f1b0957930910e9e95a35820a4c146e63429d,2af32739d91069bd6411d7bf2c10677060d89a853ed6dd0a90f4ad774139888f,c9b932562cc683d3ef3fb2de85a61be99181734433e6f16366b17f5d7a0c95d0,509babf02f541c769fd937de08e5be7a2fc220992a2707830e2d9a8fdde3ef5d,9b11a1b246eeb783ceaaaec375df85bf4206a978a1f6d55f9fffccbe303e0d0a,bc26d5a72dd8e1841b32e7859426bea1dcb0d23b783aacf466d5c27f608242d4,aa75cbfcb34c0b355008a4b19ccc0b2fede44980148e0f4a714bddd0df59443d,73fb98640dd1c89284aba063869884ca0aca06c49c0940f9e2ee4642905965e3,0e4dbbd5383d1a7c7827767d8a0b646062ac115d08977b486e87dc1fd172b510,447a22079c43a529eed79e20bf22ecee83efffe11919873f56c448b761200905,89dbb08d1c5b1789b52b794b534f6e4b28a68a157b60e6cb6533a28cced396b2,adb3690a39e7786f47c080db761210fa18ffa9ab6710595fa7e14f396f1db1f3,6f1a8aef18721b95ecb1c5d015a7d3d40e9db856ed5beef3b9d31e75318322a8,7f46bd88a0cf89fc452e62c974c416ffeb751a895799ce83f805d77b0f081936,540422a151a73c81709d7739877f298572cd5d8e762c04f9898af2a544262ed4,314fe1f8aee762dd0a4a8d75fd1dbecdee25fbe705655b355b7c328866eaec20,136059e94ea16d390798a5ce63307b54edcc1ea9c7ae02c8819e0b1bd397150c
"10001","0","bgm_M32","50","2018/09/12 15:59:59","2018/09/17 15:59:59","2018/09/19 15:59:59","0","0","500213","1768","bgm_M32","60","2018/08/28 16:00:00","2018/08/24 16:00:00","1060","0"
"10002","103601","bgm_M98","50","2018/10/19 15:59:59","2018/10/24 15:59:59","2018/10/28 15:59:59","0","0","500193","1768","bgm_M98","60","2018/10/03 16:00:00","2018/10/01 16:00:00","1060","0"
"10003","104401","bgm_M106","50","2018/11/15 15:59:59","2018/11/20 15:59:59","2018/11/25 15:59:59","0","0","500263","1768","bgm_M106","60","2018/11/01 15:59:59","2018/10/30 16:00:00","1060","0"
"10004","107601","bgm_M112","50","2018/12/15 15:59:59","2018/12/20 15:59:59","2018/12/24 15:59:59","0","0","500164","1768","bgm_M112","60","2018/12/01 16:00:00","2018/11/29 16:00:00","1060","0"
"10005","907901","bgm_M121","50","2019/01/17 15:59:59","2019/01/22 15:59:59","2019/01/25 15:59:59","0","0","500284","1768","bgm_M121","60","2019/01/03 16:00:00","2019/01/01 16:00:00","1060","0"
"10006","104701","bgm_M128","50","2019/02/16 15:59:59","2019/02/19 15:59:59","2019/02/22 15:59:59","0","0","500096","1768","bgm_M128","60","2019/02/01 12:00:00","2019/01/30 16:00:00","1060","0"
"10007","108201","bgm_M135","50","2019/03/22 15:59:59","2019/03/25 15:59:59","2019/03/28 15:59:59","0","0","500264","1768","bgm_M135","60","2019/03/06 16:00:00","2019/03/04 16:00:00","1060","0"
"10008","100901","bgm_M162","50","2019/04/14 15:59:59","2019/04/17 15:59:59","2019/04/21 15:59:59","0","0","500143","1768","bgm_M162","60","2019/04/03 16:00:00","2019/04/01 16:00:00","1060","0"
"10009","108501","bgm_M171","50","2019/05/13 15:59:59","2019/05/16 15:59:59","2019/05/19 15:59:59","0","0","500114","1768","bgm_M171","60","2019/05/02 16:00:00","2019/04/30 16:00:00","1060","0"
"10010","108901","bgm_M182","50","2019/06/14 15:59:59","2019/06/17 15:59:59","2019/06/21 15:59:59","0","0","500553","1768","bgm_M182","60","2019/06/03 16:00:00","2019/05/31 16:00:00","1060","0"
"10011","109001","bgm_M189","50","2019/07/12 15:59:59","2019/07/15 15:59:59","2019/07/18 15:59:59","0","0","500600","1768","bgm_M189","60","2019/07/01 16:00:00","2019/06/28 16:00:00","1060","0"
"10012","101401","bgm_M206","50","2019/07/28 15:59:59","2019/07/31 15:59:59","2019/08/03 15:59:59","0","0","500013","1768","bgm_M206","60","2019/07/17 16:00:00","2019/07/15 16:00:00","1060","0"
"10013","109301","bgm_M215","50","2019/08/12 15:59:59","2019/08/15 15:59:59","2019/08/19 15:59:59","0","0","500133","1768","bgm_M215","60","2019/08/01 16:00:00","2019/07/30 16:00:00","1060","0"
"10014","101201","bgm_M32","50","2019/08/20 15:59:59","2019/08/23 15:59:59","2019/08/26 15:59:59","0","0","500213","1768","bgm_M32","60","2019/08/16 16:00:00","2019/08/15 16:00:00","1060","10001"
"10015","109501","bgm_M223","50","2019/09/12 15:59:59","2019/09/15 15:59:59","2019/09/18 15:59:59","0","0","500650","1768","bgm_M223","60","2019/09/03 16:00:00","2019/08/30 16:00:00","1060","0"
"10016","103601","bgm_M98","50","2019/09/21 15:59:59","2019/09/24 15:59:59","2019/09/27 15:59:59","0","0","500193","1768","bgm_M98","60","2019/09/17 16:00:00","2019/09/15 16:00:00","1060","10002"
"10017","109701","bgm_M228","50","2019/10/12 15:59:59","2019/10/15 15:59:59","2019/10/18 15:59:59","0","0","500175","1768","bgm_M228","60","2019/10/01 16:00:00","2019/09/27 16:00:00","1060","0"
