4dde232217375a9125974a6f9186b258692f08fe4ab406fe80376940db215ff0,d4edabf026275a43ec2cce60b06fbb7a142d4afbe614b13b5ed58980894fa107,62b306593b1a3265f7b5bdd54b2be3bd3083bc2152ac93693baf11157cbb967b,8f4b7a7e51a092f250f5e6d0b1d134f6d71ac81bc1c3eea19237bdd01e077350,b26cccc38e1f67984926560f9ba9a7ed3e8f878581a707ed5ca9f43a502d464e,693721259b4454ccc76fd17429d00005fe52f2daf9cdbf2b0e5d6ed986e2260d,7f24648377b84f6382ebe91549c091cabeec124bc56edef54279beac91889df2
"10201101","10201101","1","2025/06/01 16:00:00","5201401","0","10201"
"10201151","10201102","1","2025/06/07 16:00:00","5201402","0","10201"
"13","10201201","2","2025/06/01 16:00:00","5201411","5201010","10201"
"10202101","10202101","1","2025/07/01 16:00:00","5202401","0","10202"
"7","10202201","2","2025/07/01 16:00:00","5202411","0","10202"
"10203101","10203101","1","2025/08/01 16:00:00","5203401","0","10203"
"23","10203201","2","2025/08/01 16:00:00","5203411","5203007","10203"
"10204101","10204101","1","2025/09/01 16:00:00","5204401","0","10204"
"23","10204201","2","2025/09/01 16:00:00","5204411","5204006","10204"
"10205101","10205101","1","2025/10/01 16:00:00","5205401","0","10205"
"23","10205201","2","2025/10/01 16:00:00","5205411","0","10205"
"10206101","10206101","1","2025/11/01 16:00:00","5206401","0","10206"
"23","10206201","2","2025/11/01 16:00:00","5206411","5206007","10206"
"10207101","10207101","1","2025/12/01 16:00:00","5207401","0","10207"
"23","10207201","2","2025/12/01 16:00:00","5207411","5207007","10207"
"10208101","10208101","1","2026/01/01 16:00:00","5208401","0","10208"
"23","10208201","2","2026/01/01 16:00:00","5208411","5208007","10208"
"10209101","10209101","1","2026/02/01 16:00:00","5209401","0","10209"
"23","10209201","2","2026/02/01 16:00:00","5209411","5209007","10209"
"10210101","10210101","1","2026/03/01 16:00:00","5210401","0","10210"
"23","10210201","2","2026/03/01 16:00:00","5210411","5210000","10210"
"10211101","10211101","1","2026/04/01 16:00:00","5211401","0","10211"
"23","10211201","2","2026/04/01 16:00:00","5211411","5211006","10211"
"10212101","10212101","1","2026/05/01 16:00:00","5212401","0","10212"
"23","10212201","2","2026/05/01 16:00:00","5212411","5212007","10212"
"10213101","10213101","1","2026/06/01 16:00:00","5213401","0","10213"
"10213151","10213102","1","2026/06/13 16:00:00","5213402","0","10213"
"23","10213201","2","2026/06/01 16:00:00","5213411","5213013","10213"
"0","10213302","3","2026/06/13 16:00:00","5213602","0","10213"
"10214101","10214101","1","2026/07/01 16:00:00","5214401","0","10214"
"23","10214201","2","2026/07/01 16:00:00","5214411","5214006","10214"
"10215101","10215101","1","2026/08/01 16:00:00","5215401","0","10215"
"23","10215201","2","2026/08/01 16:00:00","5215411","5215006","10215"
"10216101","10216101","1","2026/09/01 16:00:00","5216401","0","10216"
"23","10216201","2","2026/09/01 16:00:00","5216411","5216007","10216"
