a7957c5bafa454cda66624e676cd6a144980cd2bc0e69bc07e97b43a0c8d1d9c,ec897f671e2af3b0376047ca7e031ad9bbc0b3a5e0c8d8fe71079b3aab19ec39,4567a62bbbeac26d0e9be85637b91f28940fb780e317bdd35f8addce8bdbcc90
"30009","1","1"
"30011","2","2"
"30016","3","3"
"30022","4","4"
"50023","4","5"
"50027","5","6"
"30031","6","7"
"30044","7","8"
"30045","7","9"
"30060","8","10"
"50061","8","11"
"50067","9","12"
"30072","9","13"
"30068","10","14"
"30076","10","15"
"50094","11","16"
"30093","11","17"
"40003","11","18"
"50108","12","19"
"30099","12","20"
"30103","13","21"
"30107","14","22"
"30114","15","23"
"40004","15","24"
"30117","15","25"
"30118","15","26"
"30117","16","27"
"30118","16","28"
"50119","16","29"
"30120","16","30"
"30122","16","31"
"30126","16","32"
"30123","16","33"
"50129","16","34"
"30125","16","35"
"30127","17","36"
"30130","17","37"
"30148","18","38"
"40005","18","39"
"30150","18","40"
"50151","18","41"
"50151","19","42"
"30152","19","43"
"30153","19","44"
"30154","19","45"
"40006","19","46"
"30156","19","47"
"30157","19","48"
"30161","20","49"
"30163","20","50"
"30163","21","51"
"30164","21","52"
"30166","21","53"
"30167","21","54"
"30171","22","55"
"30170","22","56"
"50172","22","57"
"30173","22","58"
"30173","23","59"
"30174","23","60"
"30175","23","61"
"30176","23","62"
"30177","23","63"
"30179","24","64"
"40007","24","65"
"30182","24","66"
"50183","24","67"
"50183","25","68"
"30184","25","69"
"30186","25","70"
"30187","25","71"
"30188","25","72"
"50195","25","73"
"50190","26","74"
"30194","26","75"
"30196","26","76"
"30213","27","77"
"40008","27","78"
"30215","27","79"
"30216","27","80"
"50217","27","81"
"30224","28","82"
"30225","28","83"
"30226","28","84"
"30227","28","85"
"30235","29","86"
"30236","29","87"
"50237","29","88"
"30238","29","89"
"30244","30","90"
"40009","30","91"
"30247","30","92"
"50248","30","93"
"30256","31","94"
"30257","31","95"
"30258","31","96"
"30274","32","97"
"40010","32","98"
"30276","32","99"
"30277","32","100"
"50278","32","101"
"30286","33","102"
"30287","33","103"
"30288","33","104"
"30295","34","105"
"30296","34","106"
"30297","34","107"
"50298","34","108"
"30299","34","109"
"30305","35","110"
"30306","35","111"
"40011","35","112"
"30308","35","113"
"50309","35","114"
"30319","36","115"
"30320","36","116"
"50321","36","117"
