96749b9dd78d6f840877c82bc00ae7a4838ebc2b869c50e667a6bfbec031ca60,554dd4802ba8be695508a6f10c408837297f1924f39f119fdcf22521e6564c52,aa4b4c9216b11acc71c06a9f7df31d7e88ffb005efa44921b8f69211716703a0,07d57a65803e9077818cbe090411b3d017c13cdf43f65574d47cf4eedb5a85f8,5a1a140dba293dab1c64b98e790d482acf052486a98d2e7ac28ac761518735d1,26e65a275a075befdb42a83e567d3fd0186673b671fd3eca6017bd5ab0c6bbbf,39920298900961ea37fb7c8fd321bd71d7290b0f60d6a57aac3eb90849d8f2a7
"91002","10","2500","1","8","獲得累積分數2500分","101"
"91002","10","5000","1","8","獲得累積分數5000分","102"
"91002","10","10000","1","8","獲得累積分數10000分","103"
"91002","10","12500","1","8","獲得累積分數12500分","104"
"91002","10","15000","1","8","獲得累積分數15000分","105"
"91002","10","20000","1","8","獲得累積分數20000分","106"
"91002","10","25000","1","8","獲得累積分數25000分","107"
"91002","10","30000","1","8","獲得累積分數30000分","108"
"91002","10","35000","1","8","取得累積分數35000分","109"
"91002","10","40000","1","8","取得累積分數40000分","110"
"91002","10","45000","1","8","取得累積分數45000分","111"
"11001302","1","50000","1","15","取得累積分數50000分","112"
"91002","10","2500","2","8","獲得累積分數2500分","201"
"91002","10","5000","2","8","獲得累積分數5000分","202"
"91002","10","10000","2","8","獲得累積分數10000分","203"
"91002","10","12500","2","8","獲得累積分數12500分","204"
"91002","10","15000","2","8","獲得累積分數15000分","205"
"91002","10","20000","2","8","獲得累積分數20000分","206"
"91002","10","25000","2","8","獲得累積分數25000分","207"
"91002","10","30000","2","8","獲得累積分數30000分","208"
"91002","10","35000","2","8","取得累積分數35000分","209"
"91002","10","40000","2","8","取得累積分數40000分","210"
"91002","10","45000","2","8","取得累積分數45000分","211"
"11001303","1","50000","2","15","取得累積分數50000分","212"
