626a96aa90b295281a7dde333aefbfa0fb6968dc0251b3810672f2d09500bdd2,aaeaf6fd517c84686a63fe60db8a6d4440d0cb99c8b931ce19ffd6d14d6fe688,0741dbf3f8f9d44dc736700383a5f83036deb1d84758bf931b37deb74fa50037,6436daaea8669d9c1cfd715b45a82d0905c362c470e4b166734b889dc2d1761c
"1061101","2","1061001","1061002"
"1061102","2","1061001","1061003"
"1061111","2","1061001","1061012"
"1067101","2","1067001","1067001"
"1068103","2","1068001","1068001"
"1068101","2","1068001","1068002"
"1068102","2","1068001","1068003"
"1068111","2","1068001","1068012"
"1069101","2","1069001","1069001"
"1158100","1","1158001","1158001"
"1158101","2","1158001","1158002"
"1158102","2","1158001","1158003"
"1158111","2","1158001","1158012"
"1158102","2","1158001","1158203"
"1164101","2","1164001","1164001"
"1182101","2","1182001","1182001"
"1185101","2","1185001","1185001"
"1186101","2","1186001","1186001"
"1208101","2","1208001","1208002"
"1208111","2","1208001","1208012"
"1220101","2","1220001","1220001"
"1223101","2","1223001","1223002"
"1223102","2","1223001","1223003"
"1223110","1","1223001","1223011"
"1223111","2","1223001","1223012"
"1227101","2","1227001","1227001"
"1230101","2","1230001","1230001"
"1250101","2","1250001","1250002"
"1250102","2","1250001","1250003"
"1250111","2","1250001","1250012"
"1258101","2","1258001","1258001"
"1260101","2","1260001","1260001"
"1261101","2","1261001","1261001"
"1262101","2","1262001","1262001"
"1264103","2","1264001","1264001"
"1264101","2","1264001","1264002"
"1264102","2","1264001","1264003"
"1265101","2","1265001","1265001"
"1290101","2","1290001","1290001"
"1293101","2","1293001","1293001"
"1294101","2","1294001","1294001"
"1295101","2","1295001","1295001"
"1296101","2","1296001","1296001"
"1297101","2","1297001","1297001"
"1300101","2","1300001","1300001"
"1301101","2","1301001","1301001"
"1312101","2","1312001","1312001"
"1318101","2","1318001","1318001"
"1320101","2","1320001","1320001"
"1321100","1","1321001","1321001"
"1321101","2","1321001","1321002"
"1321102","2","1321001","1321003"
"1321111","2","1321001","1321012"
"1324101","2","1324003","1324003"
"1329101","2","1329001","1329001"
"1331101","2","1331001","1331001"
"1338101","2","1338003","1338001"
"1338102","2","1338003","1338002"
"1345101","2","1345001","1345001"
"1349101","2","1349001","1349001"
"1350101","2","1350001","1350001"
"1350102","2","1350001","1350002"
"1351101","2","1351001","1351001"
"1352101","2","1352001","1352001"
"1356101","2","1356001","1356001"
"1359101","2","1359001","1359001"
"1360101","2","1360001","1360001"
"1361101","2","1361001","1361001"
"1374101","2","1374002","1374002"
"1374102","2","1374003","1374003"
"1812101","2","1812001","1812001"
"4319101","2","4319012","4319012"
