f9fb43ebc01c7d9b938d2adcefd0688f7a61c46021d177dae5b5eba525e864e8,559755466d4899c826d00b0409227b94eb8d6707697627bba2c009a4aa8661e6,47c2334e3196a285b575e2c2ca4042d0b2e4a15881e63ad4ba78ce73bdcf021e,89931d027b8406cd094f58ee4cc783e41f0026a8397398fb17806353a958b460,5aaff4346b69fdad54a88d0e75b308bb5192619db9c44cbbe9e597113e190faf,bc0321bbfbb8ff307f4e67608931c586f8df7c492b85e732f2de3063055f0e25,708cd3fd762e7387b5104923c65e563982068a5b2d351c419a1a7e5296eba77f,f441b546de08ff83565dfb7f25a1d5f1c0396ad619ce2cb319e49a6e1fb31cd4,b58d3e3ce0c40b53a49bc02210b457c42d2a01f03bb2eaef889bd47c0267b1b0,bde1ecffe248ee2cae784175398550fff5619711a5a2cb628e6eab70b62dec47,0be0a0ff41d5d3dc35c7de8f0fb8f222602524af4aced8433a4171473d1cd972
"通關難度1以上1次","1","1","0","3","1013","1","1","1","2","1"
"通關難度2以上1次","1","2","0","5","1013","2","2","2","2","1"
"通關難度3以上1次","1","3","0","5","1013","3","3","3","2","1"
"通關難度4以上1次","1","4","0","5","1013","4","4","4","2","1"
"通關難度5 1次","1","5","0","5","1013","5","5","5","2","1"
"累積收集10個迷宮遺物","1","0","0","0","1013","6","6","11","3","10"
"累積收集50個迷宮遺物","1","0","0","0","1013","7","7","12","3","50"
"累積收集100個迷宮遺物","1","0","0","0","1013","8","8","13","3","100"
"累積邀請10名角色","1","0","0","0","1013","9","9","14","4","10"
"累積邀請50名角色","1","0","0","0","1013","10","10","15","4","50"
"累積邀請100名角色","1","0","0","0","1013","11","11","16","4","100"
"累積邀請150名角色","1","0","0","0","1013","12","12","17","4","150"
"以始源強化解放1個節點","1","0","0","0","1013","13","13","18","5","1"
"以始源強化解放5個節點","1","0","0","0","1013","14","14","19","5","5"
"以始源強化解放10個節點","1","0","0","0","1013","15","15","20","5","10"
"以始源強化解放15個節點","1","0","0","0","1013","16","16","21","5","15"
"以始源強化解放20個節點","1","0","0","0","1013","17","17","22","5","20"
"以始源強化解放25個節點","1","0","0","0","1013","18","18","23","5","25"
"以始源強化解放30個節點","1","0","0","0","1013","19","19","24","5","30"
"以始源強化解放40個節點","1","0","0","0","1013","20","20","25","5","40"
"通關難度2以上3次（不含掃蕩）","1","2","0","5","1013","21","21","30","2","3"
"通關難度2以上5次（不含掃蕩）","1","2","0","5","1013","22","22","31","2","5"
"通關難度2以上10次（不含掃蕩）","1","2","0","5","1013","23","23","32","2","10"
"通關難度2以上12次（不含掃蕩）","1","2","0","5","1013","24","24","33","2","12"
"通關難度2以上14次（不含掃蕩）","1","2","0","5","1013","25","25","34","2","14"
"通關難度2以上16次（不含掃蕩）","1","2","0","5","1013","26","26","35","2","16"
"通關難度2以上18次（不含掃蕩）","1","2","0","5","1013","27","27","36","2","18"
"通關難度2以上20次（不含掃蕩）","1","2","0","5","1013","28","28","37","2","20"
"以累積邀請20名以上角色的狀態通關","1","0","0","20","1013","29","29","38","6","1"
"以累積邀請25名以上角色的狀態通關","1","0","0","25","1013","30","30","39","6","1"
"以累積邀請30名以上角色的狀態通關","1","0","0","30","1013","31","31","40","6","1"
"以持有15個以上迷宮遺物的狀態通關","1","0","0","15","1013","32","32","41","8","1"
"以持有20個以上迷宮遺物的狀態通關","1","0","0","20","1013","33","33","42","8","1"
"以持有25個以上迷宮遺物的狀態通關","1","0","0","25","1013","34","34","43","8","1"
"【美食殿堂】通關難度3以上1次","2","3","1","5","1014","35","35","44","2","1"
"【美食殿堂】通關難度4以上1次","2","4","1","5","1014","36","36","45","2","1"
"【美食殿堂】通關難度5 1次","2","5","1","5","1014","37","37","46","2","1"
"【破曉之星】通關難度3以上1次","2","3","2","5","1014","38","38","52","2","1"
"【破曉之星】通關難度4以上1次","2","4","2","5","1014","39","39","53","2","1"
"【破曉之星】通關難度5 1次","2","5","2","5","1014","40","40","54","2","1"
"【咲戀育幼院】通關難度3以上1次","2","3","3","5","1014","41","41","60","2","1"
"【咲戀育幼院】通關難度4以上1次","2","4","3","5","1014","42","42","61","2","1"
"【咲戀育幼院】通關難度5 1次","2","5","3","5","1014","43","43","62","2","1"
"【王宮騎士團】通關難度3以上1次","2","3","4","5","1014","44","44","68","2","1"
"【王宮騎士團】通關難度4以上1次","2","4","4","5","1014","45","45","69","2","1"
"【王宮騎士團】通關難度5 1次","2","5","4","5","1014","46","46","70","2","1"
"【拉比林斯】通關難度3以上1次","2","3","5","5","1014","47","47","76","2","1"
"【拉比林斯】通關難度4以上1次","2","4","5","5","1014","48","48","77","2","1"
"【拉比林斯】通關難度5 1次","2","5","5","5","1014","49","49","78","2","1"
"【慈樂之音】通關難度3以上1次","2","3","6","5","1014","50","50","84","2","1"
"【慈樂之音】通關難度4以上1次","2","4","6","5","1014","51","51","85","2","1"
"【慈樂之音】通關難度5 1次","2","5","6","5","1014","52","52","86","2","1"
"【惡魔偽王國軍】通關難度3以上1次","2","3","7","5","1014","53","53","92","2","1"
