327db09aa83718e2bef258a99438a5fbd208f447ef2acab60dae6986af3fbbe0,4aa510500efa9c985173b6d62e2e1565caaa89dd6c9791467b7b224fe8ab4589,00b89de7152846bbdbc9de3afec2f19d82cf3633acef6f9835be8a2e11cc22a9,242ade3cd50cfe645346c0375b41efd120c410fb4cc954aa180f914c605dd360,0dd457a14ac3bcd55504e81b061e70aa061a85f0afb6c99e7e6917c245324650
"10053","信賴度","10053102","1","6017101"
"10124","信賴度","10124110","1","6124101"
"10127","信賴度","10127103","1","6100101"
"10129","信賴度","10129106","1","6102101"
"10131","信賴度","10131114","1","6104101"
"10141","信賴度","10141107","1","6114101"
"20015","信賴度","0","1","0"
"20017","信賴度","0","1","0"
"20018","信賴度","0","1","0"
"20019","信賴度","0","1","0"
"20020","信賴度","0","1","0"
"20022","信賴度","0","1","0"
"20023","信賴度","0","1","0"
"20024","信賴度","0","1","0"
"20025","信賴度","0","1","0"
"20026","信賴度","0","1","0"
"20028","信賴度","0","1","0"
"20029","信賴度","0","1","0"
"20030","信賴度","0","1","0"
"20031","信賴度","0","1","0"
"20032","信賴度","0","1","0"
"20035","信賴度","0","1","0"
"20037","信賴度","0","1","0"
"20038","信賴度","0","1","0"
"20042","信賴度","0","1","0"
"20043","信賴度","0","1","0"
"20048","信賴度","0","1","0"
"20049","信賴度","0","1","0"
"20051","信賴度","0","1","0"
