1a080a34c528563fa2f2f5561993c39c03d45e3cfd0ad8005552cd5b81c157d7,596844c4318e93a2fe8caef123ac4f338b48bc76054337dc11891120dbf7c2e8,6e72a07a5b2f11a189b6e2d174a0608819b0ec1036a1c791eb925134c5da5e87,556b20adaca57113b09a405fe8c0c7d7c88f62d7389eb7ddbfd403410942e058,4b7d280e225313845f0e6cd7c444787e61ea5bb3dddf5d4b99ff82d83b75fe5f,391bbad7faf9c2b0a3570266f73f0301e92ba5da23ec64369f0853e895e310dd
"1","301","102013011","10201","5201087","1"
"1","402","102014021","10201","5201081","1"
"0","402","102014022","10201","5201082","101"
"1","501","102015011","10201","5201066","1"
"2","501","102015012","10201","5201067","1"
"3","501","102015013","10201","5201068","1"
"4","501","102015014","10201","5201069","1"
"5","501","102015015","10201","5201070","1"
"6","501","102015016","10201","5201071","1"
"7","501","102015017","10201","5201072","1"
"8","501","102015018","10201","5201073","1"
