696a423ece9b435f2effa484cb703bd7f3a3f57ceedc3dc16d7cad131e0cf665,c36f24d47067743d762aa2ac33f989d7b54c9729dc2c328be06bf468f9a60c37,106174e050707a16648d803d36394891489d4007fe421b5233e2fe15f2c221ff,907886a4809385368d71c9878f81a4cd797be7dad2ed45d285c54788366b1a73,a848f14f1224580a7b9e4a6153f68fa319e52aa0e56bfe9ab06a380549376cc9,5cd7401abfeeac2872299a0b6911b767766610f90ab1be243dda1f98492a9d00,f62c8674f174c78ec53ea45b41f1ea710737b811e666ed8a95a0380266634c71,984ffe35d2d50b786bc6867fec7b32159d433535d0feece88ce97584959befff,4119d278f8c2a937478309ebc682b7bb396a806bf8c8b05fb5e2bd38dcf2132e,451955ebc8975f4d2778cda7e201c3d57e363cbe0037db80a27f5418622332ee,8befdda3106fc7aa72eae6066881414452609f525dc45dfac100c6afe3ec5c2b,d3874766dfd5c2f7d8323f671394c1f2a4b39c6e06033113b5e836707de37000
"1","0.8","1","0","0","0","4","5154062","0","0","0","515406201"
"2","0","0","vo_abd_0101","0","0","2","5154062","vo_abd","0","0","515406202"
"3","0","0","0","0","1","1","5154062","0","2","300","515406203"
"4","2.1","1","0","0","0","4","5154062","0","0","0","515406204"
"5","0","0","vo_abd_0102","0","0","2","5154062","vo_abd","0","0","515406205"
"6","0","0","0","0","2","1","5154062","0","2.05","400","515406206"
"7","3.2","1","0","0","0","4","5154062","0","0","0","515406207"
"8","0","0","vo_abd_0103","0","0","2","5154062","vo_abd","0","0","515406208"
"9","0","0","0","0","3","1","5154062","0","1","60","515406209"
"10","1.4","1","0","0","0","4","5154062","0","0","0","515406210"
"11","0","0","0","60","3","1","5154062","0","2.5","430","515406211"
"12","3.3","1","0","0","0","4","5154062","0","0","0","515406212"
"13","0","0","vo_abd_0104","0","0","2","5154062","vo_abd","0","0","515406213"
"14","0","0","0","0","4","1","5154062","0","0.2","39","515406214"
"15","0.5","1","0","0","0","4","5154062","0","0","0","515406215"
"16","0","0","0","39","4","1","5154062","0","0.2","77","515406216"
"17","0.6","1","0","0","0","4","5154062","0","0","0","515406217"
"18","0","0","0","77","4","1","5154062","0","0.8","205","515406218"
"19","1.2","1","0","0","0","4","5154062","0","0","0","515406219"
"20","0","0","0","205","4","1","5154062","0","1.8","410","515406220"
"21","2.2","1","0","0","0","4","5154062","0","0","0","515406221"
"22","0","0","vo_abd_0105","0","0","2","5154062","vo_abd","0","0","515406222"
"23","0","0","0","0","5","1","5154062","0","0.6","69","515406223"
"24","1","1","0","0","0","4","5154062","0","0","0","515406224"
"25","0","0","0","69","5","1","5154062","0","0.7","195","515406225"
"26","1.5","1","0","0","0","4","5154062","0","0","0","515406226"
"27","0","0","0","195","5","1","5154062","0","0.8","315","515406227"
"28","1","1","0","0","0","4","5154062","0","0","0","515406228"
"29","0","0","0","315","5","1","5154062","0","0.7","415","515406229"
"30","2","1","0","0","0","4","5154062","0","0","0","515406230"
"31","0","0","vo_abd_0106","0","0","2","5154062","vo_abd","0","0","515406231"
"32","0","0","0","0","6","1","5154062","0","1","190","515406232"
"33","1.3","1","0","0","0","4","5154062","0","0","0","515406233"
"34","0","0","0","190","6","1","5154062","0","1","415","515406234"
"35","2.3","1","0","0","0","4","5154062","0","0","0","515406235"
"36","0","0","vo_abd_0107","0","0","2","5154062","vo_abd","0","0","515406236"
"37","0","0","0","0","7","1","5154062","0","0.7","47","515406237"
"38","0.8","1","0","0","0","4","5154062","0","0","0","515406238"
"39","0","0","0","47","7","1","5154062","0","0.8","360","515406239"
"40","2","1","0","0","0","4","5154062","0","0","0","515406240"
"41","0","0","vo_abd_0108","0","0","2","5154062","vo_abd","0","0","515406241"
"42","0","0","0","0","8","1","5154062","0","2.63","415","515406242"
"43","2.63","1","0","0","0","4","5154062","0","0","0","515406243"
"44","0","0","vo_abd_0109","0","0","2","5154062","vo_abd","0","0","515406244"
"45","0","0","0","0","9","1","5154062","0","1","0","515406245"
"46","2","1","0","0","0","4","5154062","0","0","0","515406246"
"47","0","0","0","0","9","1","5154062","0","0.5","61","515406247"
"48","1.2","1","0","0","0","4","5154062","0","0","0","515406248"
"49","0","0","0","61","9","1","5154062","0","1.5","415","515406249"
"50","2.5","1","0","0","0","4","5154062","0","0","0","515406250"
"51","0","0","vo_abd_0110","0","0","2","5154062","vo_abd","0","0","515406251"
"52","0","0","0","0","10","1","5154062","0","0.2","28","515406252"
"53","0.6","1","0","0","0","4","5154062","0","0","0","515406253"
"54","0","0","0","28","10","1","5154062","0","1.3","400","515406254"
"55","2.3","1","0","0","0","4","5154062","0","0","0","515406255"
"56","0","0","vo_abd_0111","0","0","2","5154062","vo_abd","0","0","515406256"
"57","0","0","0","0","11","1","5154062","0","0.3","60","515406257"
"58","1.2","1","0","0","0","4","5154062","0","0","0","515406258"
"59","0","0","0","60","11","1","5154062","0","1","315","515406259"
"1","0.8","1","0","0","0","4","5154063","0","0","0","515406301"
"2","0","0","vo_abd_0201","0","0","2","5154063","vo_abd","0","0","515406302"
"3","0","0","0","0","1","1","5154063","0","1.5","350","515406303"
"4","2.25","1","0","0","0","4","5154063","0","0","0","515406304"
"5","0","0","vo_abd_0202","0","0","2","5154063","vo_abd","0","0","515406305"
"6","0","0","0","0","2","1","5154063","0","1.8","390","515406306"
"7","3","1","0","0","0","4","5154063","0","0","0","515406307"
"8","0","0","vo_abd_0203","0","0","2","5154063","vo_abd","0","0","515406308"
"9","0","0","0","0","3","1","5154063","0","1.5","330","515406309"
"10","1.8","1","0","0","0","4","5154063","0","0","0","515406310"
"11","0","0","vo_abd_0204","0","0","2","5154063","vo_abd","0","0","515406311"
"12","0","0","0","0","4","1","5154063","0","1.3","300","515406312"
"13","2.5","1","0","0","0","4","5154063","0","0","0","515406313"
"14","0","0","vo_abd_0205","0","0","2","5154063","vo_abd","0","0","515406314"
"15","0","0","0","0","5","1","5154063","0","1.5","360","515406315"
"16","2","1","0","0","0","4","5154063","0","0","0","515406316"
"17","0","0","vo_abd_0206","0","0","2","5154063","vo_abd","0","0","515406317"
"18","0","0","0","0","6","1","5154063","0","1.8","310","515406318"
"19","3","1","0","0","0","4","5154063","0","0","0","515406319"
"20","0","0","vo_abd_0207","0","0","2","5154063","vo_abd","0","0","515406320"
"21","0","0","0","0","8","1","5154063","0","1.2","138","515406321"
"22","1.6","1","0","0","0","4","5154063","0","0","0","515406322"
"23","0","0","0","138","8","1","5154063","0","0.45","400","515406323"
"24","0.45","1","0","0","0","4","5154063","0","0","0","515406324"
"25","0","0","vo_abd_0208","0","0","2","5154063","vo_abd","0","0","515406325"
