ecb4a8f2367ab910c27dfce8ce822cbfac9efd05f5ba66e377a61a3a85907311,03f4999b5ddae110e2c1de276f32284acc3b7cc9c9e1ce7a8a9b16c3ef7a9316,4a1e6f75d2f166ab791ed1d1dc48fa55db542afb9e62c57ea6fcdf62541f8360,2d71e5b3cc5eef69cfcdf7085f555e671ca53619e4b56253f8128eb10953412d,4f7eff93512e75ab341f2d9fad577c99c7fef630fcc91e62c89bc399e6720ac2
"12","1","100101","3000000","94002"
"2","2","100101","300","20004"
"2","3","100102","1000","90008"
"2","4","100103","6","25001"
"12","5","100104","1000000","94002"
"2","6","100104","300","20004"
"2","7","100105","1000","90008"
"2","8","100106","6","25001"
"8","9","100107","40","91002"
"12","10","100107","1000000","94002"
"2","11","100107","300","20004"
"2","12","100108","1000","90008"
"2","13","100109","1","41000"
"2","14","100109","7","25001"
"12","15","100110","1000000","94002"
"2","16","100110","400","20004"
"2","17","100111","1500","90008"
"8","18","100112","40","91002"
"2","19","100112","7","25001"
"12","20","100113","1000000","94002"
"2","21","100113","400","20004"
"2","22","100114","1500","90008"
"2","23","100115","1","41000"
"2","24","100115","7","25001"
"12","25","100116","1000000","94002"
"2","26","100116","500","20004"
"8","27","100117","40","91002"
"2","28","100117","1500","90008"
"12","29","100118","2000000","94002"
"2","30","100118","8","25001"
"2","31","100118","2000","90008"
"12","32","100201","3000000","94002"
"2","33","100201","300","20004"
"2","34","100202","1000","90008"
"2","35","100203","12","25001"
"12","36","100204","1000000","94002"
"2","37","100204","300","20004"
"2","38","100205","1000","90008"
"2","39","100206","10","25001"
"8","40","100207","40","91002"
"12","41","100207","1000000","94002"
"2","42","100207","300","20004"
"2","43","100208","1000","90008"
"2","44","100209","1","41000"
"2","45","100209","10","25001"
"12","46","100210","1000000","94002"
"2","47","100210","400","20004"
"2","48","100211","1500","90008"
"8","49","100212","40","91002"
"2","50","100212","9","25001"
"12","51","100213","1000000","94002"
"2","52","100213","400","20004"
"2","53","100214","1500","90008"
"2","54","100215","1","41000"
"12","55","100216","1000000","94002"
"2","56","100216","500","20004"
"8","57","100217","40","91002"
"2","58","100217","1500","90008"
"12","59","100218","2000000","94002"
"2","60","100218","2000","90008"
"12","61","100301","3000000","94002"
"2","62","100301","300","20004"
"2","63","100302","1000","90008"
"2","64","100303","12","25001"
"12","65","100304","1000000","94002"
"2","66","100304","300","20004"
"2","67","100305","1000","90008"
"2","68","100306","10","25001"
"8","69","100307","40","91002"
"12","70","100307","1000000","94002"
"2","71","100307","300","20004"
