4b5c5057c85a28c888478a678cc5694147a52406e1a96526b5a7f8f765a24c24,c5e0b177926cd265c55db1826844c327e8474078c9b12712411852488c554b53,8e1d7e26777377cc6cf57457c125b759e5adc203f43f4e8487344a95d331c844,f5ba34012e47d72b945f42a6d936c7595d0bb8c7c30149266ee3a6db55b575cc,67848130e81bfa789f2a479ad606b55f6936eb990ef7bfa48143465b3e99d43b,1bf3189885ca0f9c7ba81fdc2b937da2ae64e82384d09a074cdf9a28ae242a9f,3ece6fe36b3bf246aac123ac0566a8a29f1c0ac065f026c9473604a3c2ca4add,0f28c481795716f6d580b4f7a8c6d19dadffd4b0d46aa6b0b1bcc400738b976b,ed811e8546ff5da6cb36ac3a9de0b4505eeef3bed93ccc3c16cae34c26c062f7,d24b72d6ac26f17e52590267cc3fe8ff2ceb20d8468baec45502652745b99cc8,ff5b38d5cfbd130df3399e99b28ae7481b179756da3312b52c00bd9186a4421a,5aee8e8078451ffb438572be7c6c2f2156454d853bb13ba1fff284627f22d67a,e38f5cfc0b205716b7944f80c6a546cccfe64d8f42d11f99182fee0fe09abc61,40f2b600829453f4db8b76cbb7117f4f29cbb9eea7215203cad33d857929abd3,0bb89e5da6daf0d75504a77740c6cb4b4f43d2e5f473f1c5df101cdc6e8b47c6,74686c05bceceac24fe72021823a62ebd74e8432df4b15468ed6118b754dba36,34a7c6af6000af6cd4194079684a3709beec2be2143abeef8f854f97a3aec9c4,dff11ed8ce366d84f24c69947c0486aecf2b3f8cc2f7ad0aae82449610317b01,cdcb00a30096e2d4cee38d0035194916cff245c17c50c25cc5895830eaea4064,8b1547807e2ac63ed765a01bb250b65d8416b1a6afcfc6f5af9928064e2f452d,c52f8f00c854bd118aff969c3599ffa131cfd354a5b7b008cadb0d2cac57bf8e,9ea5a65a11f42843423971738b62c29fea0f0edb417aa544af303bf5b9d8a298,7b972b0d7355b003b5e68494d9f0d574fb579ad4d24535b5f540a5885458e700,1dfe476491eaf524a7a4dcf637d8c705b6ca4b7f6d0a96791460fc6835ce568f,3a9e5158dd301ed2ae2c6ac45ada0d4c8a1d664b0d87e30cb56fa48e23e941e4,e64fcb16a044575b8a5322fedc0e8c7d6950972f87110661cc286b36dcba9abd,72877d78e8790822c9b11b19b12124e82677deb17346f43b1e7b920b8021c2da,40acd314ddacde2be10d13ccebd15f00af8314de7c068911ad0e6ad12fc92d1d,98486e377d1c94e03da7a45dd8ef68a57e9132b3c888f184462551413595afbf,2f3bcef6f5b877fb1cb9ce1f6a77f908cb6e19c134ea618c29926ea1f8b915ab,b9b5b8da2867f4ebed56113252f993787d894ca3245cbd14327d1da04babb52b,f7b49293d41fabde4a59be132996a0d813e3f70563da5908aaddb671d3d99f7f,c00160b2c755df257a5cb556c8a80e4d7d8965aa59c2fd4a852288b7839b37d6,73b1c423ff15f9e8c363caeb3e24dae992ad8142d02f9e4e7192d31015f086f3,aa459f029daf8973c29d351a980e743a7514390b7162eaa3f1320cf96865a097,70c82571dde6be4327f0c2dc9664ad8f4437276524b37fb5fa56369be1cacca6,11337616717d3ce851051c4efe007ef568993ddfff99286e950e1dc0c8d9d478,f3ff984afe789f45fd5c575bdca47622b96dfba7cdfeca6ab0f48832f03ab907,cb4fa354d7bd87e48dbc49370a6ef252f348ee4a02610007e1e87d89d477cda8,aca9e4e01ce81f1404fe3df5f0a5088e1dcc30b3b953897aa7c78f32e33611f8,76912fa51fed927146937d153a7dd631195344d70f756a714906552b46b69d20,f1de67b9496aa59f6b410440257f2dab72e2b17df16cb094c737aeb2320703cf,fc32146f9751fe4c82d0a24489920a83656b20e1cbc7883502ed3207c71c9a9e,182b6a268f880024c6da3ad9efb48f20efe6d429fa7196c5ac13e3b257346f2f,fe99e12f24ee6fd8c7090e0149ddd2e856835f8d099aa091db455d3503841c07,84b36480805c342544f5b514174d74428c5b67940c2342cb1bb6b4b7330a576e,7e8c8d615706beffb2a3bd24a98b8419200c9c8f7afbe03aa9af397bdac40ffd,b70850e1d4fbef681493b73c69c28634c0a46ba08358f1a7a10456f369f96235,306b73f0180f69b4f3e2a67f01f1c9db168b09618c4b86aedea2ee0fc0e3815d,39e77b09d72f5a100352498283f65c897eb04fda93955af5fefbd7112cad80a1,bd999097a0427b8af80459d078e7dd10950e0a06d17610d4869cf685ad450a20,9782911f5e93b969d6b507850458991137bd1b331507cf0adcf5f379003aeb02,726da5e19cd0981cbd10b8389f0221fc8585ddaa0de22549ebb552d7f872d199,bac4e68bfce09297e8997e4b4dec2736afbb93642129f951836271754a808225,b572775bff5e0b2c6e39786114c4a93694014629393db16969dd7123c2a33a71,3363a9cd3ee667801029167277cdb71bd3e34baca62d2fded6cb7859a66408b9,2a6d8446355a69e097d07c208a48ddc386ee0b2633824b0dc1c54d755e55d0a6,184fb0aa5016ec563c09d04fb3b6329c8590b4c5ef1c08281cd9f1ec2da5c51e,cd603647a1d724bcdd4eac766b0e6c46a30e4b279f7817c3b838db3b8d33749a,03a4ba0505d09161126699926c93a3aeb38dfab3712653e96a6c9830fa885816,f0458a60e5095bb57ea68d2bfd6d9a269ac3e7af9bc25b7078b02ff01fdd4066,9cac4f4593be2dba2e3c7ed40bed3ef234dbf2f07503ce3a45da315288fdd26c,dbd9313b1de2a5db99e1b9f7589bb4b63484fd358c1d11d3dd56cfb75c42d725
"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0"
"3","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","303","303","303","303","303","303","303","303","303","303","303","303","303","303","0","0","0","0","0","0"
"4","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","1","5","0","0","0","0","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","405","0","0","0","0","0","0","0","0","0"
"6","2","1","0","0","0","0","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0","0","0","0"
"7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401","0"
"11","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402","0","0","0"
"13","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401","0","0","0","0","0","0","0","403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0","0","0","0","0","0"
"15","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","4","1","0","0","0","0","0","0","0","401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","404","0","0","0"
"17","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","301","301","301","301","301","301","301","301","301","301","301","0"
"19","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0","0"
