734e163fc65a8ef79e542296446c67b542e15bb818077031850fb1c504b553fa,e60f7411bc24689a242f95a548ea5289de19026e64e5d9fdc692dec7b95145b5,dcbee9bbd97a4920d82ede198def26fa8a423ca2143155f7a8ea7f0f25aba512,50d352ffdcb53c0dedbd2547996ea833ed95631f91e41d8776be5c69073b2c09,46320fb62bdbd3b13a1b38580bc0c5eae0687f71c11473e4dc233026a02a65e5,fcf8363fcfd135d75f51475856465d1739b02f0afde0c03efce3c13f949481d9,973c509ba56735ce0a44e5ab0be87cca4e17690e9ee763089fd533cfe8c9fbf2,adfe9e8cfa3ef36f4a37a281688b62fdcd78c032bca4b5e941e8dc35c67e3cdc
"3","1","2019/07/01 16:00:00","27","0","2019/07/15 15:59:00","106101","0"
"3","2","2019/07/15 16:00:00","28","0","2019/07/26 15:59:59","101401","0"
"1","3","2019/07/26 16:00:00","29","0","2019/08/01 15:59:59","105501","0"
"3","4","2019/07/26 16:00:00","29","0","2019/08/01 15:59:59","106301","0"
"2","5","2019/07/26 16:00:00","29","0","2019/08/01 15:59:59","101501","0"
"3","6","2019/08/01 16:00:00","30","0","2019/08/15 15:59:59","109201","0"
"3","7","2019/08/15 16:00:00","31","0","2019/08/28 15:59:59","109401","0"
"3","8","2019/08/28 16:00:00","32","0","2019/09/02 15:59:59","103601","0"
"3","9","2019/08/28 16:00:00","32","0","2019/09/02 15:59:59","101401","0"
"3","10","2019/08/28 16:00:00","32","0","2019/09/02 15:59:59","104401","0"
"2","11","2019/08/28 16:00:00","32","0","2019/09/02 15:59:59","100701","0"
"2","12","2019/08/28 16:00:00","32","0","2019/09/02 15:59:59","102701","0"
"2","13","2019/08/28 16:00:00","32","0","2019/09/02 15:59:59","103801","0"
"3","17","2019/09/02 16:00:00","33","0","2019/09/09 15:59:59","109501","0"
"3","18","2019/09/02 16:00:00","33","0","2019/09/09 15:59:59","107101","0"
"3","19","2019/09/09 16:00:00","34","0","2019/09/17 15:59:59","109501","0"
"3","20","2019/09/17 16:00:00","35","0","2019/09/20 15:59:59","103601","0"
"2","21","2019/09/17 16:00:00","35","0","2019/09/20 15:59:59","102001","0"
"1","22","2019/09/17 16:00:00","35","0","2019/09/20 15:59:59","100401","0"
"3","23","2019/09/20 16:00:00","36","0","2019/10/01 15:59:59","109601","0"
"3","24","2019/10/01 16:00:00","37","0","2019/10/15 15:59:59","109701","0"
"3","25","2019/10/15 16:00:00","38","0","2019/10/18 15:59:59","104401","0"
"3","26","2019/10/15 16:00:00","38","0","2019/10/18 15:59:59","101001","0"
"2","27","2019/10/15 16:00:00","38","0","2019/10/18 15:59:59","101701","0"
"3","28","2019/10/18 16:00:00","39","0","2019/11/01 15:59:59","109901","0"
"3","29","2019/11/01 16:00:00","40","0","2019/11/15 15:59:59","110001","0"
"3","30","2019/11/15 16:00:00","41","0","2019/11/19 15:59:59","107501","0"
"3","31","2019/11/15 16:00:00","41","0","2019/11/19 15:59:59","107801","0"
"3","32","2019/11/19 16:00:00","42","0","2019/12/02 15:59:59","110301","0"
"3","33","2019/12/02 16:00:00","43","0","2019/12/13 15:59:00","110401","0"
"3","34","2019/12/13 16:00:00","44","0","2019/12/16 15:59:59","107701","0"
"3","35","2019/12/13 16:00:00","44","0","2019/12/16 15:59:59","107901","0"
"3","36","2019/12/16 16:00:00","45","0","2019/12/30 15:59:59","110601","0"
"3","37","2019/12/30 16:00:00","46","0","2020/01/02 15:59:59","104401","0"
"2","38","2019/12/30 16:00:00","46","0","2020/01/02 15:59:59","100601","0"
"2","39","2019/12/30 16:00:00","46","0","2020/01/02 15:59:59","100701","0"
"2","40","2019/12/30 16:00:00","46","0","2020/01/02 15:59:59","103101","0"
"1","41","2019/12/30 16:00:00","46","0","2020/01/02 15:59:59","102201","0"
"3","42","2020/01/02 16:00:00","47","0","2020/01/10 15:59:59","110701","0"
"3","43","2020/01/10 16:00:00","48","0","2020/01/21 15:59:00","110801","0"
"3","44","2020/01/21 16:00:00","49","0","2020/01/28 15:59:59","107001","0"
"3","45","2020/01/21 16:00:00","49","0","2020/01/28 15:59:59","106101","0"
"3","46","2020/01/21 16:00:00","49","0","2020/01/28 15:59:59","107101","0"
