b544b40b6778279eecec99fcdc923beb39c9b7f43c5c8d6485855ef4b4af11e3,e19e0f9ad570e5a39cec26b630a8791a3803fa5ec3f759048fae4b93897c8c15,176bf83882cf2c1ac075bb4b9e47c604179df24f00b25e0a03fe38bba7e19543,6cef5f8129116b6b7d0fe3e5187293c233601e3cdbf0a149d170c0a8428c4010,81447ce64e6a5844f62400d2126cf3137b977e84be1fa8f155e850e8a8aa225d,af4e74fd0eaed4003325e561d39143733f6eff0e28cff8329158e8b8741a421c,7496f71aedbf9b76ed7dda421e2c813d2d009b5fe9488857b70b3e64beec6ea0,62aecffa6cf8fbf36e1136bdbcc617a6db09113f51226063f0e47076f825e89d,10cc2075ea7507200f6fa6efe80cdcf741775d5ac83c1ff47c9dfd908094c85e,3b54499d49ce1e6e0aa6747a99c421101a8668a3b50e9955c7bff4b24c5c3aad,9028c1b2caa70524059d55b11c2b2e4fe9286ec1d06d58b0062c59fa3c28f384
"","","1015","","","","星","","","",""
"","衣","1019","","","","愛","","白","",""
"","","1020","","","","","","","綠",""
"","","1021","","","","普","","","",""
"","","1070","K","","","","","","",""
"","","1071","","","","短","","","",""
"","","1079","","","","順","","","",""
"","","1080","","","","七八九","","","",""
"","","1131","","","","H","","","",""
"","","1196","","","","","","U","U",""
"","跆","1229","","","","","","","",""
"","","1242","","","","三五七","","","",""
"","","1244","","","一","二","","","",""
"房","","2002","","","","","紅","","","磚塊"
"","","2011","","","蓑","","","","笠",""
"","","2012","","","","南","","","五",""
"","","2024","","","三五八九","","","","",""
"","","2031","","","","S","","","E",""
"","","2032","","","AE","","","","",""
"","","2033","","","","","","R","A",""
"","","2034","","","","","","I","E",""
"","","2036","","","","","","R","UA",""
"","","2037","E","","Y","","","L","E",""
"","","2038","V","","I","","","L","E",""
"","","2040","","","","","","I","L",""
"","","2041","","","","","","A","",""
"","","2042","","","","Y","","","",""
"","","2043","","","","K","","A","",""
"","","2045","","","","","","A","",""
"","","2046","","","","Q","","R","",""
"","","2047","","","","","","R","A",""
"","","2048","","","","KQ","","A","",""
"","","2049","","","","","","","B",""
"","","2050","","","T","","","A","U",""
"","","2052","","","P","","","C","EI",""
"","","2053","","","T","","","A","I",""
"R","P","2054","","O","S","","W","","","E"
"","","2055","","","","","","R","",""
"","","2056","","","","","","","V",""
"","","2058","","","","","","WU","",""
"","","2059","","","","R","","","",""
"","","2060","","","","R","","","",""
"","","2062","","","","","","S","",""
"","","2063","S","","S","","","E","A",""
"E","F","2064","","O","A","","R","A","","C"
"","","2065","","","S","","","","A",""
"","","2066","","","","C","","","",""
"","","2067","","","","","","","B",""
"","","2068","","","","L","","","I",""
"","","2069","","","","C","","E","",""
"","","2070","D","","","","","","E",""
"","","2071","N","","I","","","","A",""
"","","2074","","","A","","","C","",""
"","","2077","","","A","","","A","",""
"","","2078","","","","","","R","L",""
"","","2080","E","","G","O","","MF","E",""
"","","2081","","","","F","","","",""
"","","2084","","","","","無","","",""
"","","2085","E","","H","A","","L","P",""
"","","2086","","","EO","AI","","","",""
"","","2092","","","","P","","","",""
"","","2093","","","","","","C","",""
"","","2096","","","","萬","","","",""
"","","2101","","","華麗","","","","華",""
"","","2102","","","","","","e","",""
"","","2149","e","","l","","","","",""
"","","2167","","","","聖","","誕","",""
"","布","2194","","萊","","佛","","","",""
"","","2200","","","","","加","耳","多",""
"","艾","2237","游","莉","","","思","","",""
"","","2244","","","","","","a","",""
"","","2278","","","","聖","","誕","",""
"美","","2279","","鏡","","契","華","","","美"
"智","","2280","","","","","","","","栞"
"緒","","2281","","空","","","花","","","伊"
"夜","","2282","","祈","","希","梨","","","嘉"
"","胡","2284","","桃","","","綾","","","音"
"","","2294","","","A","E","","","",""
"","","2297","","","B","","","A","",""
"","","2301","S","","Y","","","W","A",""
"","","2302","T","","S","","","M","O",""
"","","2305","","","","","","A","",""
"","","2309","L","","I","A","","P","",""
"","","3003","","","","","","二","",""
"","","3005","","","","","","一三","",""
"","","3006","","參","","","","一二","",""
"","","3008","","","","三十","","","",""
"","","3012","","","","","衣","得","",""
"","","3093","","","","冬","","夜","",""
"","","3106","","","","亞","","","",""
"","","3180","","","","","","h","i",""
"","","3187","","妻","婆","","","公","多","夫"
"","","3195","","","","b","","","",""
"","","3274","","","","座","","再","",""
"","","3302","","","","二三","","","",""
"","","4003","鋰鈉鉀","","鋰鈉銣","氧氰","","鈉鉀","鋰鉀銣",""
"","","4004","鍶鋇","","鍶鐳","鍶鋇","","鍶鐳","鋇鐳",""
"","愛衣","4010","","","","","","","",""
"","愛衣","4013","","","","","","","",""
"","","4034","氦氖氬氪","","氖氬氙","氧氬氪","","氬氪氙","氦氖",""
"","加","4035","","","","裴","","","",""
"","","4040","","","","熱寒","","","",""
"","","4041","","","","熱溫","","","",""
"","","4042","","","E","","","","N",""
"","","4062","","","","","","O","",""
"","","4069","","","乙","乙四","","銷","",""
"","","4072","","","","網","","版","",""
"","","4110","西","","大","大","","西","",""
"","","4143","","","","","","","二",""
"","","4144","","","","","","","一三",""
"","","4145","","","","","","","一二",""
"","","4153","","","","氫","","氧","",""
"帶","","4154","","","","","","","",""
"","","4157","","","","","","","異",""
"","","4158","","昇","","","","","",""
"","","4159","二三","","","","","","",""
"","","4161","一三","","","","","","",""
"","","4167","","","","","","","同",""
"","","4194","","","倍","","","小","",""
"","","4195","","","約","","","大","",""
"","高","4196","","","","","底","","",""
"","","4197","","","","半","","","",""
"","","5010","","","a","","","o","",""
"","","5013","","","","伊","","比","",""
"","愛","5027","","","鹽","印","","","","司"
"","","5031","","","e","","","e","",""
"","","5056","","","e","","","a","",""
"","","5070","","","e","","","","s",""
"","","5076","餅","","","","","餅","",""
"","","5079","","","","上前","","","",""
"","","5082","","","","肩","","","",""
"","","5098","","","","微","","","",""
"","","5102","AC","","BC","大喊","","","AB",""
"","","5103","","","","","","布","",""
"","","5162","","","","西","醜","","",""
"","","5164","","","","固","","定","",""
"","","5183","","","","","","左","",""
"","","5185","","","","","","右","",""
"","","5193","卯戌子","牛","戌酉子","卯辰戌","虎","戌酉卯","戌卯辰",""
"","","6008","雀","底","藍","","","","",""
"","","6010","","e","","","e","u","u",""
"","","6012","","","線","","","","",""
"","","6013","","","","","","面","",""
"","","6015","","","k","G","","o","m",""
"","","6022","","","","","","o","m",""
"","","6049","","","","單二","","","",""
"","","6073","火","","","","","","",""
"","","6075","","","","","","","巨",""
"","","6076","","","a","","","","",""
"","","6082","","","e","","","","",""
"","","6084","","","","C","","","a",""
"","","6097","w","","n","","","","u",""
"","湖","6098","","","","","","","出",""
"","茜","6135","莉","","","","與或","莉","","依"
"","","6136","喵","","","","","","",""
"","","6139","","","霖","鈴","","嚕","呼",""
"","","6179","","","","","得","","",""
