9a6c3f585531c308b4378bfb2b5080dbcbd5b941f7212d87df7c021a722de5c0,8ee43c81a2cf84e7b7331e1757cbc8d9ecd6bc027a54b25bd06e6b2a98bb7c43,79d6093c3fb211d17a14c81ff1aa0f2160d486c0e30f12ef0d06a11b26a5b27e,5428d7a1ad29fc448231040daa17bdb1809e5f57b7be357d8c9601534a3990f8,d322dffcf98dbbfa71b94098c75d54602e0d9b3360e0ed9677f1005edece8707,441a6d47bc9aea7158409757588cd2c66619d9ff7c0dcd9339c92ac14fbcda30,962cac31e26a4222420c3efd3fc3275a46cc78c4e8ff1a0275bbf4b16b91f2ac,2216fb623c13af992b34a22b7bf4724c23158a411495b6986701e1ce898667b6,65fec4addbd1ea6000108d181b8f83e6c6cc25adc155bea8ea2ab35f9a06887d,12081c9058d5ceaba239d42f9d9367baf756287a98a05df125915773c19e1086,5192eed9e6da76b3d3f94b8c6c546f27c77b11e7dbecf83cfc2c357b6a1318b1,8b2885b21a6061dc82884415558de1f64ff7c3aa554b4e4fd3ed899ef7b0e34b,808d1844a25183f3b5ca41cd1f2f140de51aa21a282559baa4a72d6fad821e01
"0","狼","1","豬","1","狗","0","3110001","0","0","豹","0","0"
"0","一","1","三","1","二","0","3110002","0","0","四","0","0"
"0","鱷","0","鰆","1","鱘","0","3110003","0","0","鮑","0","1"
"0","花","1","亭","1","要","0","3110004","0","0","也","0","0"
"0","杉","1","椒","1","松","0","3110006","0","0","椰","1","0"
"0","快","1","牢固地","1","禁食","0","3110007","0","0","容易","0","1"
"0","正確","1","改正","0","收集","0","3110009","0","0","得體","1","1"
"0","但是","1","然後","1","不過","0","3110010","0","0","因此","0","0"
"0","氣球往上身高","1","測量身高","1","步步身高","0","3110011","0","0","身高長高","0","0"
"0","罷工","1","好球","1","打擊","0","3110012","0","0","衝鋒","0","1"
"0","必","1","要","1","畚","0","3110013","0","0","奘","0","0"
"0","六","1","一","1","五","0","3110015","0","0","二","0","0"
"0","公主","1","刀刃","1","突襲","0","3111001","0","0","皇后","0","0"
"0","治癒","1","進攻","1","全體","0","3111002","0","0","炸裂","0","0"
"0","F","1","H","0","G","0","3120001","0","0","J","1","0"
"0","金髮","1","黑髮美女","1","白皮膚","0","3120002","0","0","藍色的","0","0"
"0","反對","0","批准","1","制裁","0","3120006","0","0","討伐","0","1"
"0","Salt Water","1","Dam","1","Sea","0","3120007","0","0","Distilled Water","0","0"
"0","性感的","1","豪華的","1","美味多汁的","0","3120008","0","0","悠閒的","0","0"
"0","茶點","1","提神物","1","精力恢復","0","3120010","0","0","重新再來","0","1"
"0","大量的","0","古怪的","1","古樸的","0","3120011","0","0","熟悉的","0","1"
"0","三心二意","1","見異思遷","0","見獵心喜","0","3120012","0","0","七上八下","0","1"
