d36c2847b75d2da6fd38231aaa9e927596aad3b572f9b29d0b1d27d1a29679f1,d483ed8795c4d48715f567cdeeecadb0ca4d4257b94c73a98a84a58effba32d3,df1c906a2ea34ea3f00e696ec6d04704c6377f781a55226e13f26cd4ae4404e8,3594e76c71b39064bf69781e1875d3def9c60133db5aae88f28a156389b8df56,75a4ac33c657ed44f0548b08d9dbf00f95317d90b079e0705a2754701e873239,469315bf7136d3d70c77c6660460dc99e19986d392e8a41cc7d9505c0f6e2d99,3b86f48cd1b0a3d5a5a84d1f47bc1cf98afe0296ff3807b3ad22eca6b6ef007f,b9a4c2a0d3b9093922aec821c74a9efaaa04063fa8b6357a34703935bd7adeac,5d8085c16f4426925c6dcd38b28d6669f156415503301353f78ec584c8d60a6a,a89109c4de10255901bd3a2a564aab8b113d83dc32708e8804f18032a49f5bae,5ebc2db31e05511c0868850f49222199e1ea708d3635d7a2d266408958985740
"1009801001","-495","1","1","-200","102","lsv_idle_normal","122711","0","1009801","1.95"
"1009801002","-480","1","1","100","100","lsv_idle_normal","122811","1","1009801","1.95"
"1009801003","-510","1","1","270","101","lsv_idle_normal","122911","1","1009801","1.95"
"1009801004","0","1","5","0","0","lsv_white_loop","333","0","1009801","1"
"1009801005","0","333","6","1","1","","1","0","1009801","0"
"1009801006","0","122711","6","1","1","","1","0","1009801","0"
"1009801007","0","122811","6","1","1","","1","0","1009801","0"
"1009801008","0","122911","6","1","1","","1","0","1009801","0"
"1009801009","","1","93","","","","0","","1009801",""
"1009801010","0.4","333","6","1","1","","1","0","1009801","0.8"
"1009801011","1","122711","3","lsv_idle_normal","0","","lsv_jump1","0.2","1009801","0.2"
"1009801012","1","122811","3","lsv_idle_normal","0","","lsv_jump1","0.2","1009801","0.2"
"1009801013","1","122911","3","lsv_idle_normal","0","","lsv_jump1","0.2","1009801","0.2"
"1009801014","","0.3","93","","","","","","1009801",""
"1009801015","0","122711","2","0.75","-235","","-200","","1009801",""
"1009801016","0","122811","2","0.75","-220","","100","","1009801",""
"1009801017","0","122911","2","0.75","-250","","270","","1009801",""
"1009801018","1","122711","6","1","1","","1","0","1009801","0.4"
"1009801019","1","122811","6","1","1","","1","0","1009801","0.4"
"1009801020","1","122911","6","1","1","","1","0","1009801","0.4"
"1009801021","","2","93","","","","0","","1009801",""
"1009801022","","122911","3","","1","","lsv_talk_joy1","","1009801","0.2"
"1009801023","","vo_lsv","21","0","0","","vo_lsv_0121","","1009801",""
"1009801024","1","122911","11","1","10","0","「小繆快快長大日記」♪\n開始囉開始囉～","0","1009801","0"
