b176c80fdee9fab8188107dccd3be19b61aa15d4c293dea0943e788a83a55e9e,074004e6e67ecede330583cccfa9c1d064fe44078b785cfa350fc792d8bf4dc0,54c6d69ec18be0a1b26fc8b26119dabb3e382ac6b99c9e2d137ae8d4087cf53a,28a2c04fe054b91fd34ce291168828f99cc3308979924916bf2838e25b0df0e2,8422df5afe35c221d0312a71a678872a54c5c38f7c8ee83aa500d069ec23e9c4,21f3dbcdebaa457139962e83a3e87de0e478719ae9b5b985f6fed7a01160badf,5d0abbfff7d5b6fd64b8ec1525dd33ebbae492cfc78d5d8e9e577c34f13fc7ba,3b82ac4b8ab6a7b9e01b69dd7097a5bb523836a24a7e2797ac39a3ebbfb2f2ee,8ad7b184b6e1ca86f8e905f20ccb8b6a1a992697d2e5d8658c0024b15064380d,763b9372d6a487ed82c013f69b9d9ae65b756389c642271a4b016115bfa3d94a,f904f3a6d3f9603c0183ba206c5995e90efc482458e7d3c18ee6933e82946126,5aa2b2ab801167659f19585cd1161d041475c250ec796b957ef10b06534c3eee,e997bb13d01f0c7c5e9bd5089dc5a06aa24f655272bdbec9a4db9527566a7630,0ab8318d35d07f57048eea2cf878fcb819d2a7aaad23982f4b44c5f71d0b8a6c,6379dd884d87e77b6ccc8577bebafa031b3f2b966e2bd928677fdb03ff52deaf,fe4af8cb5c2076c5da1febb4b9b2f05749c7a2c31f2a84560645fa1d1bc8809d,def76c9058109965bd5a07d47cd1e03edd5e6c7d29a3b2da0a54a2b86e9433fc,74092579605bf205f1ef74fac553d2a8c2167f099a647d13d49587469fa13650
"3","100","91002","30","150003","90005","300000","1","12","3","8","94002","1001","2","4","20004","2","8"
"3","150","91002","30","150004","90005","400000","2","12","3","8","94002","1001","4","4","140001","2","60"
"3","150","91002","30","150005","90005","500000","3","12","3","8","94002","1001","2","4","20004","2","10"
"3","200","91002","30","150006","90005","750000","4","12","3","8","94002","1001","4","4","140001","2","90"
"3","200","91002","30","150007","90005","1000000","5","12","3","8","94002","1001","2","4","21951","2","1"
"3","100","91002","30","150003","90005","300000","1","12","3","8","94002","1002","2","4","20004","2","8"
"3","150","91002","30","150004","90005","400000","2","12","3","8","94002","1002","4","4","140001","2","60"
"3","150","91002","30","150005","90005","500000","3","12","3","8","94002","1002","2","4","20004","2","10"
"3","200","91002","30","150006","90005","750000","4","12","3","8","94002","1002","4","4","140001","2","90"
"3","200","91002","30","150007","90005","1000000","5","12","3","8","94002","1002","2","4","21951","2","1"
"3","50","91002","100","150003","150004","300000","1","12","100","8","94002","1003","2","4","20004","4","8"
"3","100","91002","50","150005","90005","400000","2","12","5","8","94002","1003","4","4","140001","2","60"
"3","100","91002","50","150006","94002","0","3","0","500000","8","0","1003","2","4","20004","12","10"
"3","150","91002","50","150007","90005","750000","4","12","10","8","94002","1003","4","4","140001","2","90"
"3","150","91002","50","150008","94002","0","5","0","1000000","8","0","1003","2","4","21951","12","1"
"3","50","91002","100","150003","150004","300000","1","12","100","8","94002","1004","2","4","20004","4","8"
"3","100","91002","50","150005","90005","400000","2","12","5","8","94002","1004","4","4","140001","2","60"
"3","100","91002","50","150006","94002","0","3","0","500000","8","0","1004","2","4","20004","12","10"
"3","150","91002","50","150007","90005","750000","4","12","10","8","94002","1004","4","4","140001","2","90"
"3","150","91002","50","150008","94002","0","5","0","1000000","8","0","1004","2","4","21951","12","1"
"3","50","91002","100","150003","150004","300000","1","12","100","8","94002","1005","2","4","20004","4","8"
"3","100","91002","50","150005","90005","400000","2","12","5","8","94002","1005","4","4","140001","2","60"
"3","100","91002","50","150006","94002","0","3","0","500000","8","0","1005","2","4","20004","12","10"
"3","150","91002","50","150007","90005","750000","4","12","10","8","94002","1005","4","4","140001","2","90"
"3","150","91002","50","150008","94002","0","5","0","1000000","8","0","1005","2","4","21951","12","1"
"3","50","91002","100","150004","150005","300000","1","12","100","8","94002","1006","2","4","20004","4","8"
"3","100","91002","50","150006","90005","400000","2","12","5","8","94002","1006","4","4","140001","2","60"
"3","100","91002","50","150007","94002","0","3","0","500000","8","0","1006","2","4","20004","12","10"
"3","150","91002","50","150008","90005","750000","4","12","10","8","94002","1006","4","4","140001","2","90"
"3","150","91002","50","150009","94002","0","5","0","1000000","8","0","1006","2","4","21951","12","1"
